date,holiday_name,lower_window,upper_window
2025/5/1,Labor Day,-1,4
2025/5/2,,0,0
2025/5/3,,0,0
2025/5/4,,0,0
2025/5/5,,0,0
2025/5/6,,0,0
2025/5/7,,0,0
2025/5/8,,0,0
2025/5/9,,0,0
2025/5/10,,0,0
2025/5/11,,0,0
2025/5/12,,0,0
2025/5/13,,0,0
2025/5/14,,0,0
2025/5/15,,0,0
2025/5/16,,0,0
2025/5/17,,0,0
2025/5/18,,0,0
2025/5/19,,0,0
2025/5/20,,0,0
2025/5/21,,0,0
2025/5/22,,0,0
2025/5/23,,0,0
2025/5/24,,0,0
2025/5/25,,0,0
2025/5/26,,0,0
2025/5/27,,0,0
2025/5/28,,0,0
2025/5/29,,0,0
2025/5/30,,0,0
2025/5/31,Dragon Boat Festival,-1,2
2025/6/1,,0,0
2025/6/2,,0,0
2025/6/3,,0,0
2025/6/4,,0,0
2025/6/5,,0,0
2025/6/6,,0,0
2025/6/7,,0,0
2025/6/8,,0,0
2025/6/9,,0,0
2025/6/10,,0,0
2025/6/11,,0,0
2025/6/12,,0,0
2025/6/13,,0,0
2025/6/14,,0,0
2025/6/15,,0,0
2025/6/16,,0,0
2025/6/17,,0,0
2025/6/18,,0,0
2025/6/19,,0,0
2025/6/20,,0,0
2025/6/21,,0,0
2025/6/22,,0,0
2025/6/23,,0,0
2025/6/24,,0,0
2025/6/25,,0,0
2025/6/26,,0,0
2025/6/27,,0,0
2025/6/28,,0,0
2025/6/29,,0,0
2025/6/30,,0,0
2025/7/1,,0,0
2025/7/2,,0,0
2025/7/3,,0,0
2025/7/4,,0,0
2025/7/5,,0,0
2025/7/6,,0,0
2025/7/7,,0,0
2025/7/8,,0,0
2025/7/9,,0,0
2025/7/10,,0,0
2025/7/11,,0,0
2025/7/12,,0,0
2025/7/13,,0,0
2025/7/14,,0,0
2025/7/15,,0,0
2025/7/16,,0,0
2025/7/17,,0,0
2025/7/18,,0,0
2025/7/19,,0,0
2025/7/20,,0,0
2025/7/21,,0,0
2025/7/22,,0,0
2025/7/23,,0,0
2025/7/24,,0,0
2025/7/25,,0,0
2025/7/26,,0,0
2025/7/27,,0,0
2025/7/28,,0,0
2025/7/29,,0,0
2025/7/30,,0,0
2025/7/31,,0,0
2025/8/1,,0,0
2025/8/2,,0,0
2025/8/3,,0,0
2025/8/4,,0,0
2025/8/5,,0,0
2025/8/6,,0,0
2025/8/7,,0,0
2025/8/8,,0,0
2025/8/9,,0,0
2025/8/10,,0,0
2025/8/11,,0,0
2025/8/12,,0,0
2025/8/13,,0,0
2025/8/14,,0,0
2025/8/15,,0,0
2025/8/16,,0,0
2025/8/17,,0,0
2025/8/18,,0,0
2025/8/19,,0,0
2025/8/20,,0,0
2025/8/21,,0,0
2025/8/22,,0,0
2025/8/23,,0,0
2025/8/24,,0,0
2025/8/25,,0,0
2025/8/26,,0,0
2025/8/27,,0,0
2025/8/28,,0,0
2025/8/29,,0,0
2025/8/30,,0,0
2025/8/31,,0,0
2025/9/1,,0,0
2025/9/2,,0,0
2025/9/3,,0,0
2025/9/4,,0,0
2025/9/5,,0,0
2025/9/6,,0,0
2025/9/7,,0,0
2025/9/8,,0,0
2025/9/9,,0,0
2025/9/10,,0,0
2025/9/11,,0,0
2025/9/12,,0,0
2025/9/13,,0,0
2025/9/14,,0,0
2025/9/15,,0,0
2025/9/16,,0,0
2025/9/17,,0,0
2025/9/18,,0,0
2025/9/19,,0,0
2025/9/20,,0,0
2025/9/21,,0,0
2025/9/22,,0,0
2025/9/23,,0,0
2025/9/24,,0,0
2025/9/25,,0,0
2025/9/26,,0,0
2025/9/27,,0,0
2025/9/28,,0,0
2025/9/29,,0,0
2025/9/30,,0,0
2025/10/1,National Day,-1,7
2025/10/2,,0,0
2025/10/3,,0,0
2025/10/4,,0,0
2025/10/5,,0,0
2025/10/6,Mid-Autumn Festival,0,0
2025/10/7,,0,0
2025/10/8,,0,0
2025/10/9,,0,0
2025/10/10,,0,0
2025/10/11,,0,0
2025/10/12,,0,0
2025/10/13,,0,0
2025/10/14,,0,0
2025/10/15,,0,0
2025/10/16,,0,0
2025/10/17,,0,0
2025/10/18,,0,0
2025/10/19,,0,0
2025/10/20,,0,0
2025/10/21,,0,0
2025/10/22,,0,0
2025/10/23,,0,0
2025/10/24,,0,0
2025/10/25,,0,0
2025/10/26,,0,0
2025/10/27,,0,0
2025/10/28,,0,0
2025/10/29,,0,0
2025/10/30,,0,0
2025/10/31,,0,0
2025/11/1,,0,0
2025/11/2,,0,0
2025/11/3,,0,0
2025/11/4,,0,0
2025/11/5,,0,0
2025/11/6,,0,0
2025/11/7,,0,0
2025/11/8,,0,0
2025/11/9,,0,0
2025/11/10,,0,0
2025/11/11,,0,0
2025/11/12,,0,0
2025/11/13,,0,0
2025/11/14,,0,0
2025/11/15,,0,0
2025/11/16,,0,0
2025/11/17,,0,0
2025/11/18,,0,0
2025/11/19,,0,0
2025/11/20,,0,0
2025/11/21,,0,0
2025/11/22,,0,0
2025/11/23,,0,0
2025/11/24,,0,0
2025/11/25,,0,0
2025/11/26,,0,0
2025/11/27,,0,0
2025/11/28,,0,0
2025/11/29,,0,0
2025/11/30,,0,0
2025/12/1,,0,0
2025/12/2,,0,0
2025/12/3,,0,0
2025/12/4,,0,0
2025/12/5,,0,0
2025/12/6,,0,0
2025/12/7,,0,0
2025/12/8,,0,0
2025/12/9,,0,0
2025/12/10,,0,0
2025/12/11,,0,0
2025/12/12,,0,0
2025/12/13,,0,0
2025/12/14,,0,0
2025/12/15,,0,0
2025/12/16,,0,0
2025/12/17,,0,0
2025/12/18,,0,0
2025/12/19,,0,0
2025/12/20,,0,0
2025/12/21,,0,0
2025/12/22,,0,0
2025/12/23,,0,0
2025/12/24,,0,0
2025/12/25,,0,0
2025/12/26,,0,0
2025/12/27,,0,0
2025/12/28,,0,0
2025/12/29,,0,0
2025/12/30,,0,0
2025/12/31,,0,0
2025/1/1,,-1,2
