ds,rain_mm,avg_temp_c,avg_humidity_pct
2025/5/1,0,22.61,66.54
2025/5/2,0,24.31,64.5
2025/5/3,0,26.68,49.29
2025/5/4,12.5,24.6,62.5
2025/5/5,6.2,20.98,65.04
2025/5/6,0.1,22.12,67.46
2025/5/7,2.6,20.75,70.42
2025/5/8,7.3,22.15,73.29
2025/5/9,0,21.62,44.75
2025/5/10,0.7,20.34,55.79
2025/5/11,0,21.1,51.08
2025/5/12,0,24.61,41.79
2025/5/13,0,27.47,37.71
2025/5/14,0,26.59,42.83
2025/5/15,0,26.56,39.67
2025/5/16,0.2,23.94,51.54
2025/5/17,0,24.02,60.46
2025/5/18,0,25.17,60.42
2025/5/19,0,27.21,48.46
2025/5/20,0,30.04,42.75
2025/5/21,0.4,30.33,44.33
2025/5/22,0,29.53,49.17
2025/5/23,0,26.2,47.75
2025/5/24,0,24.81,48.67
2025/5/25,0,25.19,49.17
2025/5/26,0.8,25.55,55.17
2025/5/27,25.3,20.59,85.12
2025/5/28,0,22.68,71.88
2025/5/29,0.8,23.72,68.62
2025/5/30,3.7,22.83,76.12
2025/5/31,1.9,20.1,81.54
2025/6/1,2.1,20.97,82.75
2025/6/2,0.2,22.31,77.29
2025/6/3,0.5,23.48,62.5
2025/6/4,0.2,25.22,55.38
2025/6/5,0,26.66,49.29
2025/6/6,0,28.19,47.38
2025/6/7,0,28.6,48.42
2025/6/8,0,31.18,40.33
2025/6/9,0.1,28.17,53.08
2025/6/10,0,29.62,43.21
2025/6/11,0,31.09,33.04
2025/6/12,0,32.77,29.71
2025/6/13,0,33.5,35
2025/6/14,0.2,30.46,37.46
2025/6/15,0,30.14,40.67
2025/6/16,0,32.63,33.54
2025/6/17,20.8,32.28,43.75
2025/6/18,36.5,24.95,90.12
2025/6/19,1.1,27.3,74.96
2025/6/20,0,26.82,76.17
2025/6/21,1.9,25.72,72
2025/6/22,1.3,24.93,82.79
2025/6/23,2.3,24.48,77.29
2025/6/24,55.5,21.01,91.29
2025/6/25,2.4,23.19,80.42
2025/6/26,1.5,24.87,78.62
2025/6/27,1.3,25.9,78.21
2025/6/28,0.6,27.15,79.12
2025/6/29,28.3,24.46,90.88
2025/6/30,0,25.98,78.21
2025/7/1,0.9,26.45,80.33
2025/7/2,2.8,25.98,84.62
2025/7/3,37.1,24.64,91.75
2025/7/4,35.2,25.55,87.42
2025/7/5,13.7,24.39,72.67
2025/7/6,11.9,24.13,83.21
2025/7/7,6.3,23.89,86.25
2025/7/8,0.2,25.31,84.21
2025/7/9,2.9,26.89,80.62
2025/7/10,5.7,26.34,85.67
2025/7/11,11.1,24.92,91.04
2025/7/12,0.3,26.72,84.58
2025/7/13,0.5,28.1,79.38
2025/7/14,3,28.73,78.5
