日期,菜品,销量
2024-01-01,anchovies,315
2024-01-01,bean sprouts,236
2024-01-01,beef,36
2024-01-01,beef bacon,823
2024-01-01,black pepper,823
2024-01-01,black pepper sauce,270
2024-01-01,black tea,1775
2024-01-01,butter,1623
2024-01-01,cheese,823
2024-01-01,chicken,930
2024-01-01,chicken thigh,270
2024-01-01,chili,36
2024-01-01,chili sauce,344
2024-01-01,chives,236
2024-01-01,cockles,236
2024-01-01,coconut milk,1038
2024-01-01,coleslaw,270
2024-01-01,condensed milk,412
2024-01-01,cream,73
2024-01-01,cucumber,705
2024-01-01,curry,1350
2024-01-01,egg,1665
2024-01-01,eggs,823
2024-01-01,evaporated milk,412
2024-01-01,fish broth,361
2024-01-01,flat rice noodles,236
2024-01-01,flour,1350
2024-01-01,fries,270
2024-01-01,galangal,36
2024-01-01,garlic,1003
2024-01-01,ghee,1350
2024-01-01,ginger,930
2024-01-01,kaya,1623
2024-01-01,lemon,1363
2024-01-01,lemongrass,36
2024-01-01,mint,361
2024-01-01,mushrooms,73
2024-01-01,onion,73
2024-01-01,palm sugar,687
2024-01-01,peanuts,315
2024-01-01,prawns,236
2024-01-01,red beans,687
2024-01-01,rice,659
2024-01-01,rice flour jelly,687
2024-01-01,rice noodles,361
2024-01-01,sambal,315
2024-01-01,shrimp paste,361
2024-01-01,soft-boiled eggs,1623
2024-01-01,soy sauce,236
2024-01-01,spaghetti,823
2024-01-01,spices,36
2024-01-01,sugar syrup,1363
2024-01-01,tamarind,361
2024-01-01,tandoori masala,586
2024-01-01,vegetable broth,73
2024-01-01,water,1350
2024-01-01,white bread,1623
2024-01-01,yogurt,586
2024-01-02,anchovies,847
2024-01-02,beef,368
2024-01-02,beef bacon,12
2024-01-02,black pepper,12
2024-01-02,black pepper sauce,473
2024-01-02,black tea,1127
2024-01-02,butter,1455
2024-01-02,cheese,12
2024-01-02,chicken,318
2024-01-02,chicken thigh,473
2024-01-02,chili,368
2024-01-02,coconut milk,2456
2024-01-02,coleslaw,473
2024-01-02,condensed milk,770
2024-01-02,cream,197
2024-01-02,cucumber,73
2024-01-02,curry,1536
2024-01-02,egg,2383
2024-01-02,eggs,12
2024-01-02,evaporated milk,770
2024-01-02,fish broth,73
2024-01-02,flour,1536
2024-01-02,fries,473
2024-01-02,galangal,368
2024-01-02,garlic,515
2024-01-02,ghee,1536
2024-01-02,ginger,318
2024-01-02,kaya,1455
2024-01-02,lemon,357
2024-01-02,lemongrass,368
2024-01-02,mint,73
2024-01-02,mushrooms,197
2024-01-02,onion,197
2024-01-02,palm sugar,1241
2024-01-02,peanuts,847
2024-01-02,red beans,1241
2024-01-02,rice,847
2024-01-02,rice flour jelly,1241
2024-01-02,rice noodles,73
2024-01-02,sambal,847
2024-01-02,shrimp paste,73
2024-01-02,soft-boiled eggs,1455
2024-01-02,spaghetti,12
2024-01-02,spices,368
2024-01-02,sugar syrup,357
2024-01-02,tamarind,73
2024-01-02,tandoori masala,318
2024-01-02,vegetable broth,197
2024-01-02,water,1536
2024-01-02,white bread,1455
