日期,菜品,销量
2025-07-05 06:14:08,Bottled Water,1
2025-07-05 11:48:51,Chicken Sandwich,1
2025-04-13 08:05:35,Bottled Water,1
2025-06-25 06:42:17,Egg Muffin,1
2025-08-01 12:58:36,Spicy Chicken Combo,2
2025-07-12 12:32:31,Double Cheeseburger,1
2025-07-26 17:56:34,Onion Rings,1
2025-07-21 16:48:10,Soft Drink (Medium),1
2025-06-02 23:08:42,Chicken Sandwich,2
2025-07-12 05:21:01,Hash Browns,1
2025-04-19 21:15:50,Double Cheeseburger,1
2025-07-16 11:08:27,Apple Pie,1
2025-06-08 08:13:55,Sausage Biscuit,2
2025-07-13 10:37:47,Coffee,2
2025-04-11 12:37:38,Spicy Chicken Combo,1
2025-05-22 09:06:04,Egg Muffin,1
2025-04-27 09:19:59,Egg Muffin,1
2025-04-16 11:05:40,Cheeseburger,1
2025-06-23 09:35:09,Sausage Biscuit,2
2025-07-10 19:51:51,Chicken Sandwich,1
2025-04-14 11:22:19,Coffee,1
2025-07-07 06:37:16,Sausage Biscuit,1
2025-04-11 17:47:42,Ice Cream Cone,1
2025-04-11 14:43:47,Spicy Chicken Sandwich,1
2025-07-04 17:42:40,Ice Cream Cone,1
2025-05-28 19:45:44,Chicken Sandwich,1
2025-05-30 17:20:48,Milkshake,1
2025-07-05 16:04:45,French Fries,1
2025-06-21 18:54:56,Cheeseburger,1
2025-08-06 14:21:42,Chicken Sandwich,3
2025-06-22 07:13:29,Sausage Biscuit,1
2025-07-09 19:53:01,Cheeseburger Combo,2
2025-07-27 22:59:19,Spicy Chicken Sandwich,1
2025-06-26 21:42:23,Cheeseburger,1
2025-04-14 17:49:30,Iced Tea,1
2025-06-29 12:31:13,Chicken Sandwich,1
2025-08-07 11:18:14,Spicy Chicken Combo,1
2025-05-06 12:12:13,Chicken Sandwich Combo,1
2025-05-31 00:44:08,Cheeseburger,1
2025-05-28 11:09:09,Cheeseburger,1
2025-05-22 11:39:47,Chicken Sandwich Combo,1
2025-07-04 14:04:43,Double Cheeseburger Combo,1
2025-05-25 20:28:07,Cheeseburger Combo,1
2025-08-07 17:52:17,Chicken Nuggets (10pc),1
2025-06-28 21:44:31,Double Cheeseburger Combo,1
2025-08-03 12:33:23,Cheeseburger Combo,1
2025-07-01 18:35:26,Onion Rings,1
2025-07-16 09:32:47,Hash Browns,1
2025-06-13 21:22:21,Cheeseburger Combo,1
2025-05-17 12:31:02,Spicy Chicken Sandwich,2
2025-05-13 14:41:05,French Fries,1
2025-06-15 18:48:40,Chicken Sandwich,1
2025-07-30 09:55:24,Soft Drink (Small),1
2025-06-26 13:40:27,Spicy Chicken Sandwich,1
2025-04-21 10:49:47,Coffee,1
2025-04-16 17:41:02,Iced Tea,2
2025-07-08 21:51:18,Double Cheeseburger,1
2025-06-23 10:47:43,Pancake Platter,1
2025-07-26 15:02:02,Chicken Nuggets (6pc),1
2025-04-11 16:02:44,Ice Cream Cone,3
2025-05-19 17:38:01,Ice Cream Cone,1
2025-04-22 06:08:34,Pancake Platter,1
2025-06-10 21:49:23,Cheeseburger Combo,1
2025-06-08 17:58:28,Iced Tea,1
2025-05-12 05:54:41,Coffee,1
2025-07-21 14:04:05,Cheeseburger,1
2025-05-09 18:18:38,Cheeseburger Combo,1
2025-04-27 22:38:59,Cheeseburger,1
2025-06-03 06:24:26,Sausage Biscuit,2
2025-06-14 14:17:13,Cheeseburger Combo,1
2025-05-04 20:18:20,Cheeseburger Combo,1
2025-07-31 13:36:27,Cheeseburger Combo,1
2025-07-30 14:55:19,Double Cheeseburger Combo,1
2025-07-08 06:11:38,Egg Muffin,1
2025-08-01 08:28:40,Egg Muffin,1
2025-04-30 17:57:02,Milkshake,1
2025-05-11 08:28:33,Sausage Biscuit,1
2025-04-22 10:21:05,Latte,1
2025-05-16 08:32:23,Milkshake,1
2025-06-27 09:08:38,Latte,1
