日期,菜品,销量
2025-06-04,掌中宝（2串起烤）,19.0
2025-06-04,薯条,2.0
2025-06-18,凤梨烤牛肉,16.0
2025-06-30,梅子酒（三两）,1.0
2025-06-04,烤五花肉（5串）,1.0
2025-06-04,烤羊肉串（2串起烤）,47.0
2025-06-04,烤鸡翅,3.0
2025-06-21,烤羊肉串（外卖）,2.0
2025-06-04,烤鸡翅,13.0
2025-06-04,烤五花（外卖）,10.0
2025-06-12,拍黄瓜,1.0
2025-06-04,掌中宝（外卖）,10.0
2025-06-04,椒麻鸡翅尖（外卖，个）,12.0
2025-06-18,烤羊肉串（2串起烤）,41.0
2025-06-04,烤五花肉,16.0
2025-06-21,烤羊肉串（2串起烤）,93.0
2025-06-12,烤鱿鱼须（外卖）,8.0
2025-06-23,拍黄瓜,1.0
2025-06-18,掌中宝（外卖）,38.0
2025-06-18,烤五花（外卖）,20.0
2025-06-18,烤鸡翅,17.0
2025-06-04,椒麻鸡翅尖,13.0
2025-06-21,米饭,52.0
2025-06-04,宜宾把把烧,6.0
2025-06-21,米饭（外卖）,20.0
2025-06-12,炭烤鱿鱼须（4串）,1.0
2025-06-21,薯条,12.0
2025-06-12,烤鱿鱼须(2串起烤),9.0
2025-06-04,椒麻鸡翅尖（外卖，份）,4.0
2025-06-18,椒麻鸡翅尖（外卖，个）,36.0
2025-06-18,米饭（外卖）.,4.0
2025-06-18,烤鸡翅,3.0
2025-06-04,凤梨烤牛肉,15.0
2025-06-18,掌中宝（2串起烤）,11.0
2025-06-30,拍黄瓜,1.0
2025-06-26,拍黄瓜,1.0
2025-06-18,烤五花肉,7.0
2025-06-23,烤鱿鱼须(2串起烤),10.0
2025-06-26,薯条,1.0
2025-06-30,水晶粉,5.0
2025-06-23,薯条,6.0
2025-06-30,水晶粉,2.0
2025-06-18,椒麻鸡翅尖（外卖，份）,3.0
2025-06-18,宜宾把把烧,8.0
2025-06-30,水晶粉（外卖）,1.0
2025-06-18,椒麻鸡翅尖,17.0
2025-06-22,凤梨百香果绿茶,4.0
2025-06-04,营养儿童餐,3.0
2025-06-18,薯条,7.0
2025-06-18,米饭,81.0
2025-06-21,烤五花肉,40.0
2025-06-12,薯条,2.0
2025-06-30,凤梨烤牛肉,31.0
2025-06-21,烤五花（外卖）,36.0
2025-06-18,米饭（外卖）,42.0
2025-06-30,米饭（外卖）.,3.0
2025-06-14,米饭（外卖）,16.0
2025-06-18,烤鱿鱼须（外卖）,8.0
2025-06-21,卤肥肠,2.0
2025-06-14,米饭,37.0
2025-06-06,米饭（外卖）.,1.0
2025-06-21,麻辣烤鱼肥肠组合（青笋+卤肥肠+土豆片）,12.0
2025-06-20,拍黄瓜,2.0
2025-06-18,烤鱿鱼须(2串起烤),29.0
2025-06-30,腐竹,6.0
2025-06-21,椒麻鸡翅尖（外卖，个）,62.0
2025-06-30,腐竹,2.0
2025-06-21,烤鸡翅,22.0
2025-06-21,香脆鱼肚（外卖）,1.0
2025-06-21,尽情撸串把把烧套餐（50串）(外卖),2.0
2025-06-04,香脆鱼肚（外卖）,1.0
2025-06-21,烤鸡翅,25.0
2025-06-21,宜宾把把烧,17.0
2025-06-21,香脆鱼肚,4.0
2025-06-18,烤非遗豆干（外卖）,72.0
2025-06-21,乡村酥肉（外卖）,6.0
2025-06-21,烤非遗豆干（外卖）,67.0
2025-06-25,烤非遗豆干（外卖）,16.0
2025-06-30,米饭,88.0
2025-06-18,黑椒猪颈肉（2串起烤）,106.0
2025-06-07,凤梨百香果绿茶,4.0
2025-06-30,米饭（外卖）,31.0
2025-06-30,烤五花（外卖）,10.0
2025-06-18,营养儿童餐,5.0
2025-06-30,烤五花肉,13.0
2025-06-21,椒麻鸡翅尖（外卖，份）,4.0
2025-06-18,烤鸡脚（外卖）,5.0
2025-06-21,椒麻鸡翅尖,43.0
2025-06-21,乡村酥肉,35.0
2025-06-21,红糖糍粑,38.0
2025-06-21,烤非遗豆干,12.0
2025-06-06,米饭,99.0
2025-06-18,香糯烤鸡脚,16.0
2025-06-06,米饭（外卖）,48.0
2025-06-18,烤非遗豆干,4.0
2025-06-12,宜宾把把烧,12.0
2025-06-04,烤鸡脚（外卖）,2.0
2025-06-10,魔芋（外卖）,7.0
2025-06-21,黑椒猪颈肉（2串起烤）,272.0
2025-06-25,烤非遗豆干,3.0
2025-06-10,魔芋,5.0
2025-06-04,包浆豆腐,12.0
2025-06-04,香糯烤鸡脚,22.0
2025-06-21,豆花海鲈鱼,1.0
2025-06-21,老坛酸菜,2.0
2025-06-04,红糖糍粑,11.0
2025-06-10,魔芋,9.0
2025-06-27,乡村酥肉（外卖）,2.0
2025-06-08,升级豆花烤鱼,48.0
2025-06-18,红糖糍粑,21.0
2025-06-29,黑椒猪颈肉（2串起烤）,143.0
2025-06-21,美好火腿肠（外卖）,6.0
2025-06-04,包浆豆腐,1.0
2025-06-25,烤羊肉串（2串起烤）,36.0
2025-06-25,烤五花肉,21.0
2025-06-21,升级豆花烤鱼,56.0
2025-06-28,拍黄瓜,5.0
2025-06-08,手工黑豆花（外卖）,4.0
2025-06-21,美好火腿肠,13.0
2025-06-27,乡村酥肉,35.0
2025-06-21,美好火腿肠,4.0
2025-06-04,包浆豆腐,38.0
2025-06-21,酸菜豆花烤鱼（外卖）,2.0
2025-06-21,经典麻辣豆花,33.0
2025-06-21,豆花海鲈鱼,4.0
2025-06-21,烤鱿鱼须（外卖）,16.0
2025-06-28,卤味豆干（外卖）,5.0
2025-06-08,手工黑豆花,6.0
2025-06-21,手工黑豆花（外卖）,1.0
2025-06-27,烤五花肉,30.0
2025-06-21,烤鱿鱼须(2串起烤),62.0
2025-06-27,烤五花（外卖）,17.0
2025-06-21,卤味豆干（外卖）,8.0
2025-06-28,卤味豆干,3.0
2025-06-28,卤味豆干,11.0
2025-06-28,掌中宝（外卖）,31.0
2025-06-21,手工黑豆花,9.0
2025-06-21,翡翠青椒,7.0
2025-06-09,包浆豆腐,1.0
2025-06-28,掌中宝（2串起烤）,47.0
2025-06-21,凤梨烤牛肉,53.0
2025-06-21,卤味豆干,12.0
2025-06-21,卤味豆干,3.0
2025-06-21,魔芋（外卖）,22.0
2025-06-04,酸菜豆花烤鱼（外卖）,1.0
2025-06-04,烤鱿鱼须(2串起烤),29.0
2025-06-04,青椒豆花烤鱼（外卖）,2.0
2025-06-09,包浆豆腐,43.0
2025-06-21,魔芋,19.0
2025-06-09,包浆豆腐,9.0
2025-06-21,豆花海鲈鱼,4.0
2025-06-30,藕片（外卖）,8.0
2025-06-21,青柠酸辣,5.0
2025-06-21,蒜香味,9.0
2025-06-30,藕片,12.0
2025-06-30,藕片,4.0
2025-06-21,银针菇（外卖）,2.0
2025-06-21,麻辣豆花烤鱼（外卖）,45.0
2025-06-28,卤味豆干+银针菇（素菜搭配C）,1.0
2025-06-21,烤生蚝,14.0
2025-06-21,银针菇,12.0
2025-06-21,银针菇,11.0
2025-06-17,卤肥肠,2.0
2025-06-30,美好火腿肠（外卖）,1.0
2025-06-22,手打柠檬,2.0
2025-06-18,乡村酥肉（外卖）,2.0
2025-06-21,青椒豆花烤鱼（外卖）,8.0
2025-06-30,美好火腿肠,4.0
2025-06-30,美好火腿肠,7.0
2025-06-18,乡村酥肉,24.0
2025-06-22,手打柠檬-花傲天同款,14.0
2025-06-06,卤味豆干（外卖）,1.0
2025-06-06,卤味豆干,9.0
2025-06-22,手打柠檬,2.0
2025-06-22,手打柠檬-花傲天同款,2.0
2025-06-21,芝士烤红薯,82.0
2025-06-06,卤味豆干,3.0
2025-06-04,烧椒烤茄子,3.0
2025-06-04,麻辣豆花烤鱼（外卖）,12.0
2025-06-21,四川冷箭笋+银针菇（素菜搭配A）,1.0
2025-06-04,烧椒烤茄子,7.0
2025-06-21,豆花黔鱼,3.0
2025-06-06,青柠酸辣,2.0
2025-06-06,豆花海鲈鱼,1.0
2025-06-21,老坛酸菜,4.0
2025-06-21,土豆+四川冷箭笋+魔芋,54.0
2025-06-21,人气搭配（四川冷箭笋+土豆片+魔芋）,26.0
2025-06-21,人气搭配（四川冷箭笋+土豆片+魔芋）,2.0
2025-06-06,藕片,3.0
