date,dish,sales
2025-05-01,Chicken knee cartilage,66.0
2025-05-01,Grilled lamb skewers,168.0
2025-05-01,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-01,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-01,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-01,Garlic flavor - Jiangtuan,11.0
2025-05-01,Garlic flavor - Sea bass,14.0
2025-05-01,Garlic flavor - Qian fish,31.0
2025-05-01,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-01,Pickled mustard greens flavor - Sea bass,4.0
2025-05-01,Pickled mustard greens flavor - Qian fish,14.0
2025-05-01,Green pepper flavor - Jiangtuan,12.0
2025-05-01,Green pepper flavor - Sea bass,15.0
2025-05-01,Green pepper flavor - Qian fish,25.0
2025-05-01,Mala flavor - Jiangtuan,28.0
2025-05-01,Mala flavor - Sea bass,31.0
2025-05-01,Mala flavor - Qian fish,41.0
2025-05-02,Chicken knee cartilage,87.0
2025-05-02,Grilled lamb skewers,164.0
2025-05-02,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-02,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-02,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-02,Garlic flavor - Jiangtuan,10.0
2025-05-02,Garlic flavor - Sea bass,14.0
2025-05-02,Garlic flavor - Qian fish,37.0
2025-05-02,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-02,Pickled mustard greens flavor - Sea bass,5.0
2025-05-02,Pickled mustard greens flavor - Qian fish,16.0
2025-05-02,Green pepper flavor - Jiangtuan,10.0
2025-05-02,Green pepper flavor - Sea bass,14.0
2025-05-02,Green pepper flavor - Qian fish,25.0
2025-05-02,Mala flavor - Jiangtuan,29.0
2025-05-02,Mala flavor - Sea bass,33.0
2025-05-02,Mala flavor - Qian fish,44.0
2025-05-03,Chicken knee cartilage,62.0
2025-05-03,Grilled lamb skewers,171.0
2025-05-03,Old-jar pickled mustard greens flavor - Jiangtuan,6.0
2025-05-03,Old-jar pickled mustard greens flavor - Sea bass,6.0
2025-05-03,Old-jar pickled mustard greens flavor - Qian fish,6.0
2025-05-03,Garlic flavor - Jiangtuan,12.0
2025-05-03,Garlic flavor - Sea bass,15.0
2025-05-03,Garlic flavor - Qian fish,38.0
2025-05-03,Pickled mustard greens flavor - Jiangtuan,3.0
2025-05-03,Pickled mustard greens flavor - Sea bass,6.0
2025-05-03,Pickled mustard greens flavor - Qian fish,14.0
2025-05-03,Green pepper flavor - Jiangtuan,9.0
2025-05-03,Green pepper flavor - Sea bass,12.0
2025-05-03,Green pepper flavor - Qian fish,20.0
2025-05-03,Mala flavor - Jiangtuan,25.0
2025-05-03,Mala flavor - Sea bass,28.0
2025-05-03,Mala flavor - Qian fish,37.0
2025-05-04,Chicken knee cartilage,124.0
2025-05-04,Grilled lamb skewers,187.0
2025-05-04,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-05-04,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-05-04,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-05-04,Garlic flavor - Jiangtuan,8.0
2025-05-04,Garlic flavor - Sea bass,11.0
2025-05-04,Garlic flavor - Qian fish,37.0
2025-05-04,Pickled mustard greens flavor - Jiangtuan,3.0
2025-05-04,Pickled mustard greens flavor - Sea bass,6.0
2025-05-04,Pickled mustard greens flavor - Qian fish,17.0
2025-05-04,Green pepper flavor - Jiangtuan,8.0
2025-05-04,Green pepper flavor - Sea bass,11.0
2025-05-04,Green pepper flavor - Qian fish,23.0
2025-05-04,Mala flavor - Jiangtuan,29.0
2025-05-04,Mala flavor - Sea bass,32.0
2025-05-04,Mala flavor - Qian fish,44.0
2025-05-05,Chicken knee cartilage,72.0
2025-05-05,Grilled lamb skewers,122.0
2025-05-05,Old-jar pickled mustard greens flavor - Jiangtuan,4.0
2025-05-05,Old-jar pickled mustard greens flavor - Sea bass,4.0
2025-05-05,Old-jar pickled mustard greens flavor - Qian fish,4.0
2025-05-05,Garlic flavor - Jiangtuan,10.0
2025-05-05,Garlic flavor - Sea bass,12.0
2025-05-05,Garlic flavor - Qian fish,44.0
2025-05-05,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-05,Pickled mustard greens flavor - Sea bass,3.0
2025-05-05,Pickled mustard greens flavor - Qian fish,12.0
2025-05-05,Green pepper flavor - Jiangtuan,11.0
2025-05-05,Green pepper flavor - Sea bass,13.0
2025-05-05,Green pepper flavor - Qian fish,21.0
2025-05-05,Mala flavor - Jiangtuan,32.0
2025-05-05,Mala flavor - Sea bass,34.0
2025-05-05,Mala flavor - Qian fish,42.0
2025-05-06,Chicken knee cartilage,38.0
2025-05-06,Grilled lamb skewers,28.0
2025-05-06,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-06,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-06,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-06,Garlic flavor - Jiangtuan,2.0
2025-05-06,Garlic flavor - Sea bass,2.0
2025-05-06,Garlic flavor - Qian fish,9.0
2025-05-06,Pickled mustard greens flavor - Jiangtuan,2.0
2025-05-06,Pickled mustard greens flavor - Sea bass,2.0
2025-05-06,Pickled mustard greens flavor - Qian fish,8.0
2025-05-06,Green pepper flavor - Jiangtuan,4.0
2025-05-06,Green pepper flavor - Sea bass,4.0
2025-05-06,Green pepper flavor - Qian fish,12.0
2025-05-06,Mala flavor - Jiangtuan,15.0
2025-05-06,Mala flavor - Sea bass,15.0
2025-05-06,Mala flavor - Qian fish,31.0
2025-05-07,Chicken knee cartilage,43.0
2025-05-07,Grilled lamb skewers,47.0
2025-05-07,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-05-07,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-05-07,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-05-07,Garlic flavor - Jiangtuan,6.0
2025-05-07,Garlic flavor - Sea bass,7.0
2025-05-07,Garlic flavor - Qian fish,14.0
2025-05-07,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-07,Pickled mustard greens flavor - Sea bass,2.0
2025-05-07,Pickled mustard greens flavor - Qian fish,7.0
2025-05-07,Green pepper flavor - Jiangtuan,5.0
2025-05-07,Green pepper flavor - Sea bass,6.0
2025-05-07,Green pepper flavor - Qian fish,12.0
2025-05-07,Mala flavor - Jiangtuan,12.0
2025-05-07,Mala flavor - Sea bass,13.0
2025-05-07,Mala flavor - Qian fish,33.0
2025-05-08,Chicken knee cartilage,41.0
2025-05-08,Grilled lamb skewers,69.0
2025-05-08,Garlic flavor - Jiangtuan,3.0
2025-05-08,Garlic flavor - Sea bass,3.0
2025-05-08,Garlic flavor - Qian fish,12.0
2025-05-08,Pickled mustard greens flavor - Jiangtuan,3.0
2025-05-08,Pickled mustard greens flavor - Sea bass,3.0
2025-05-08,Pickled mustard greens flavor - Qian fish,11.0
2025-05-08,Green pepper flavor - Jiangtuan,5.0
2025-05-08,Green pepper flavor - Sea bass,5.0
2025-05-08,Green pepper flavor - Qian fish,16.0
2025-05-08,Mala flavor - Jiangtuan,21.0
2025-05-08,Mala flavor - Sea bass,21.0
2025-05-08,Mala flavor - Qian fish,37.0
2025-05-09,Chicken knee cartilage,51.0
2025-05-09,Grilled lamb skewers,86.0
2025-05-09,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-05-09,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-05-09,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-05-09,Garlic flavor - Jiangtuan,6.0
2025-05-09,Garlic flavor - Sea bass,9.0
2025-05-09,Garlic flavor - Qian fish,19.0
2025-05-09,Pickled mustard greens flavor - Jiangtuan,1.0
2025-05-09,Pickled mustard greens flavor - Sea bass,5.0
2025-05-09,Pickled mustard greens flavor - Qian fish,11.0
2025-05-09,Green pepper flavor - Jiangtuan,5.0
