Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
Frozen Lamb Skewers (Steel Skewer),6.01,6.01,,2025/4/30 23:48
Frozen Lamb Skewers (Steel Skewer),-4.2,1.81,Consumption Log,2025/5/1 23:03
Frozen Lamb Skewers (Steel Skewer),0.2,2.01,Stocktake Gain,2025/5/2 19:58
Frozen Lamb Skewers (Steel Skewer),10,12.01,Stock Receipt,2025/5/2 21:27
Frozen Lamb Skewers (Steel Skewer),-3.03,8.98,Consumption Log,2025/5/2 22:41
Frozen Lamb Skewers (Steel Skewer),-1.98,7,Stocktake Loss,2025/5/3 0:43
Frozen Lamb Skewers (Steel Skewer),-4.28,2.72,Consumption Log,2025/5/3 22:38
Frozen Lamb Skewers (Steel Skewer),0.28,3,Stocktake Gain,2025/5/4 22:00
Frozen Lamb Skewers (Steel Skewer),10,13,Stock Receipt,2025/5/4 22:00
Frozen Lamb Skewers (Steel Skewer),-1.85,11.15,Consumption Log,2025/5/4 22:39
Frozen Lamb Skewers (Steel Skewer),-2.83,8.32,Consumption Log,2025/5/4 22:39
Frozen Lamb Skewers (Steel Skewer),-3.05,5.27,Consumption Log,2025/5/5 22:41
Frozen Lamb Skewers (Steel Skewer),-0.28,4.99,Stocktake Loss,2025/5/6 21:11
Frozen Lamb Skewers (Steel Skewer),10,14.99,Stock Receipt,2025/5/6 22:04
Frozen Lamb Skewers (Steel Skewer),-0.7,14.29,Consumption Log,2025/5/6 22:23
Frozen Lamb Skewers (Steel Skewer),-0.3,13.99,Stocktake Loss,2025/5/6 23:58
Frozen Lamb Skewers (Steel Skewer),-1.18,12.81,Consumption Log,2025/5/7 22:25
Frozen Lamb Skewers (Steel Skewer),1.18,13.99,Stocktake Gain,2025/5/8 11:15
Frozen Lamb Skewers (Steel Skewer),-1.73,12.26,Consumption Log,2025/5/8 22:30
Frozen Lamb Skewers (Steel Skewer),-2.15,10.11,Consumption Log,2025/5/9 22:36
Frozen Lamb Skewers (Steel Skewer),-2.13,7.98,Stocktake Loss,2025/5/10 22:39
Frozen Lamb Skewers (Steel Skewer),-2,5.98,Stocktake Loss,2025/5/11 11:45
Frozen Lamb Skewers (Steel Skewer),-2.48,3.5,Consumption Log,2025/5/11 22:22
Frozen Lamb Skewers (Steel Skewer),-0.53,2.97,Stocktake Loss,2025/5/12 17:50
Frozen Lamb Skewers (Steel Skewer),10,12.97,Stock Receipt,2025/5/12 21:11
Frozen Lamb Skewers (Steel Skewer),-0.58,12.39,Consumption Log,2025/5/12 22:06
Frozen Lamb Skewers (Steel Skewer),-0.43,11.96,Stocktake Loss,2025/5/13 12:44
Frozen Lamb Skewers (Steel Skewer),-1.3,10.66,Consumption Log,2025/5/13 22:19
Frozen Lamb Skewers (Steel Skewer),0.3,10.96,Stocktake Gain,2025/5/14 22:15
Frozen Lamb Skewers (Steel Skewer),-0.83,10.13,Consumption Log,2025/5/14 22:24
Frozen Lamb Skewers (Steel Skewer),-0.63,9.5,Consumption Log,2025/5/15 22:10
Frozen Lamb Skewers (Steel Skewer),0.45,9.95,Stocktake Gain,2025/5/16 9:17
Frozen Lamb Skewers (Steel Skewer),-2.15,7.8,Consumption Log,2025/5/16 22:29
Frozen Lamb Skewers (Steel Skewer),-0.85,6.95,Stocktake Loss,2025/5/17 21:04
Frozen Lamb Skewers (Steel Skewer),-2.53,4.42,Consumption Log,2025/5/17 22:25
Frozen Lamb Skewers (Steel Skewer),0.53,4.95,Stocktake Gain,2025/5/18 11:01
Frozen Lamb Skewers (Steel Skewer),-0.03,4.92,Consumption Log,2025/5/18 22:46
Frozen Lamb Skewers (Steel Skewer),-0.2,4.72,Consumption Log,2025/5/18 22:46
Frozen Lamb Skewers (Steel Skewer),-0.3,4.42,Consumption Log,2025/5/18 22:46
Frozen Lamb Skewers (Steel Skewer),-0.35,4.07,Consumption Log,2025/5/18 22:46
Frozen Lamb Skewers (Steel Skewer),-1.4,2.67,Consumption Log,2025/5/18 22:46
Frozen Lamb Skewers (Steel Skewer),-0.28,2.39,Stocktake Loss,2025/5/19 20:08
Frozen Lamb Skewers (Steel Skewer),-0.45,1.94,Stocktake Loss,2025/5/19 20:08
Frozen Lamb Skewers (Steel Skewer),10,11.94,Stock Receipt,2025/5/19 21:45
Frozen Lamb Skewers (Steel Skewer),-0.3,11.64,Consumption Log,2025/5/19 22:23
Frozen Lamb Skewers (Steel Skewer),-0.68,10.96,Consumption Log,2025/5/19 22:23
Frozen Lamb Skewers (Steel Skewer),-0.03,10.93,Stocktake Loss,2025/5/20 13:51
Frozen Lamb Skewers (Steel Skewer),-1.9,9.03,Consumption Log,2025/5/20 22:46
Frozen Lamb Skewers (Steel Skewer),-1.1,7.93,Stocktake Loss,2025/5/21 20:46
Frozen Lamb Skewers (Steel Skewer),-0.93,7,Consumption Log,2025/5/21 22:19
Frozen Lamb Skewers (Steel Skewer),-1.08,5.92,Stocktake Loss,2025/5/22 9:36
Frozen Lamb Skewers (Steel Skewer),-1.48,4.44,Consumption Log,2025/5/22 22:47
Frozen Lamb Skewers (Steel Skewer),1.48,5.92,Stocktake Gain,2025/5/23 10:39
Frozen Lamb Skewers (Steel Skewer),10,15.92,Stock Receipt,2025/5/23 13:06
Frozen Lamb Skewers (Steel Skewer),-2,13.92,Consumption Log,2025/5/23 23:26
Frozen Lamb Skewers (Steel Skewer),-2.31,11.61,Consumption Log,2025/5/24 22:39
Frozen Lamb Skewers (Steel Skewer),-1.7,9.91,Stocktake Loss,2025/5/25 11:42
Frozen Lamb Skewers (Steel Skewer),-2.5,7.41,Consumption Log,2025/5/25 22:26
Frozen Lamb Skewers (Steel Skewer),1.5,8.91,Stocktake Gain,2025/5/25 23:34
Frozen Lamb Skewers (Steel Skewer),-0.78,8.13,Consumption Log,2025/5/26 21:35
Frozen Lamb Skewers (Steel Skewer),0.78,8.91,Stocktake Gain,2025/5/27 20:39
Frozen Lamb Skewers (Steel Skewer),-0.8,8.11,Consumption Log,2025/5/27 22:27
Frozen Lamb Skewers (Steel Skewer),-0.2,7.91,Stocktake Loss,2025/5/28 0:19
Frozen Lamb Skewers (Steel Skewer),-1.55,6.36,Consumption Log,2025/5/28 22:25
Frozen Lamb Skewers (Steel Skewer),-0.03,6.33,Consumption Log,2025/5/29 22:12
Frozen Lamb Skewers (Steel Skewer),-0.3,6.03,Consumption Log,2025/5/29 22:12
Frozen Lamb Skewers (Steel Skewer),-0.43,5.6,Consumption Log,2025/5/29 22:12
Frozen Lamb Skewers (Steel Skewer),-0.45,5.15,Consumption Log,2025/5/29 22:12
Frozen Lamb Skewers (Steel Skewer),-1,4.15,Consumption Log,2025/5/29 22:12
