Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
11732,Red Finger Chili (Cleaned),0.5,0.5,,2025/4/30 23:48
11732,Red Finger Chili (Cleaned),2,2.5,Stock Receipt,2025/5/1 21:48
11732,Red Finger Chili (Cleaned),-0.63,1.87,Consumption Log,2025/5/1 23:03
11732,Red Finger Chili (Cleaned),-1.87,0,Stocktake Loss,2025/5/2 19:58
11732,Red Finger Chili (Cleaned),2,2,Stock Receipt,2025/5/2 21:30
11732,Red Finger Chili (Cleaned),-1.33,0.67,Consumption Log,2025/5/2 22:41
11732,Red Finger Chili (Cleaned),0.33,1,Stocktake Gain,2025/5/3 0:43
11732,Red Finger Chili (Cleaned),2,3,Stock Receipt,2025/5/3 21:34
11732,Red Finger Chili (Cleaned),-1.13,1.87,Consumption Log,2025/5/3 22:38
11732,Red Finger Chili (Cleaned),-0.87,1,Stocktake Loss,2025/5/4 22:00
11732,Red Finger Chili (Cleaned),2,3,Stock Receipt,2025/5/4 22:03
11732,Red Finger Chili (Cleaned),-1.91,1.09,Consumption Log,2025/5/4 22:39
11732,Red Finger Chili (Cleaned),2,3.09,Stock Receipt,2025/5/5 22:32
11732,Red Finger Chili (Cleaned),-2.8,0.29,Consumption Log,2025/5/5 22:41
11732,Red Finger Chili (Cleaned),0.21,0.5,Stocktake Gain,2025/5/6 21:11
11732,Red Finger Chili (Cleaned),1,1.5,Stock Receipt,2025/5/6 22:05
11732,Red Finger Chili (Cleaned),-0.31,1.19,Consumption Log,2025/5/6 22:23
11732,Red Finger Chili (Cleaned),0.81,2,Stocktake Gain,2025/5/6 23:58
11732,Red Finger Chili (Cleaned),2,4,Stock Receipt,2025/5/7 13:51
11732,Red Finger Chili (Cleaned),-0.88,3.12,Consumption Log,2025/5/7 22:25
11732,Red Finger Chili (Cleaned),-1.12,2,Stocktake Loss,2025/5/8 11:15
11732,Red Finger Chili (Cleaned),-0.66,1.34,Consumption Log,2025/5/8 22:30
11732,Red Finger Chili (Cleaned),-1.08,0.26,Consumption Log,2025/5/9 22:36
11732,Red Finger Chili (Cleaned),1,1.26,Stock Receipt,2025/5/9 23:01
11732,Red Finger Chili (Cleaned),0.73,1.99,Stocktake Gain,2025/5/10 22:39
11732,Red Finger Chili (Cleaned),1,2.99,Stock Receipt,2025/5/10 22:42
11732,Red Finger Chili (Cleaned),-2,0.99,Stocktake Loss,2025/5/11 11:45
11732,Red Finger Chili (Cleaned),1,1.99,Stock Receipt,2025/5/11 21:07
11732,Red Finger Chili (Cleaned),-1.44,0.55,Consumption Log,2025/5/11 22:22
11732,Red Finger Chili (Cleaned),-0.56,-0.01,Stocktake Loss,2025/5/12 17:50
11732,Red Finger Chili (Cleaned),1,0.99,Stock Receipt,2025/5/12 21:12
11732,Red Finger Chili (Cleaned),-0.33,0.66,Consumption Log,2025/5/12 22:06
11732,Red Finger Chili (Cleaned),-0.67,-0.01,Stocktake Loss,2025/5/13 12:44
11732,Red Finger Chili (Cleaned),2,1.99,Stock Receipt,2025/5/13 20:37
11732,Red Finger Chili (Cleaned),-0.18,1.81,Consumption Log,2025/5/13 22:19
11732,Red Finger Chili (Cleaned),-0.82,0.99,Stocktake Loss,2025/5/14 22:15
11732,Red Finger Chili (Cleaned),1,1.99,Stock Receipt,2025/5/14 22:17
11732,Red Finger Chili (Cleaned),-0.64,1.35,Consumption Log,2025/5/14 22:24
11732,Red Finger Chili (Cleaned),1,2.35,Stock Receipt,2025/5/15 20:56
11732,Red Finger Chili (Cleaned),-0.78,1.57,Consumption Log,2025/5/15 22:10
11732,Red Finger Chili (Cleaned),-0.58,0.99,Stocktake Loss,2025/5/16 9:17
11732,Red Finger Chili (Cleaned),1,1.99,Stock Receipt,2025/5/16 21:40
11732,Red Finger Chili (Cleaned),-0.99,1,Consumption Log,2025/5/16 22:29
11732,Red Finger Chili (Cleaned),-0.01,0.99,Stocktake Loss,2025/5/17 21:04
11732,Red Finger Chili (Cleaned),2,2.99,Stock Receipt,2025/5/17 21:15
11732,Red Finger Chili (Cleaned),-1.82,1.17,Consumption Log,2025/5/17 22:25
11732,Red Finger Chili (Cleaned),-0.18,0.99,Stocktake Loss,2025/5/18 11:01
11732,Red Finger Chili (Cleaned),1,1.99,Stock Receipt,2025/5/18 21:28
11732,Red Finger Chili (Cleaned),-1.04,0.95,Consumption Log,2025/5/18 22:46
11732,Red Finger Chili (Cleaned),0.04,0.99,Stocktake Gain,2025/5/19 20:08
11732,Red Finger Chili (Cleaned),1,1.99,Stock Receipt,2025/5/19 21:49
11732,Red Finger Chili (Cleaned),-0.7,1.29,Consumption Log,2025/5/19 22:23
11732,Red Finger Chili (Cleaned),-0.3,0.99,Stocktake Loss,2025/5/20 13:51
11732,Red Finger Chili (Cleaned),1,1.99,Stock Receipt,2025/5/20 21:41
11732,Red Finger Chili (Cleaned),-1.18,0.81,Consumption Log,2025/5/20 22:46
