Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13697,Small Channel Catfish,0,0,,2025/4/30 23:48
13697,Small Channel Catfish,20,20,Stock Receipt,2025/5/5 22:31
13697,Small Channel Catfish,-20,0,Stocktake Loss,2025/5/6 21:11
13697,Small Channel Catfish,5,5,Stocktake Gain,2025/5/6 23:58
13697,Small Channel Catfish,40,45,Stock Receipt,2025/5/7 13:47
13697,Small Channel Catfish,-10.5,34.5,Consumption Log,2025/5/7 22:25
13697,Small Channel Catfish,-9.5,25,Stocktake Loss,2025/5/8 11:15
13697,Small Channel Catfish,20,45,Stock Receipt,2025/5/8 13:37
13697,Small Channel Catfish,-18.5,26.5,Consumption Log,2025/5/8 22:30
13697,Small Channel Catfish,-26.5,0,Consumption Log,2025/5/9 22:36
13697,Small Channel Catfish,20,20,Stock Receipt,2025/5/9 22:59
13697,Small Channel Catfish,-3,17,Stocktake Loss,2025/5/10 22:39
13697,Small Channel Catfish,2,19,Stocktake Gain,2025/5/11 11:45
13697,Small Channel Catfish,20,39,Stock Receipt,2025/5/12 21:11
13697,Small Channel Catfish,-22,17,Consumption Log,2025/5/12 22:06
13697,Small Channel Catfish,2,19,Stocktake Gain,2025/5/13 12:44
13697,Small Channel Catfish,20,39,Stock Receipt,2025/5/13 20:33
13697,Small Channel Catfish,-17.5,21.5,Consumption Log,2025/5/13 22:19
13697,Small Channel Catfish,5.5,27,Stocktake Gain,2025/5/14 22:15
13697,Small Channel Catfish,20,47,Stock Receipt,2025/5/14 22:17
13697,Small Channel Catfish,-16.5,30.5,Consumption Log,2025/5/14 22:24
13697,Small Channel Catfish,20,50.5,Stock Receipt,2025/5/15 20:55
13697,Small Channel Catfish,-24,26.5,Consumption Log,2025/5/15 22:10
13697,Small Channel Catfish,-8.5,18,Stocktake Loss,2025/5/16 9:17
13697,Small Channel Catfish,20,38,Stock Receipt,2025/5/16 21:39
13697,Small Channel Catfish,-18,20,Consumption Log,2025/5/16 22:29
13697,Small Channel Catfish,-10,10,Stocktake Loss,2025/5/17 21:04
13697,Small Channel Catfish,-1.5,8.5,Stock Requisition,2025/5/17 21:18
13697,Small Channel Catfish,0.5,9,Stocktake Gain,2025/5/18 11:01
13697,Small Channel Catfish,-2,7,Stocktake Loss,2025/5/19 20:08
13697,Small Channel Catfish,40,47,Stock Receipt,2025/5/19 21:45
13697,Small Channel Catfish,-19,28,Consumption Log,2025/5/19 22:23
13697,Small Channel Catfish,2,30,Stocktake Gain,2025/5/20 13:51
13697,Small Channel Catfish,20,50,Stock Receipt,2025/5/20 21:40
13697,Small Channel Catfish,-21.5,28.5,Consumption Log,2025/5/20 22:46
13697,Small Channel Catfish,-0.5,28,Stocktake Loss,2025/5/21 20:46
13697,Small Channel Catfish,20,48,Stock Receipt,2025/5/21 21:24
13697,Small Channel Catfish,-29.5,18.5,Consumption Log,2025/5/21 22:19
13697,Small Channel Catfish,-1.5,17,Stocktake Loss,2025/5/22 9:36
13697,Small Channel Catfish,20,37,Stock Receipt,2025/5/22 14:04
13697,Small Channel Catfish,-19.5,17.5,Consumption Log,2025/5/22 22:47
13697,Small Channel Catfish,-0.5,17,Stocktake Loss,2025/5/23 10:39
13697,Small Channel Catfish,20,37,Stock Receipt,2025/5/23 13:06
13697,Small Channel Catfish,-24,13,Consumption Log,2025/5/23 23:26
