Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13673,Mixed Chili Shreds (5kg/Bag),15.01,15.01,,2025/4/30 23:48
13673,Mixed Chili Shreds (5kg/Bag),10,25.01,Stock Receipt,2025/5/1 21:47
13673,Mixed Chili Shreds (5kg/Bag),-9.63,15.38,Consumption Log,2025/5/1 23:03
13673,Mixed Chili Shreds (5kg/Bag),-2.39,12.99,Stocktake Loss,2025/5/2 19:58
13673,Mixed Chili Shreds (5kg/Bag),10,22.99,Stock Receipt,2025/5/2 21:27
13673,Mixed Chili Shreds (5kg/Bag),-6.83,16.16,Consumption Log,2025/5/2 22:41
13673,Mixed Chili Shreds (5kg/Bag),-4.17,11.99,Stocktake Loss,2025/5/3 0:43
13673,Mixed Chili Shreds (5kg/Bag),10,21.99,Stock Receipt,2025/5/3 13:42
13673,Mixed Chili Shreds (5kg/Bag),-9.02,12.97,Consumption Log,2025/5/3 22:38
13673,Mixed Chili Shreds (5kg/Bag),-1.99,10.98,Stocktake Loss,2025/5/4 22:00
13673,Mixed Chili Shreds (5kg/Bag),10,20.98,Stock Receipt,2025/5/4 22:00
13673,Mixed Chili Shreds (5kg/Bag),-9.48,11.5,Consumption Log,2025/5/4 22:39
13673,Mixed Chili Shreds (5kg/Bag),20,31.5,Stock Receipt,2025/5/5 22:31
13673,Mixed Chili Shreds (5kg/Bag),-9.07,22.43,Consumption Log,2025/5/5 22:41
13673,Mixed Chili Shreds (5kg/Bag),-7.47,14.96,Stocktake Loss,2025/5/6 21:11
13673,Mixed Chili Shreds (5kg/Bag),10,24.96,Stock Receipt,2025/5/6 22:04
13673,Mixed Chili Shreds (5kg/Bag),-3.63,21.33,Consumption Log,2025/5/6 22:23
13673,Mixed Chili Shreds (5kg/Bag),-4.38,16.95,Stocktake Loss,2025/5/6 23:58
13673,Mixed Chili Shreds (5kg/Bag),10,26.95,Stock Receipt,2025/5/7 13:47
13673,Mixed Chili Shreds (5kg/Bag),-4.23,22.72,Consumption Log,2025/5/7 22:25
13673,Mixed Chili Shreds (5kg/Bag),7.23,29.95,Stocktake Gain,2025/5/8 11:15
13673,Mixed Chili Shreds (5kg/Bag),-4.64,25.31,Consumption Log,2025/5/8 22:30
13673,Mixed Chili Shreds (5kg/Bag),-6.14,19.17,Consumption Log,2025/5/9 22:36
13673,Mixed Chili Shreds (5kg/Bag),-4.23,14.94,Stocktake Loss,2025/5/10 22:39
13673,Mixed Chili Shreds (5kg/Bag),10,24.94,Stock Receipt,2025/5/10 22:41
13673,Mixed Chili Shreds (5kg/Bag),-10.01,14.93,Stocktake Loss,2025/5/11 11:45
13673,Mixed Chili Shreds (5kg/Bag),10,24.93,Stock Receipt,2025/5/11 21:06
13673,Mixed Chili Shreds (5kg/Bag),-8.36,16.57,Consumption Log,2025/5/11 22:22
13673,Mixed Chili Shreds (5kg/Bag),1.35,17.92,Stocktake Gain,2025/5/12 17:50
13673,Mixed Chili Shreds (5kg/Bag),-3.45,14.47,Consumption Log,2025/5/12 22:06
13673,Mixed Chili Shreds (5kg/Bag),3.45,17.92,Stocktake Gain,2025/5/13 12:44
13673,Mixed Chili Shreds (5kg/Bag),10,27.92,Stock Receipt,2025/5/13 20:33
13673,Mixed Chili Shreds (5kg/Bag),-4.65,23.27,Consumption Log,2025/5/13 22:19
13673,Mixed Chili Shreds (5kg/Bag),0.65,23.92,Stocktake Gain,2025/5/14 22:15
13673,Mixed Chili Shreds (5kg/Bag),10,33.92,Stock Receipt,2025/5/14 22:17
13673,Mixed Chili Shreds (5kg/Bag),-4.59,29.33,Consumption Log,2025/5/14 22:24
13673,Mixed Chili Shreds (5kg/Bag),10,39.33,Stock Receipt,2025/5/15 20:55
13673,Mixed Chili Shreds (5kg/Bag),-4.9,34.43,Consumption Log,2025/5/15 22:10
13673,Mixed Chili Shreds (5kg/Bag),-9.53,24.9,Stocktake Loss,2025/5/16 9:17
13673,Mixed Chili Shreds (5kg/Bag),10,34.9,Stock Receipt,2025/5/16 21:39
13673,Mixed Chili Shreds (5kg/Bag),-5.68,29.22,Consumption Log,2025/5/16 22:29
13673,Mixed Chili Shreds (5kg/Bag),15.67,44.89,Stocktake Gain,2025/5/17 21:04
13673,Mixed Chili Shreds (5kg/Bag),-8.32,36.57,Consumption Log,2025/5/17 22:25
13673,Mixed Chili Shreds (5kg/Bag),-28.2,8.37,Stocktake Loss,2025/5/18 11:01
13673,Mixed Chili Shreds (5kg/Bag),-8.14,0.23,Consumption Log,2025/5/18 22:46
13673,Mixed Chili Shreds (5kg/Bag),22.64,22.87,Stocktake Gain,2025/5/19 20:08
13673,Mixed Chili Shreds (5kg/Bag),10,32.87,Stock Receipt,2025/5/19 21:45
13673,Mixed Chili Shreds (5kg/Bag),-3.95,28.92,Consumption Log,2025/5/19 22:23
13673,Mixed Chili Shreds (5kg/Bag),-12.07,16.85,Stocktake Loss,2025/5/20 13:51
13673,Mixed Chili Shreds (5kg/Bag),10,26.85,Stock Receipt,2025/5/20 21:40
13673,Mixed Chili Shreds (5kg/Bag),-9.31,17.54,Consumption Log,2025/5/20 22:46
13673,Mixed Chili Shreds (5kg/Bag),7.6,25.14,Stocktake Gain,2025/5/21 20:46
13673,Mixed Chili Shreds (5kg/Bag),-5.35,19.79,Consumption Log,2025/5/21 22:19
13673,Mixed Chili Shreds (5kg/Bag),-5.96,13.83,Stocktake Loss,2025/5/22 9:36
13673,Mixed Chili Shreds (5kg/Bag),10,23.83,Stock Receipt,2025/5/22 14:04
13673,Mixed Chili Shreds (5kg/Bag),-4.21,19.62,Consumption Log,2025/5/22 22:47
13673,Mixed Chili Shreds (5kg/Bag),-6.39,13.23,Stocktake Loss,2025/5/23 10:39
13673,Mixed Chili Shreds (5kg/Bag),10,23.23,Stock Receipt,2025/5/23 13:06
13673,Mixed Chili Shreds (5kg/Bag),-5.61,17.62,Consumption Log,2025/5/23 23:26
13673,Mixed Chili Shreds (5kg/Bag),10,27.62,Stock Receipt,2025/5/24 14:06
13673,Mixed Chili Shreds (5kg/Bag),-8.18,19.44,Consumption Log,2025/5/24 22:39
13673,Mixed Chili Shreds (5kg/Bag),16.78,36.22,Stocktake Gain,2025/5/25 11:42
13673,Mixed Chili Shreds (5kg/Bag),10,46.22,Stock Receipt,2025/5/25 21:07
13673,Mixed Chili Shreds (5kg/Bag),-8.12,38.1,Consumption Log,2025/5/25 22:26
13673,Mixed Chili Shreds (5kg/Bag),-15.29,22.81,Stocktake Loss,2025/5/25 23:34
13673,Mixed Chili Shreds (5kg/Bag),-3.91,18.9,Consumption Log,2025/5/26 21:35
13673,Mixed Chili Shreds (5kg/Bag),-3.3,15.6,Stocktake Loss,2025/5/27 20:39
13673,Mixed Chili Shreds (5kg/Bag),-4.09,11.51,Consumption Log,2025/5/27 22:27
13673,Mixed Chili Shreds (5kg/Bag),2.59,14.1,Stocktake Gain,2025/5/28 0:19
13673,Mixed Chili Shreds (5kg/Bag),10,24.1,Stock Receipt,2025/5/28 21:39
13673,Mixed Chili Shreds (5kg/Bag),-4.84,19.26,Consumption Log,2025/5/28 22:25
13673,Mixed Chili Shreds (5kg/Bag),-5.08,14.18,Consumption Log,2025/5/29 22:12
