Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,13,13,,2025/4/30 23:48
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.35,11.65,Consumption Log,2025/5/1 23:03
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.86,10.79,Consumption Log,2025/5/2 22:41
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.5,9.29,Consumption Log,2025/5/3 22:38
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.33,7.96,Consumption Log,2025/5/4 22:39
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.13,6.83,Consumption Log,2025/5/5 22:41
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.36,6.47,Consumption Log,2025/5/6 22:23
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.55,5.92,Consumption Log,2025/5/7 22:25
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.45,5.47,Consumption Log,2025/5/8 22:30
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.72,4.75,Consumption Log,2025/5/9 22:36
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,20,24.75,Stock Receipt,2025/5/9 22:59
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.18,23.57,Consumption Log,2025/5/11 22:22
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.47,23.1,Consumption Log,2025/5/12 22:06
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.48,22.62,Consumption Log,2025/5/13 22:19
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.4,22.22,Consumption Log,2025/5/14 22:24
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.5,21.72,Consumption Log,2025/5/15 22:10
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.71,21.01,Consumption Log,2025/5/16 22:29
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.12,19.89,Consumption Log,2025/5/17 22:25
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.18,18.71,Consumption Log,2025/5/18 22:46
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.48,18.23,Consumption Log,2025/5/19 22:23
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.93,17.3,Consumption Log,2025/5/20 22:46
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.45,16.85,Consumption Log,2025/5/21 22:19
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.49,16.36,Consumption Log,2025/5/22 22:47
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.67,15.69,Consumption Log,2025/5/23 23:26
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-1.01,14.68,Consumption Log,2025/5/24 22:39
11849,White Vinegar (Gengyuquan) Spec: 420ml x 20 Btls/Case,-0.75,13.93,Consumption Log,2025/5/25 22:26
