Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
12924,Pure Lard (15kg/Case),0.3,0.3,,2025/4/30 23:48
12924,Pure Lard (15kg/Case),-0.23,0.07,Consumption Log,2025/5/1 23:03
12924,Pure Lard (15kg/Case),-0.07,0,Consumption Log,2025/5/2 22:41
12924,Pure Lard (15kg/Case),1,1,Stock Receipt,2025/5/3 13:42
12924,Pure Lard (15kg/Case),-0.15,0.85,Consumption Log,2025/5/3 22:38
12924,Pure Lard (15kg/Case),-0.22,0.63,Consumption Log,2025/5/4 22:39
12924,Pure Lard (15kg/Case),-0.18,0.45,Consumption Log,2025/5/5 22:41
12924,Pure Lard (15kg/Case),-0.08,0.37,Consumption Log,2025/5/6 22:23
12924,Pure Lard (15kg/Case),-0.1,0.27,Consumption Log,2025/5/7 22:25
12924,Pure Lard (15kg/Case),-0.09,0.18,Consumption Log,2025/5/8 22:30
12924,Pure Lard (15kg/Case),-0.15,0.03,Consumption Log,2025/5/9 22:36
12924,Pure Lard (15kg/Case),-0.03,0,Consumption Log,2025/5/11 22:22
12924,Pure Lard (15kg/Case),1,1,Stock Receipt,2025/5/13 20:33
12924,Pure Lard (15kg/Case),-0.03,0.97,Consumption Log,2025/5/13 22:19
12924,Pure Lard (15kg/Case),-0.08,0.89,Consumption Log,2025/5/14 22:24
12924,Pure Lard (15kg/Case),-0.09,0.8,Consumption Log,2025/5/15 22:10
12924,Pure Lard (15kg/Case),-0.11,0.69,Consumption Log,2025/5/16 22:29
12924,Pure Lard (15kg/Case),1,1.69,Stock Receipt,2025/5/17 21:12
12924,Pure Lard (15kg/Case),-0.19,1.5,Consumption Log,2025/5/17 22:25
12924,Pure Lard (15kg/Case),-0.21,1.29,Consumption Log,2025/5/18 22:46
12924,Pure Lard (15kg/Case),-0.11,1.18,Consumption Log,2025/5/19 22:23
12924,Pure Lard (15kg/Case),-0.18,1,Consumption Log,2025/5/20 22:46
12924,Pure Lard (15kg/Case),-0.14,0.86,Consumption Log,2025/5/21 22:19
12924,Pure Lard (15kg/Case),-0.11,0.75,Consumption Log,2025/5/22 22:47
12924,Pure Lard (15kg/Case),1,1.75,Stock Receipt,2025/5/23 13:06
12924,Pure Lard (15kg/Case),-0.15,1.6,Consumption Log,2025/5/23 23:26
12924,Pure Lard (15kg/Case),-0.16,1.44,Consumption Log,2025/5/24 22:39
12924,Pure Lard (15kg/Case),-0.14,1.3,Consumption Log,2025/5/25 22:26
12924,Pure Lard (15kg/Case),-0.12,1.18,Consumption Log,2025/5/26 21:35
12924,Pure Lard (15kg/Case),-0.1,1.08,Consumption Log,2025/5/27 22:27
12924,Pure Lard (15kg/Case),-0.12,0.96,Consumption Log,2025/5/28 22:25
12924,Pure Lard (15kg/Case),1,1.96,Stock Receipt,2025/5/29 20:38
12924,Pure Lard (15kg/Case),-0.1,1.86,Consumption Log,2025/5/29 22:12
12924,Pure Lard (15kg/Case),-0.14,1.72,Consumption Log,2025/5/30 22:55
12924,Pure Lard (15kg/Case),-0.5,1.22,Stock Requisition,2025/5/31 22:46
12924,Pure Lard (15kg/Case),-0.21,1.01,Consumption Log,2025/5/31 22:55
12924,Pure Lard (15kg/Case),-0.22,0.79,Stocktake Loss,2025/6/1 0:11
12924,Pure Lard (15kg/Case),-0.19,0.6,Consumption Log,2025/6/1 22:47
12924,Pure Lard (15kg/Case),-0.19,0.41,Consumption Log,2025/6/2 22:43
12924,Pure Lard (15kg/Case),-0.08,0.33,Consumption Log,2025/6/3 22:06
12924,Pure Lard (15kg/Case),-0.08,0.25,Consumption Log,2025/6/4 22:22
12924,Pure Lard (15kg/Case),-0.1,0.15,Consumption Log,2025/6/5 22:27
12924,Pure Lard (15kg/Case),-0.15,0,Consumption Log,2025/6/6 22:45
12924,Pure Lard (15kg/Case),1,1,Stock Receipt,2025/6/7 13:16
12924,Pure Lard (15kg/Case),-0.16,0.84,Consumption Log,2025/6/7 22:51
12924,Pure Lard (15kg/Case),-0.21,0.63,Consumption Log,2025/6/8 22:22
12924,Pure Lard (15kg/Case),-0.1,0.53,Consumption Log,2025/6/9 22:19
