Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,4,4,,2025/4/30 23:48
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,6,Stock Receipt,2025/5/1 21:47
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-2.63,3.37,Consumption Log,2025/5/1 23:03
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.5,2.87,Stock Requisition,2025/5/1 23:05
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,1.13,4,Stocktake Gain,2025/5/2 19:58
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,6,Stock Receipt,2025/5/2 21:27
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.3,5.7,Stock Requisition,2025/5/2 22:32
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-1.94,3.76,Consumption Log,2025/5/2 22:41
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-1.36,2.4,Stocktake Loss,2025/5/3 0:43
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,4.4,Stock Receipt,2025/5/3 13:42
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-2.27,2.13,Consumption Log,2025/5/3 22:38
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.14,1.99,Stocktake Loss,2025/5/4 22:00
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,3.99,Stock Receipt,2025/5/4 22:00
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-2.58,1.41,Consumption Log,2025/5/4 22:39
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.4,1.01,Stock Requisition,2025/5/5 22:31
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,3.01,Stock Receipt,2025/5/5 22:31
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,5.01,Stock Receipt,2025/5/5 22:31
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-2.52,2.49,Consumption Log,2025/5/5 22:41
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.5,1.99,Stocktake Loss,2025/5/6 21:11
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.3,1.69,Stock Requisition,2025/5/6 22:04
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,3.69,Stock Receipt,2025/5/6 22:04
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-1.05,2.64,Consumption Log,2025/5/6 22:23
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.35,2.99,Stocktake Gain,2025/5/6 23:58
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,4.99,Stock Receipt,2025/5/7 13:47
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.3,4.69,Stock Requisition,2025/5/7 21:59
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-1.17,3.52,Consumption Log,2025/5/7 22:25
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.47,3.99,Stocktake Gain,2025/5/8 11:15
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.3,3.69,Stock Requisition,2025/5/8 21:58
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-1.26,2.43,Consumption Log,2025/5/8 22:30
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-1.62,0.81,Consumption Log,2025/5/9 22:36
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.5,0.31,Stock Requisition,2025/5/9 22:59
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,2.31,Stock Receipt,2025/5/9 22:59
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.68,2.99,Stocktake Gain,2025/5/10 22:39
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.3,2.69,Stock Requisition,2025/5/10 22:41
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,4.69,Stock Receipt,2025/5/10 22:41
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,2,6.69,Stock Receipt,2025/5/11 21:06
13449,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,-0.3,6.39,Stock Requisition,2025/5/11 21:52
