Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13623,Fried Garlic Granules,1.2,1.2,,2025/4/30 23:48
13623,Fried Garlic Granules,1,2.2,Stock Receipt,2025/5/1 21:47
13623,Fried Garlic Granules,-1.02,1.18,Consumption Log,2025/5/1 23:03
13623,Fried Garlic Granules,1,2.18,Stock Receipt,2025/5/2 21:27
13623,Fried Garlic Granules,-0.78,1.4,Consumption Log,2025/5/2 22:41
13623,Fried Garlic Granules,1,2.4,Stock Receipt,2025/5/3 13:42
13623,Fried Garlic Granules,-1.06,1.34,Consumption Log,2025/5/3 22:38
13623,Fried Garlic Granules,-0.86,0.48,Consumption Log,2025/5/4 22:39
13623,Fried Garlic Granules,1,1.48,Stock Receipt,2025/5/5 22:31
13623,Fried Garlic Granules,-1.26,0.22,Consumption Log,2025/5/5 22:41
13623,Fried Garlic Granules,-0.14,0.08,Consumption Log,2025/5/6 22:23
13623,Fried Garlic Granules,1,1.08,Stock Receipt,2025/5/7 13:47
13623,Fried Garlic Granules,-0.38,0.7,Consumption Log,2025/5/7 22:25
13623,Fried Garlic Granules,-0.29,0.41,Consumption Log,2025/5/8 22:30
13623,Fried Garlic Granules,-0.41,0,Consumption Log,2025/5/9 22:36
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/5/10 22:41
13623,Fried Garlic Granules,-1,0,Consumption Log,2025/5/11 22:22
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/5/12 21:11
13623,Fried Garlic Granules,-0.15,0.85,Consumption Log,2025/5/12 22:06
13623,Fried Garlic Granules,-0.33,0.52,Consumption Log,2025/5/13 22:19
13623,Fried Garlic Granules,-0.29,0.23,Consumption Log,2025/5/14 22:24
13623,Fried Garlic Granules,-0.24,-0.01,Consumption Log,2025/5/15 22:10
13623,Fried Garlic Granules,1,0.99,Stock Receipt,2025/5/16 21:39
13623,Fried Garlic Granules,-0.82,0.17,Consumption Log,2025/5/17 22:25
13623,Fried Garlic Granules,1,1.17,Stock Receipt,2025/5/18 21:25
13623,Fried Garlic Granules,-0.2,0.97,Consumption Log,2025/5/18 22:46
13623,Fried Garlic Granules,1,1.97,Stock Receipt,2025/5/19 21:45
13623,Fried Garlic Granules,-0.31,1.66,Consumption Log,2025/5/19 22:23
13623,Fried Garlic Granules,-0.56,1.1,Consumption Log,2025/5/20 22:46
13623,Fried Garlic Granules,-0.27,0.83,Consumption Log,2025/5/21 22:19
13623,Fried Garlic Granules,1,1.83,Stock Receipt,2025/5/22 14:04
13623,Fried Garlic Granules,-0.29,1.54,Consumption Log,2025/5/22 22:47
13623,Fried Garlic Granules,-0.5,1.04,Consumption Log,2025/5/23 23:26
13623,Fried Garlic Granules,1,2.04,Stock Receipt,2025/5/24 14:06
13623,Fried Garlic Granules,-1.08,0.96,Consumption Log,2025/5/24 22:39
13623,Fried Garlic Granules,-0.97,-0.01,Consumption Log,2025/5/25 22:26
13623,Fried Garlic Granules,1,0.99,Stock Receipt,2025/5/30 14:19
13623,Fried Garlic Granules,-0.6,0.39,Consumption Log,2025/5/30 22:55
13623,Fried Garlic Granules,1,1.39,Stock Receipt,2025/5/31 15:11
13623,Fried Garlic Granules,-0.98,0.41,Consumption Log,2025/5/31 22:55
13623,Fried Garlic Granules,0.98,1.39,Stocktake Gain,2025/6/1 0:11
13623,Fried Garlic Granules,-1.04,0.35,Consumption Log,2025/6/1 22:47
13623,Fried Garlic Granules,1,1.35,Stock Receipt,2025/6/2 22:00
13623,Fried Garlic Granules,-0.98,0.37,Consumption Log,2025/6/2 22:43
13623,Fried Garlic Granules,1,1.37,Stock Receipt,2025/6/3 21:41
13623,Fried Garlic Granules,-0.39,0.98,Consumption Log,2025/6/3 22:06
13623,Fried Garlic Granules,-0.23,0.75,Consumption Log,2025/6/4 22:22
13623,Fried Garlic Granules,-0.27,0.48,Consumption Log,2025/6/5 22:27
13623,Fried Garlic Granules,-0.48,0,Consumption Log,2025/6/6 22:45
13623,Fried Garlic Granules,2,2,Stock Receipt,2025/6/15 22:06
13623,Fried Garlic Granules,-1.4,0.6,Consumption Log,2025/6/15 22:35
13623,Fried Garlic Granules,-0.33,0.27,Consumption Log,2025/6/16 22:24
13623,Fried Garlic Granules,-0.27,0,Consumption Log,2025/6/17 22:55
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/6/19 13:10
13623,Fried Garlic Granules,-0.48,0.52,Consumption Log,2025/6/19 22:14
13623,Fried Garlic Granules,-0.02,0.5,Consumption Log,2025/6/20 9:38
13623,Fried Garlic Granules,-0.5,0,Consumption Log,2025/6/20 22:35
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/6/21 22:14
13623,Fried Garlic Granules,-1,0,Consumption Log,2025/6/21 23:03
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/6/22 22:13
13623,Fried Garlic Granules,-1,0,Consumption Log,2025/6/22 22:20
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/6/27 12:59
13623,Fried Garlic Granules,-0.41,0.59,Consumption Log,2025/6/27 22:40
13623,Fried Garlic Granules,-0.59,0,Consumption Log,2025/6/28 22:18
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/6/29 22:31
13623,Fried Garlic Granules,-0.55,0.45,Consumption Log,2025/6/30 22:28
13623,Fried Garlic Granules,0.15,0.6,Stocktake Gain,2025/6/30 23:53
13623,Fried Garlic Granules,1,1.6,Stock Receipt,2025/7/1 14:33
13623,Fried Garlic Granules,-0.67,0.93,Consumption Log,2025/7/1 22:37
13623,Fried Garlic Granules,1,1.93,Stock Receipt,2025/7/2 13:40
13623,Fried Garlic Granules,-0.7,1.23,Consumption Log,2025/7/2 22:11
13623,Fried Garlic Granules,-0.58,0.65,Consumption Log,2025/7/3 22:34
13623,Fried Garlic Granules,-0.65,0,Consumption Log,2025/7/4 22:27
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/7/5 22:03
13623,Fried Garlic Granules,-1,0,Consumption Log,2025/7/5 22:40
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/7/6 21:52
13623,Fried Garlic Granules,-1,0,Consumption Log,2025/7/6 22:29
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/7/11 19:41
13623,Fried Garlic Granules,-0.26,0.74,Consumption Log,2025/7/11 22:20
13623,Fried Garlic Granules,-0.74,0,Consumption Log,2025/7/12 23:02
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/7/13 21:12
13623,Fried Garlic Granules,-0.04,0.96,Consumption Log,2025/7/13 22:17
13623,Fried Garlic Granules,-0.61,0.35,Consumption Log,2025/7/14 22:29
13623,Fried Garlic Granules,1,1.35,Stock Receipt,2025/7/15 14:12
13623,Fried Garlic Granules,-0.58,0.77,Consumption Log,2025/7/15 22:46
13623,Fried Garlic Granules,-0.02,0.75,Consumption Log,2025/7/16 10:40
13623,Fried Garlic Granules,1,1.75,Stock Receipt,2025/7/16 21:08
13623,Fried Garlic Granules,-0.58,1.17,Consumption Log,2025/7/16 22:14
13623,Fried Garlic Granules,-0.57,0.6,Consumption Log,2025/7/17 22:21
13623,Fried Garlic Granules,-0.6,0,Consumption Log,2025/7/18 22:29
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/7/19 21:50
13623,Fried Garlic Granules,-0.92,0.08,Consumption Log,2025/7/19 22:41
13623,Fried Garlic Granules,-0.08,0,Consumption Log,2025/7/20 22:47
13623,Fried Garlic Granules,2,2,Stock Receipt,2025/7/22 21:53
13623,Fried Garlic Granules,-0.59,1.41,Consumption Log,2025/7/22 22:27
13623,Fried Garlic Granules,-0.46,0.95,Consumption Log,2025/7/23 22:15
13623,Fried Garlic Granules,-0.42,0.53,Consumption Log,2025/7/24 22:28
13623,Fried Garlic Granules,-0.54,-0.01,Consumption Log,2025/7/25 22:43
13623,Fried Garlic Granules,2,1.99,Stock Receipt,2025/7/27 14:10
13623,Fried Garlic Granules,-0.62,1.37,Consumption Log,2025/7/27 22:01
13623,Fried Garlic Granules,-0.46,0.91,Consumption Log,2025/7/28 22:19
13623,Fried Garlic Granules,-0.75,0.16,Consumption Log,2025/7/29 22:27
13623,Fried Garlic Granules,-0.17,-0.01,Consumption Log,2025/7/30 22:07
13623,Fried Garlic Granules,1,0.99,Stock Receipt,2025/8/1 21:40
13623,Fried Garlic Granules,-0.02,0.97,Consumption Log,2025/8/1 22:14
13623,Fried Garlic Granules,1,1.97,Stock Receipt,2025/8/2 21:27
13623,Fried Garlic Granules,-0.98,0.99,Consumption Log,2025/8/2 22:35
13623,Fried Garlic Granules,-1,-0.01,Consumption Log,2025/8/3 22:25
13623,Fried Garlic Granules,1,0.99,Stock Receipt,2025/8/7 21:55
13623,Fried Garlic Granules,-0.02,0.97,Consumption Log,2025/8/7 23:10
13623,Fried Garlic Granules,-0.02,0.95,Consumption Log,2025/8/8 23:52
13623,Fried Garlic Granules,-0.42,0.53,Consumption Log,2025/8/9 0:05
13623,Fried Garlic Granules,1,1.53,Stock Receipt,2025/8/9 21:17
13623,Fried Garlic Granules,-0.58,0.95,Consumption Log,2025/8/9 23:44
13623,Fried Garlic Granules,-0.9,0.05,Consumption Log,2025/8/10 23:48
13623,Fried Garlic Granules,-0.06,-0.01,Consumption Log,2025/8/11 0:00
13623,Fried Garlic Granules,1,0.99,Stock Receipt,2025/8/13 13:22
13623,Fried Garlic Granules,-0.57,0.42,Consumption Log,2025/8/13 23:58
13623,Fried Garlic Granules,-0.43,-0.01,Consumption Log,2025/8/15 0:15
13623,Fried Garlic Granules,2,1.99,Stock Receipt,2025/8/16 22:07
13623,Fried Garlic Granules,-1.04,0.95,Consumption Log,2025/8/17 23:21
13623,Fried Garlic Granules,-0.5,0.45,Consumption Log,2025/8/18 23:18
13623,Fried Garlic Granules,1,1.45,Stock Receipt,2025/8/19 9:06
13623,Fried Garlic Granules,-0.04,1.41,Consumption Log,2025/8/19 9:17
13623,Fried Garlic Granules,-0.58,0.83,Consumption Log,2025/8/19 23:04
13623,Fried Garlic Granules,-0.08,0.75,Consumption Log,2025/8/20 23:44
13623,Fried Garlic Granules,-0.6,0.15,Consumption Log,2025/8/21 0:12
13623,Fried Garlic Granules,2,2.15,Stock Receipt,2025/8/21 13:35
13623,Fried Garlic Granules,-0.43,1.72,Consumption Log,2025/8/21 23:46
13623,Fried Garlic Granules,-0.04,1.68,Consumption Log,2025/8/22 23:01
13623,Fried Garlic Granules,-0.58,1.1,Consumption Log,2025/8/23 0:23
13623,Fried Garlic Granules,-1.04,0.06,Consumption Log,2025/8/23 23:53
13623,Fried Garlic Granules,-0.07,-0.01,Consumption Log,2025/8/24 23:59
13623,Fried Garlic Granules,2,1.99,Stock Receipt,2025/9/1 22:18
13623,Fried Garlic Granules,-0.02,1.97,Consumption Log,2025/9/1 23:28
13623,Fried Garlic Granules,-0.32,1.65,Consumption Log,2025/9/2 23:56
13623,Fried Garlic Granules,-0.42,1.23,Consumption Log,2025/9/3 23:59
13623,Fried Garlic Granules,-0.39,0.84,Consumption Log,2025/9/4 23:54
13623,Fried Garlic Granules,-0.02,0.82,Consumption Log,2025/9/5 0:00
13623,Fried Garlic Granules,-0.59,0.23,Consumption Log,2025/9/5 23:47
13623,Fried Garlic Granules,-0.02,0.21,Consumption Log,2025/9/6 0:17
13623,Fried Garlic Granules,-0.22,-0.01,Stocktake Loss,2025/9/6 11:35
13623,Fried Garlic Granules,2,1.99,Stock Receipt,2025/9/8 21:59
13623,Fried Garlic Granules,-0.02,1.97,Consumption Log,2025/9/8 23:35
13623,Fried Garlic Granules,-0.33,1.64,Consumption Log,2025/9/9 0:03
13623,Fried Garlic Granules,-0.34,1.3,Consumption Log,2025/9/10 0:06
13623,Fried Garlic Granules,-0.5,0.8,Consumption Log,2025/9/10 23:50
13623,Fried Garlic Granules,-0.02,0.78,Consumption Log,2025/9/11 0:23
13623,Fried Garlic Granules,-0.02,0.76,Consumption Log,2025/9/11 23:55
13623,Fried Garlic Granules,-0.3,0.46,Consumption Log,2025/9/12 0:25
13623,Fried Garlic Granules,-0.02,0.44,Consumption Log,2025/9/12 23:52
13623,Fried Garlic Granules,-0.45,-0.01,Consumption Log,2025/9/13 0:47
13623,Fried Garlic Granules,2,1.99,Stock Receipt,2025/9/14 22:05
13623,Fried Garlic Granules,-0.9,1.09,Consumption Log,2025/9/15 0:46
13623,Fried Garlic Granules,1,2.09,Stock Receipt,2025/9/15 22:21
13623,Fried Garlic Granules,-0.35,1.74,Consumption Log,2025/9/16 0:43
13623,Fried Garlic Granules,-0.31,1.43,Consumption Log,2025/9/16 23:02
13623,Fried Garlic Granules,-0.3,1.13,Consumption Log,2025/9/17 23:38
13623,Fried Garlic Granules,-0.24,0.89,Consumption Log,2025/9/18 23:32
13623,Fried Garlic Granules,-0.16,0.73,Consumption Log,2025/9/19 23:26
13623,Fried Garlic Granules,-0.18,0.55,Consumption Log,2025/9/20 0:02
13623,Fried Garlic Granules,-0.48,0.07,Consumption Log,2025/9/20 23:50
13623,Fried Garlic Granules,-0.08,-0.01,Consumption Log,2025/9/21 0:11
13623,Fried Garlic Granules,2,1.99,Stock Receipt,2025/9/22 13:26
13623,Fried Garlic Granules,-0.22,1.77,Consumption Log,2025/9/22 23:58
13623,Fried Garlic Granules,-0.32,1.45,Consumption Log,2025/9/23 23:02
13623,Fried Garlic Granules,-0.24,1.21,Consumption Log,2025/9/24 23:22
13623,Fried Garlic Granules,-0.45,0.76,Consumption Log,2025/9/25 23:50
13623,Fried Garlic Granules,1,1.76,Stock Receipt,2025/9/26 13:44
13623,Fried Garlic Granules,-0.37,1.39,Consumption Log,2025/9/26 23:50
13623,Fried Garlic Granules,1,2.39,Stock Receipt,2025/9/27 14:09
13623,Fried Garlic Granules,-0.84,1.55,Consumption Log,2025/9/27 23:44
13623,Fried Garlic Granules,-0.24,1.31,Consumption Log,2025/9/28 0:24
13623,Fried Garlic Granules,1,2.31,Stock Receipt,2025/9/28 13:21
13623,Fried Garlic Granules,-0.3,2.01,Consumption Log,2025/9/28 22:21
13623,Fried Garlic Granules,-0.43,1.58,Consumption Log,2025/9/29 23:39
13623,Fried Garlic Granules,-0.66,0.92,Consumption Log,2025/9/30 22:57
13623,Fried Garlic Granules,1.28,2.2,Stocktake Gain,2025/10/1 0:56
13623,Fried Garlic Granules,-1,1.2,Consumption Log,2025/10/1 23:54
13623,Fried Garlic Granules,1,2.2,Stock Receipt,2025/10/2 14:19
13623,Fried Garlic Granules,-0.78,1.42,Consumption Log,2025/10/2 23:46
13623,Fried Garlic Granules,1,2.42,Stock Receipt,2025/10/3 21:40
13623,Fried Garlic Granules,-0.74,1.68,Consumption Log,2025/10/3 23:57
13623,Fried Garlic Granules,-0.58,1.1,Consumption Log,2025/10/5 0:18
13623,Fried Garlic Granules,-0.84,0.26,Consumption Log,2025/10/6 0:16
13623,Fried Garlic Granules,-0.26,0,Consumption Log,2025/10/7 0:21
13623,Fried Garlic Granules,1,1,Stock Receipt,2025/10/9 22:12
13623,Fried Garlic Granules,-0.02,0.98,Consumption Log,2025/10/9 23:35
13623,Fried Garlic Granules,-0.21,0.77,Consumption Log,2025/10/10 0:17
13623,Fried Garlic Granules,1,1.77,Stock Receipt,2025/10/10 22:08
13623,Fried Garlic Granules,-0.18,1.59,Consumption Log,2025/10/10 23:56
13623,Fried Garlic Granules,-0.05,1.54,Consumption Log,2025/10/11 0:41
13623,Fried Garlic Granules,-0.51,1.03,Consumption Log,2025/10/11 23:55
13623,Fried Garlic Granules,-0.78,0.25,Consumption Log,2025/10/12 23:32
13623,Fried Garlic Granules,-0.06,0.19,Consumption Log,2025/10/13 0:19
13623,Fried Garlic Granules,-0.18,0.01,Consumption Log,2025/10/13 23:51
13623,Fried Garlic Granules,1,1.01,Stock Receipt,2025/10/18 22:20
13623,Fried Garlic Granules,-0.04,0.97,Consumption Log,2025/10/18 23:50
13623,Fried Garlic Granules,-0.04,0.93,Consumption Log,2025/10/19 0:22
13623,Fried Garlic Granules,-0.92,0.01,Consumption Log,2025/10/19 23:52
13623,Fried Garlic Granules,2,2.01,Stock Receipt,2025/10/22 21:17
13623,Fried Garlic Granules,-0.11,1.9,Consumption Log,2025/10/23 0:00
13623,Fried Garlic Granules,-0.39,1.51,Consumption Log,2025/10/23 23:55
13623,Fried Garlic Granules,-0.42,1.09,Consumption Log,2025/10/24 23:43
13623,Fried Garlic Granules,-0.62,0.47,Consumption Log,2025/10/25 23:53
