Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),101,101,,2025/4/30 23:48
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,141,Stock Receipt,2025/5/1 21:47
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-51,90,Consumption Log,2025/5/1 23:03
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-40,50,Stocktake Loss,2025/5/2 19:58
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,90,Stock Receipt,2025/5/2 21:27
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-39,51,Consumption Log,2025/5/2 22:41
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),25,76,Stocktake Gain,2025/5/3 0:43
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,116,Stock Receipt,2025/5/3 13:42
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-53,63,Consumption Log,2025/5/3 22:38
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-23,40,Stocktake Loss,2025/5/4 22:00
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,80,Stock Receipt,2025/5/4 22:00
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-43,37,Consumption Log,2025/5/4 22:39
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,77,Stock Receipt,2025/5/5 22:31
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-63,14,Consumption Log,2025/5/5 22:41
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),28,42,Stocktake Gain,2025/5/6 21:11
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-1,41,Stock Requisition,2025/5/6 22:04
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,81,Stock Receipt,2025/5/6 22:04
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-7,74,Consumption Log,2025/5/6 22:23
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-5,69,Stocktake Loss,2025/5/6 23:58
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),40,109,Stock Receipt,2025/5/7 13:47
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-19.67,89.33,Consumption Log,2025/5/7 22:25
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-49.33,40,Stocktake Loss,2025/5/8 11:15
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-14.67,25.33,Consumption Log,2025/5/8 22:30
14688,Grilled Fish Base - Garlic Flavor (Kaojiang),-24.01,1.32,Consumption Log,2025/5/9 22:36
