Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14686,Grilled Fish Base - Green Pepper (Kaojiang),0,0,,2025/4/30 23:48
14686,Grilled Fish Base - Green Pepper (Kaojiang),120,120,Stock Receipt,2025/5/3 13:42
14686,Grilled Fish Base - Green Pepper (Kaojiang),-21,99,Consumption Log,2025/5/3 22:38
14686,Grilled Fish Base - Green Pepper (Kaojiang),-19,80,Stocktake Loss,2025/5/4 22:00
14686,Grilled Fish Base - Green Pepper (Kaojiang),-33,47,Consumption Log,2025/5/4 22:39
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,87,Stock Receipt,2025/5/5 22:31
14686,Grilled Fish Base - Green Pepper (Kaojiang),-37,50,Consumption Log,2025/5/5 22:41
14686,Grilled Fish Base - Green Pepper (Kaojiang),15,65,Stocktake Gain,2025/5/6 21:11
14686,Grilled Fish Base - Green Pepper (Kaojiang),-15,50,Consumption Log,2025/5/6 22:23
14686,Grilled Fish Base - Green Pepper (Kaojiang),45,95,Stocktake Gain,2025/5/6 23:58
14686,Grilled Fish Base - Green Pepper (Kaojiang),-15.17,79.83,Consumption Log,2025/5/7 22:25
14686,Grilled Fish Base - Green Pepper (Kaojiang),-39.83,40,Stocktake Loss,2025/5/8 11:15
14686,Grilled Fish Base - Green Pepper (Kaojiang),-16.5,23.5,Consumption Log,2025/5/8 22:30
14686,Grilled Fish Base - Green Pepper (Kaojiang),-17.84,5.66,Consumption Log,2025/5/9 22:36
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,45.66,Stock Receipt,2025/5/9 22:59
14686,Grilled Fish Base - Green Pepper (Kaojiang),34.34,80,Stocktake Gain,2025/5/10 22:39
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,120,Stock Receipt,2025/5/10 22:41
14686,Grilled Fish Base - Green Pepper (Kaojiang),-17,103,Stocktake Loss,2025/5/11 11:45
14686,Grilled Fish Base - Green Pepper (Kaojiang),-30,73,Consumption Log,2025/5/11 22:22
14686,Grilled Fish Base - Green Pepper (Kaojiang),-8,65,Stocktake Loss,2025/5/12 17:50
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,105,Stock Receipt,2025/5/12 21:11
14686,Grilled Fish Base - Green Pepper (Kaojiang),-9.67,95.33,Consumption Log,2025/5/12 22:06
14686,Grilled Fish Base - Green Pepper (Kaojiang),-1.33,94,Stocktake Loss,2025/5/13 12:44
14686,Grilled Fish Base - Green Pepper (Kaojiang),-11.67,82.33,Consumption Log,2025/5/13 22:19
14686,Grilled Fish Base - Green Pepper (Kaojiang),-0.33,82,Stocktake Loss,2025/5/14 22:15
14686,Grilled Fish Base - Green Pepper (Kaojiang),-11.17,70.83,Consumption Log,2025/5/14 22:24
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,110.83,Stock Receipt,2025/5/15 20:55
14686,Grilled Fish Base - Green Pepper (Kaojiang),-25.5,85.33,Consumption Log,2025/5/15 22:10
14686,Grilled Fish Base - Green Pepper (Kaojiang),0.67,86,Stocktake Gain,2025/5/16 9:17
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,126,Stock Receipt,2025/5/16 21:39
14686,Grilled Fish Base - Green Pepper (Kaojiang),-20.34,105.66,Consumption Log,2025/5/16 22:29
14686,Grilled Fish Base - Green Pepper (Kaojiang),-25.66,80,Stocktake Loss,2025/5/17 21:04
14686,Grilled Fish Base - Green Pepper (Kaojiang),-32,48,Consumption Log,2025/5/17 22:25
14686,Grilled Fish Base - Green Pepper (Kaojiang),29,77,Stocktake Gain,2025/5/18 11:01
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,117,Stock Receipt,2025/5/18 21:25
14686,Grilled Fish Base - Green Pepper (Kaojiang),-31,86,Consumption Log,2025/5/18 22:46
14686,Grilled Fish Base - Green Pepper (Kaojiang),-2,84,Stocktake Loss,2025/5/19 20:08
14686,Grilled Fish Base - Green Pepper (Kaojiang),40,124,Stock Receipt,2025/5/19 21:45
14686,Grilled Fish Base - Green Pepper (Kaojiang),-9.84,114.16,Consumption Log,2025/5/19 22:23
14686,Grilled Fish Base - Green Pepper (Kaojiang),-0.16,114,Stocktake Loss,2025/5/20 13:51
