Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14685,Grilled Fish Base - Spicy Mala (Kaojiang),165,165,,2025/4/30 23:48
14685,Grilled Fish Base - Spicy Mala (Kaojiang),210,375,Stock Receipt,2025/5/1 21:47
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-179,196,Consumption Log,2025/5/1 23:03
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-3,193,Stock Requisition,2025/5/1 23:05
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-3,190,Stocktake Loss,2025/5/2 19:58
14685,Grilled Fish Base - Spicy Mala (Kaojiang),210,400,Stock Receipt,2025/5/2 21:27
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-129.75,270.25,Consumption Log,2025/5/2 22:41
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-48.25,222,Stocktake Loss,2025/5/3 0:43
14685,Grilled Fish Base - Spicy Mala (Kaojiang),210,432,Stock Receipt,2025/5/3 13:42
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-165.42,266.58,Consumption Log,2025/5/3 22:38
14685,Grilled Fish Base - Spicy Mala (Kaojiang),13.42,280,Stocktake Gain,2025/5/4 22:00
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,420,Stock Receipt,2025/5/4 22:00
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-187.11,232.89,Consumption Log,2025/5/4 22:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),210,442.89,Stock Receipt,2025/5/5 22:31
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-177.04,265.85,Consumption Log,2025/5/5 22:41
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-9.85,256,Stocktake Loss,2025/5/6 21:11
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-4,252,Stock Requisition,2025/5/6 22:04
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,392,Stock Receipt,2025/5/6 22:04
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-75.27,316.73,Consumption Log,2025/5/6 22:23
14685,Grilled Fish Base - Spicy Mala (Kaojiang),1.27,318,Stocktake Gain,2025/5/6 23:58
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,458,Stock Receipt,2025/5/7 13:47
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-85.87,372.13,Consumption Log,2025/5/7 22:25
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-22.13,350,Stocktake Loss,2025/5/8 11:15
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-93.31,256.69,Consumption Log,2025/5/8 22:30
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-124.58,132.11,Consumption Log,2025/5/9 22:36
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-1,131.11,Stock Requisition,2025/5/9 22:59
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,271.11,Stock Receipt,2025/5/9 22:59
14685,Grilled Fish Base - Spicy Mala (Kaojiang),19.89,291,Stocktake Gain,2025/5/10 22:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,431,Stock Receipt,2025/5/10 22:41
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-138,293,Stocktake Loss,2025/5/11 11:45
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,433,Stock Receipt,2025/5/11 21:06
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-156.05,276.95,Consumption Log,2025/5/11 22:22
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-4.95,272,Stocktake Loss,2025/5/12 17:50
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,342,Stock Receipt,2025/5/12 21:11
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-4,338,Stock Requisition,2025/5/12 22:05
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-65.75,272.25,Consumption Log,2025/5/12 22:06
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-0.25,272,Stocktake Loss,2025/5/13 12:44
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,342,Stock Receipt,2025/5/13 20:33
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-95.44,246.56,Consumption Log,2025/5/13 22:19
14685,Grilled Fish Base - Spicy Mala (Kaojiang),2.44,249,Stocktake Gain,2025/5/14 22:15
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,319,Stock Receipt,2025/5/14 22:17
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-94.8,224.2,Consumption Log,2025/5/14 22:24
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,294.2,Stock Receipt,2025/5/15 20:55
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-97.33,196.87,Consumption Log,2025/5/15 22:10
14685,Grilled Fish Base - Spicy Mala (Kaojiang),1.13,198,Stocktake Gain,2025/5/16 9:17
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,338,Stock Receipt,2025/5/16 21:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-110.01,227.99,Consumption Log,2025/5/16 22:29
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-17.99,210,Stocktake Loss,2025/5/17 21:04
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,350,Stock Receipt,2025/5/17 21:12
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-158.82,191.18,Consumption Log,2025/5/17 22:25
14685,Grilled Fish Base - Spicy Mala (Kaojiang),16.82,208,Stocktake Gain,2025/5/18 11:01
14685,Grilled Fish Base - Spicy Mala (Kaojiang),210,418,Stock Receipt,2025/5/18 21:25
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-155.88,262.12,Consumption Log,2025/5/18 22:46
14685,Grilled Fish Base - Spicy Mala (Kaojiang),0.88,263,Stocktake Gain,2025/5/19 20:08
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,403,Stock Receipt,2025/5/19 21:45
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-4,399,Stock Requisition,2025/5/19 22:18
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-81.37,317.63,Consumption Log,2025/5/19 22:23
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-9.63,308,Stocktake Loss,2025/5/20 13:51
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,378,Stock Receipt,2025/5/20 21:40
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-177.57,200.43,Consumption Log,2025/5/20 22:46
14685,Grilled Fish Base - Spicy Mala (Kaojiang),10.57,211,Stocktake Gain,2025/5/21 20:46
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,351,Stock Receipt,2025/5/21 21:24
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-110,241,Consumption Log,2025/5/21 22:19
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-2,239,Stocktake Loss,2025/5/22 9:36
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,379,Stock Receipt,2025/5/22 14:04
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-84.65,294.35,Consumption Log,2025/5/22 22:47
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-14.35,280,Stocktake Loss,2025/5/23 10:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,350,Stock Receipt,2025/5/23 13:06
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-115.56,234.44,Consumption Log,2025/5/23 23:26
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,374.44,Stock Receipt,2025/5/24 14:06
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-159.2,215.24,Consumption Log,2025/5/24 22:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),10.76,226,Stocktake Gain,2025/5/25 11:42
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,366,Stock Receipt,2025/5/25 21:07
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-161.33,204.67,Consumption Log,2025/5/25 22:26
14685,Grilled Fish Base - Spicy Mala (Kaojiang),2.33,207,Stocktake Gain,2025/5/25 23:34
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,347,Stock Receipt,2025/5/26 12:32
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-76.84,270.16,Consumption Log,2025/5/26 21:35
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-3,267.16,Stock Requisition,2025/5/26 21:53
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-2.16,265,Stocktake Loss,2025/5/27 20:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,335,Stock Receipt,2025/5/27 21:22
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-83.47,251.53,Consumption Log,2025/5/27 22:27
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-0.53,251,Stocktake Loss,2025/5/28 0:19
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,321,Stock Receipt,2025/5/28 21:39
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-91.71,229.29,Consumption Log,2025/5/28 22:25
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,299.29,Stock Receipt,2025/5/29 20:38
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-103.59,195.7,Consumption Log,2025/5/29 22:12
14685,Grilled Fish Base - Spicy Mala (Kaojiang),3.3,199,Stocktake Gain,2025/5/30 13:38
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,339,Stock Receipt,2025/5/30 14:19
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-136.01,202.99,Consumption Log,2025/5/30 22:55
14685,Grilled Fish Base - Spicy Mala (Kaojiang),0.01,203,Stocktake Gain,2025/5/31 9:14
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,343,Stock Receipt,2025/5/31 15:11
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-3,340,Stock Requisition,2025/5/31 22:46
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-181.81,158.19,Consumption Log,2025/5/31 22:55
14685,Grilled Fish Base - Spicy Mala (Kaojiang),5.81,164,Stocktake Gain,2025/6/1 0:11
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,304,Stock Receipt,2025/6/1 14:31
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-178.98,125.02,Consumption Log,2025/6/1 22:47
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-0.02,125,Stocktake Loss,2025/6/2 21:23
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,265,Stock Receipt,2025/6/2 22:00
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-149.11,115.89,Consumption Log,2025/6/2 22:43
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-4,111.89,Stock Requisition,2025/6/3 21:41
14685,Grilled Fish Base - Spicy Mala (Kaojiang),210,321.89,Stock Receipt,2025/6/3 21:41
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-84.02,237.87,Consumption Log,2025/6/3 22:06
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-92.45,145.42,Consumption Log,2025/6/4 22:22
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,285.42,Stock Receipt,2025/6/4 22:24
14685,Grilled Fish Base - Spicy Mala (Kaojiang),0.58,286,Stocktake Gain,2025/6/5 19:56
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,426,Stock Receipt,2025/6/5 21:36
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-79.52,346.48,Consumption Log,2025/6/5 22:27
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-1.48,345,Stocktake Loss,2025/6/6 9:08
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,485,Stock Receipt,2025/6/6 14:25
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-130.47,354.53,Consumption Log,2025/6/6 22:45
14685,Grilled Fish Base - Spicy Mala (Kaojiang),10.47,365,Stocktake Gain,2025/6/7 11:11
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,505,Stock Receipt,2025/6/7 13:16
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-155.73,349.27,Consumption Log,2025/6/7 22:51
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-8.27,341,Stocktake Loss,2025/6/8 11:19
14685,Grilled Fish Base - Spicy Mala (Kaojiang),140,481,Stock Receipt,2025/6/8 21:05
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-135.98,345.02,Consumption Log,2025/6/8 22:22
14685,Grilled Fish Base - Spicy Mala (Kaojiang),0.98,346,Stocktake Gain,2025/6/9 9:06
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-4,342,Stock Requisition,2025/6/9 21:59
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,412,Stock Receipt,2025/6/9 21:59
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-74.04,337.96,Consumption Log,2025/6/9 22:19
14685,Grilled Fish Base - Spicy Mala (Kaojiang),1.04,339,Stocktake Gain,2025/6/10 21:51
14685,Grilled Fish Base - Spicy Mala (Kaojiang),70,409,Stock Receipt,2025/6/10 21:58
14685,Grilled Fish Base - Spicy Mala (Kaojiang),-107.96,301.04,Consumption Log,2025/6/10 22:25
