Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
12951,Black Beans (New Crop),91,91,,2025/4/30 23:48
12951,Black Beans (New Crop),100,191,Stock Receipt,2025/5/1 21:47
12951,Black Beans (New Crop),-74.84,116.16,Consumption Log,2025/5/1 23:03
12951,Black Beans (New Crop),74.84,191,Stocktake Gain,2025/5/2 19:58
12951,Black Beans (New Crop),100,291,Stock Receipt,2025/5/2 21:27
12951,Black Beans (New Crop),-54.78,236.22,Consumption Log,2025/5/2 22:41
12951,Black Beans (New Crop),-5,231.22,Spoilage Report,2025/5/2 22:41
12951,Black Beans (New Crop),-22.22,209,Stocktake Loss,2025/5/3 0:43
12951,Black Beans (New Crop),50,259,Stock Receipt,2025/5/3 13:42
12951,Black Beans (New Crop),-71.12,187.88,Consumption Log,2025/5/3 22:38
12951,Black Beans (New Crop),1.12,189,Stocktake Gain,2025/5/4 22:00
12951,Black Beans (New Crop),100,289,Stock Receipt,2025/5/4 22:00
12951,Black Beans (New Crop),-74.26,214.74,Consumption Log,2025/5/4 22:39
12951,Black Beans (New Crop),50,264.74,Stock Receipt,2025/5/5 22:31
12951,Black Beans (New Crop),-72.91,191.83,Consumption Log,2025/5/5 22:41
12951,Black Beans (New Crop),-1.82,190.01,Stocktake Loss,2025/5/6 21:11
12951,Black Beans (New Crop),50,240.01,Stock Receipt,2025/5/6 22:04
12951,Black Beans (New Crop),-27.03,212.98,Consumption Log,2025/5/6 22:23
12951,Black Beans (New Crop),-11.97,201.01,Stocktake Loss,2025/5/6 23:58
12951,Black Beans (New Crop),-33.54,167.47,Consumption Log,2025/5/7 22:25
12951,Black Beans (New Crop),2.54,170.01,Stocktake Gain,2025/5/8 11:15
12951,Black Beans (New Crop),-34.73,135.28,Consumption Log,2025/5/8 22:30
12951,Black Beans (New Crop),-47.61,87.67,Consumption Log,2025/5/9 22:36
12951,Black Beans (New Crop),-5,82.67,Stock Requisition,2025/5/9 22:59
12951,Black Beans (New Crop),50,132.67,Stock Receipt,2025/5/9 22:59
12951,Black Beans (New Crop),-4.66,128.01,Stocktake Loss,2025/5/10 22:39
12951,Black Beans (New Crop),100,228.01,Stock Receipt,2025/5/10 22:41
12951,Black Beans (New Crop),-6,222.01,Spoilage Report,2025/5/10 22:50
12951,Black Beans (New Crop),-61,161.01,Stocktake Loss,2025/5/11 11:45
12951,Black Beans (New Crop),100,261.01,Stock Receipt,2025/5/11 21:06
12951,Black Beans (New Crop),-68.96,192.05,Consumption Log,2025/5/11 22:22
12951,Black Beans (New Crop),0.96,193.01,Stocktake Gain,2025/5/12 17:50
12951,Black Beans (New Crop),-6,187.01,Stock Requisition,2025/5/12 22:05
12951,Black Beans (New Crop),-27.83,159.18,Consumption Log,2025/5/12 22:06
12951,Black Beans (New Crop),-3.17,156.01,Stocktake Loss,2025/5/13 12:44
12951,Black Beans (New Crop),-34.47,121.54,Consumption Log,2025/5/13 22:19
12951,Black Beans (New Crop),0.47,122.01,Stocktake Gain,2025/5/14 22:15
12951,Black Beans (New Crop),50,172.01,Stock Receipt,2025/5/14 22:17
12951,Black Beans (New Crop),-31.51,140.5,Consumption Log,2025/5/14 22:24
12951,Black Beans (New Crop),50,190.5,Stock Receipt,2025/5/15 20:55
12951,Black Beans (New Crop),-39.79,150.71,Consumption Log,2025/5/15 22:10
12951,Black Beans (New Crop),-2.7,148.01,Stocktake Loss,2025/5/16 9:17
12951,Black Beans (New Crop),-45.54,102.47,Consumption Log,2025/5/16 22:29
12951,Black Beans (New Crop),-4.46,98.01,Stocktake Loss,2025/5/17 21:04
12951,Black Beans (New Crop),100,198.01,Stock Receipt,2025/5/17 21:12
12951,Black Beans (New Crop),-3,195.01,Stock Requisition,2025/5/17 21:18
12951,Black Beans (New Crop),-63.48,131.53,Consumption Log,2025/5/17 22:25
12951,Black Beans (New Crop),4.48,136.01,Stocktake Gain,2025/5/18 11:01
12951,Black Beans (New Crop),50,186.01,Stock Receipt,2025/5/18 21:25
12951,Black Beans (New Crop),-3,183.01,Spoilage Report,2025/5/18 22:45
12951,Black Beans (New Crop),-63.6,119.41,Consumption Log,2025/5/18 22:46
12951,Black Beans (New Crop),-16.4,103.01,Stocktake Loss,2025/5/19 20:08
12951,Black Beans (New Crop),50,153.01,Stock Receipt,2025/5/19 21:45
12951,Black Beans (New Crop),-31.96,121.05,Consumption Log,2025/5/19 22:23
12951,Black Beans (New Crop),-2.04,119.01,Stocktake Loss,2025/5/20 13:51
