date,dish_name,wastage_qty
2025-05-02 19:58:00,Erjingtiao Chili (Cleaned/Stemless),1.82
2025-05-02 19:58:00,Grilled Fish Base - Garlic Flavor (Kaojiang),40.0
2025-05-02 19:58:00,Pearl Garlic(Dia. 2.5cm),4.0
2025-05-02 19:58:00,Grilled Fish Red Oil (Kaojiang),3.53
2025-05-02 19:58:00,Mixed Chili Shreds (5kg/Bag),2.39
2025-05-02 19:58:00,Sea Bass,32.0
2025-05-02 19:58:00,Catfish(Dual UOM),62.0
2025-05-02 19:58:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,0.56
2025-05-02 19:58:00,Chinese Leek Sections,1.81
2025-05-02 19:58:00,Longsnout Catfish (Dual UOM),20.0
2025-05-02 19:58:00,Grilled Fish Base - Spicy Mala (Kaojiang),3.0
2025-05-02 19:58:00,Channel Catfish,22.0
2025-05-02 19:58:00,Garlic Sprouts (Cleaned),1.93
2025-05-02 19:58:00,Red Finger Chili (Cleaned),1.87
2025-05-02 19:58:00,Chicken Cartilage Skewers (UOM: Skewer),9.0
2025-05-03 00:43:00,Chicken Cartilage Skewers (UOM: Skewer),19.0
2025-05-03 00:43:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,1.36
2025-05-03 00:43:00,Pearl Garlic(Dia. 2.5cm),3.0
2025-05-03 00:43:00,Chicken Cartilage Skewers (UOM: Skewer),11.0
2025-05-03 00:43:00,Grilled Fish Red Oil (Kaojiang),0.5
2025-05-03 00:43:00,Channel Catfish,18.0
2025-05-03 00:43:00,Channel Catfish,4.0
2025-05-03 00:43:00,Sea Bass,24.0
2025-05-03 00:43:00,Longsnout Catfish (Dual UOM),8.0
2025-05-03 00:43:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,7.55
2025-05-03 00:43:00,Green Bird's Eye Chili (Stemless),0.7
2025-05-03 00:43:00,Chinese Leek Sections,0.73
2025-05-03 00:43:00,Mixed Chili Shreds (5kg/Bag),4.17
2025-05-03 00:43:00,Erjingtiao Chili (Cleaned/Stemless),2.64
2025-05-03 00:43:00,Frozen Lamb Skewers (Steel Skewer),1.98
2025-05-03 00:43:00,Black Beans (New Crop),22.22
2025-05-03 00:43:00,Grilled Fish Base - Spicy Mala (Kaojiang),48.25
2025-05-03 00:43:00,Catfish(Dual UOM),33.0
2025-05-04 22:00:00,Longsnout Catfish (Dual UOM),14.0
2025-05-04 22:00:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.14
2025-05-04 22:00:00,Mixed Chili Shreds (5kg/Bag),1.99
2025-05-04 22:00:00,Red Finger Chili (Cleaned),0.87
2025-05-04 22:00:00,Garlic Sprouts (Cleaned),0.87
2025-05-04 22:00:00,Grilled Fish Base - Garlic Flavor (Kaojiang),23.0
2025-05-04 22:00:00,Green Bird's Eye Chili (Stemless),5.27
2025-05-04 22:00:00,Erjingtiao Chili (Cleaned/Stemless),1.89
2025-05-04 22:00:00,Chicken Cartilage Skewers (UOM: Skewer),2.0
2025-05-04 22:00:00,Channel Catfish,9.0
2025-05-04 22:00:00,Grilled Fish Base - Green Pepper (Kaojiang),19.0
2025-05-04 22:00:00,Channel Catfish,9.0
2025-05-04 22:00:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.58
2025-05-04 22:00:00,Catfish(Dual UOM),97.0
2025-05-04 22:00:00,Chinese Leek Sections,0.79
2025-05-04 22:00:00,Pearl Garlic(Dia. 2.5cm),3.5
2025-05-06 21:11:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.66
2025-05-06 21:11:00,Sea Bass,3.0
2025-05-06 21:11:00,Channel Catfish,20.0
2025-05-06 21:11:00,Chinese Leek Sections,1.03
2025-05-06 21:11:00,Mixed Chili Shreds (5kg/Bag),7.47
2025-05-06 21:11:00,Small Channel Catfish,20.0
2025-05-06 21:11:00,Black Beans (New Crop),1.82
2025-05-06 21:11:00,Chicken Cartilage Skewers (UOM: Skewer),1.0
2025-05-06 21:11:00,Chicken Cartilage Skewers (UOM: Skewer),3.0
2025-05-06 21:11:00,Grilled Fish Base - Spicy Mala (Kaojiang),9.85
2025-05-06 21:11:00,Frozen Lamb Skewers (Steel Skewer),0.28
2025-05-06 21:11:00,Rapeseed Oil (Golden Arowana) Spec: 10L x 2 Drums/Case,0.5
2025-05-06 23:58:00,Green Bird's Eye Chili (Stemless),1.89
2025-05-06 23:58:00,Grilled Fish Base - Garlic Flavor (Kaojiang),5.0
2025-05-06 23:58:00,Garlic Sprouts (Cleaned),0.53
2025-05-06 23:58:00,Frozen Lamb Skewers (Steel Skewer),0.3
2025-05-06 23:58:00,Black Beans (New Crop),11.97
2025-05-06 23:58:00,Pearl Garlic(Dia. 2.5cm),2.83
2025-05-06 23:58:00,Mixed Chili Shreds (5kg/Bag),4.38
2025-05-06 23:58:00,Erjingtiao Chili (Cleaned/Stemless),0.59
2025-05-06 23:58:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,2.61
2025-05-08 11:15:00,Grilled Fish Base - Garlic Flavor (Kaojiang),49.33
2025-05-08 11:15:00,Green Bird's Eye Chili (Stemless),0.76
2025-05-08 11:15:00,Longsnout Catfish (Dual UOM),1.0
2025-05-08 11:15:00,Pearl Garlic(Dia. 2.5cm),1.72
2025-05-08 11:15:00,Grilled Fish Base - Green Pepper (Kaojiang),39.83
2025-05-08 11:15:00,Grilled Fish Base - Spicy Mala (Kaojiang),22.13
2025-05-08 11:15:00,Garlic Sprouts (Cleaned),0.73
2025-05-08 11:15:00,Small Channel Catfish,9.5
2025-05-08 11:15:00,Red Finger Chili (Cleaned),1.12
2025-05-08 11:15:00,Channel Catfish,9.5
2025-05-08 11:15:00,Erjingtiao Chili (Cleaned/Stemless),1.41
2025-05-08 11:15:00,Chicken Cartilage Skewers (UOM: Skewer),1.0
2025-05-10 22:39:00,Soybean Oil (Golden Arowana)  Spec: 9.2kg (18.4 Jin) x 2 Drums/Case,1.13
2025-05-10 22:39:00,Chinese Leek Sections,0.77
2025-05-10 22:39:00,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,1.06
2025-05-10 22:39:00,Channel Catfish,1.0
2025-05-10 22:39:00,Catfish(Dual UOM),51.0
2025-05-10 22:39:00,Chicken Cartilage Skewers (UOM: Skewer),8.0
2025-05-10 22:39:00,Green Bird's Eye Chili (Stemless),3.93
2025-05-10 22:39:00,Longsnout Catfish (Dual UOM),23.0
2025-05-10 22:39:00,Channel Catfish,3.0
2025-05-10 22:39:00,Pearl Garlic(Dia. 2.5cm),2.0
2025-05-10 22:39:00,Garlic Sprouts (Cleaned),1.36
2025-05-10 22:39:00,Black Beans (New Crop),4.66
2025-05-10 22:39:00,Erjingtiao Chili (Cleaned/Stemless),0.96
2025-05-10 22:39:00,Mixed Chili Shreds (5kg/Bag),4.23
2025-05-10 22:39:00,Frozen Lamb Skewers (Steel Skewer),2.13
2025-05-10 22:39:00,Small Channel Catfish,3.0
