Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13181,Chicken Cartilage Skewers (UOM: Skewer),235,235,,2025/4/30 23:48
13181,Chicken Cartilage Skewers (UOM: Skewer),-66,169,Consumption Log,2025/5/1 23:03
13181,Chicken Cartilage Skewers (UOM: Skewer),-9,160,Stocktake Loss,2025/5/2 19:58
13181,Chicken Cartilage Skewers (UOM: Skewer),200,360,Stock Receipt,2025/5/2 21:27
13181,Chicken Cartilage Skewers (UOM: Skewer),-60,300,Consumption Log,2025/5/2 22:41
13181,Chicken Cartilage Skewers (UOM: Skewer),-11,289,Stocktake Loss,2025/5/3 0:43
13181,Chicken Cartilage Skewers (UOM: Skewer),-19,270,Stocktake Loss,2025/5/3 0:43
13181,Chicken Cartilage Skewers (UOM: Skewer),-62,208,Consumption Log,2025/5/3 22:38
13181,Chicken Cartilage Skewers (UOM: Skewer),-2,206,Stocktake Loss,2025/5/4 22:00
13181,Chicken Cartilage Skewers (UOM: Skewer),-7,199,Consumption Log,2025/5/4 22:39
13181,Chicken Cartilage Skewers (UOM: Skewer),-117,82,Consumption Log,2025/5/4 22:39
13181,Chicken Cartilage Skewers (UOM: Skewer),-2,80,Consumption Log,2025/5/5 22:41
13181,Chicken Cartilage Skewers (UOM: Skewer),-76,4,Consumption Log,2025/5/5 22:41
13181,Chicken Cartilage Skewers (UOM: Skewer),-1,3,Stocktake Loss,2025/5/6 21:11
13181,Chicken Cartilage Skewers (UOM: Skewer),-3,0,Stocktake Loss,2025/5/6 21:11
13181,Chicken Cartilage Skewers (UOM: Skewer),54,54,Stocktake Gain,2025/5/6 23:58
13181,Chicken Cartilage Skewers (UOM: Skewer),200,254,Stock Receipt,2025/5/7 13:47
13181,Chicken Cartilage Skewers (UOM: Skewer),-13,241,Consumption Log,2025/5/7 22:25
13181,Chicken Cartilage Skewers (UOM: Skewer),-30,211,Consumption Log,2025/5/7 22:25
13181,Chicken Cartilage Skewers (UOM: Skewer),-1,210,Stocktake Loss,2025/5/8 11:15
13181,Chicken Cartilage Skewers (UOM: Skewer),-41,169,Consumption Log,2025/5/8 22:30
13181,Chicken Cartilage Skewers (UOM: Skewer),-51,118,Consumption Log,2025/5/9 22:36
13181,Chicken Cartilage Skewers (UOM: Skewer),-8,110,Stocktake Loss,2025/5/10 22:39
13181,Chicken Cartilage Skewers (UOM: Skewer),200,310,Stock Receipt,2025/5/10 22:41
13181,Chicken Cartilage Skewers (UOM: Skewer),-21,289,Stocktake Loss,2025/5/11 11:45
13181,Chicken Cartilage Skewers (UOM: Skewer),-69,220,Stocktake Loss,2025/5/11 11:45
13181,Chicken Cartilage Skewers (UOM: Skewer),-55,165,Consumption Log,2025/5/11 22:22
13181,Chicken Cartilage Skewers (UOM: Skewer),-5,160,Stocktake Loss,2025/5/12 17:50
13181,Chicken Cartilage Skewers (UOM: Skewer),-31,129,Consumption Log,2025/5/12 22:06
13181,Chicken Cartilage Skewers (UOM: Skewer),-4,125,Stocktake Loss,2025/5/13 12:44
13181,Chicken Cartilage Skewers (UOM: Skewer),-31,94,Consumption Log,2025/5/13 22:19
13181,Chicken Cartilage Skewers (UOM: Skewer),16,110,Stocktake Gain,2025/5/14 22:15
13181,Chicken Cartilage Skewers (UOM: Skewer),200,310,Stock Receipt,2025/5/14 22:17
13181,Chicken Cartilage Skewers (UOM: Skewer),-27,283,Consumption Log,2025/5/14 22:24
13181,Chicken Cartilage Skewers (UOM: Skewer),-7,276,Consumption Log,2025/5/15 22:10
13181,Chicken Cartilage Skewers (UOM: Skewer),-26,250,Consumption Log,2025/5/15 22:10
13181,Chicken Cartilage Skewers (UOM: Skewer),-10,240,Stocktake Loss,2025/5/16 9:17
13181,Chicken Cartilage Skewers (UOM: Skewer),-84,156,Consumption Log,2025/5/16 22:29
13181,Chicken Cartilage Skewers (UOM: Skewer),-52,104,Stocktake Loss,2025/5/17 21:04
13181,Chicken Cartilage Skewers (UOM: Skewer),-22,82,Consumption Log,2025/5/17 22:25
13181,Chicken Cartilage Skewers (UOM: Skewer),-47,35,Consumption Log,2025/5/17 22:25
13181,Chicken Cartilage Skewers (UOM: Skewer),47,82,Stocktake Gain,2025/5/18 11:01
13181,Chicken Cartilage Skewers (UOM: Skewer),200,282,Stock Receipt,2025/5/18 21:25
13181,Chicken Cartilage Skewers (UOM: Skewer),-5,277,Consumption Log,2025/5/18 22:46
13181,Chicken Cartilage Skewers (UOM: Skewer),-16,261,Consumption Log,2025/5/18 22:46
13181,Chicken Cartilage Skewers (UOM: Skewer),-19,242,Consumption Log,2025/5/18 22:46
13181,Chicken Cartilage Skewers (UOM: Skewer),-38,204,Consumption Log,2025/5/18 22:46
