Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
11701,Erjingtiao Chili (Cleaned/Stemless),0.8,0.8,,2025/4/30 23:48
11701,Erjingtiao Chili (Cleaned/Stemless),8,8.8,Stock Receipt,2025/5/1 21:48
11701,Erjingtiao Chili (Cleaned/Stemless),-1.48,7.32,Consumption Log,2025/5/1 23:03
11701,Erjingtiao Chili (Cleaned/Stemless),-1.82,5.5,Stocktake Loss,2025/5/2 19:58
11701,Erjingtiao Chili (Cleaned/Stemless),7,12.5,Stock Receipt,2025/5/2 21:30
11701,Erjingtiao Chili (Cleaned/Stemless),-5.36,7.14,Consumption Log,2025/5/2 22:41
11701,Erjingtiao Chili (Cleaned/Stemless),-2.64,4.5,Stocktake Loss,2025/5/3 0:43
11701,Erjingtiao Chili (Cleaned/Stemless),4,8.5,Stock Receipt,2025/5/3 21:34
11701,Erjingtiao Chili (Cleaned/Stemless),-4.61,3.89,Consumption Log,2025/5/3 22:38
11701,Erjingtiao Chili (Cleaned/Stemless),-1.89,2,Stocktake Loss,2025/5/4 22:00
11701,Erjingtiao Chili (Cleaned/Stemless),7,9,Stock Receipt,2025/5/4 22:03
11701,Erjingtiao Chili (Cleaned/Stemless),-5.72,3.28,Consumption Log,2025/5/4 22:39
11701,Erjingtiao Chili (Cleaned/Stemless),6,9.28,Stock Receipt,2025/5/5 22:32
11701,Erjingtiao Chili (Cleaned/Stemless),-6.89,2.39,Consumption Log,2025/5/5 22:41
11701,Erjingtiao Chili (Cleaned/Stemless),3.61,6,Stocktake Gain,2025/5/6 21:11
11701,Erjingtiao Chili (Cleaned/Stemless),6,12,Stock Receipt,2025/5/6 22:05
11701,Erjingtiao Chili (Cleaned/Stemless),-2.4,9.6,Consumption Log,2025/5/6 22:23
11701,Erjingtiao Chili (Cleaned/Stemless),-0.59,9.01,Stocktake Loss,2025/5/6 23:58
11701,Erjingtiao Chili (Cleaned/Stemless),2,11.01,Stock Receipt,2025/5/7 13:51
11701,Erjingtiao Chili (Cleaned/Stemless),-2.59,8.42,Consumption Log,2025/5/7 22:25
11701,Erjingtiao Chili (Cleaned/Stemless),-1.41,7.01,Stocktake Loss,2025/5/8 11:15
11701,Erjingtiao Chili (Cleaned/Stemless),-2.85,4.16,Consumption Log,2025/5/8 22:30
11701,Erjingtiao Chili (Cleaned/Stemless),-3.49,0.67,Consumption Log,2025/5/9 22:36
11701,Erjingtiao Chili (Cleaned/Stemless),4,4.67,Stock Receipt,2025/5/9 23:01
11701,Erjingtiao Chili (Cleaned/Stemless),-0.96,3.71,Stocktake Loss,2025/5/10 22:39
11701,Erjingtiao Chili (Cleaned/Stemless),6,9.71,Stock Receipt,2025/5/10 22:42
11701,Erjingtiao Chili (Cleaned/Stemless),-3.2,6.51,Stocktake Loss,2025/5/11 11:45
11701,Erjingtiao Chili (Cleaned/Stemless),5,11.51,Stock Receipt,2025/5/11 21:07
11701,Erjingtiao Chili (Cleaned/Stemless),-5.74,5.77,Consumption Log,2025/5/11 22:22
11701,Erjingtiao Chili (Cleaned/Stemless),1.24,7.01,Stocktake Gain,2025/5/12 17:50
11701,Erjingtiao Chili (Cleaned/Stemless),1,8.01,Stock Receipt,2025/5/12 21:12
11701,Erjingtiao Chili (Cleaned/Stemless),-2.05,5.96,Consumption Log,2025/5/12 22:06
11701,Erjingtiao Chili (Cleaned/Stemless),-2.96,3,Stocktake Loss,2025/5/13 12:44
11701,Erjingtiao Chili (Cleaned/Stemless),3,6,Stock Receipt,2025/5/13 20:37
11701,Erjingtiao Chili (Cleaned/Stemless),-2.04,3.96,Consumption Log,2025/5/13 22:19
11701,Erjingtiao Chili (Cleaned/Stemless),0.54,4.5,Stocktake Gain,2025/5/14 22:15
11701,Erjingtiao Chili (Cleaned/Stemless),3,7.5,Stock Receipt,2025/5/14 22:17
11701,Erjingtiao Chili (Cleaned/Stemless),-2.23,5.27,Consumption Log,2025/5/14 22:24
11701,Erjingtiao Chili (Cleaned/Stemless),3,8.27,Stock Receipt,2025/5/15 20:56
11701,Erjingtiao Chili (Cleaned/Stemless),-4.02,4.25,Consumption Log,2025/5/15 22:10
11701,Erjingtiao Chili (Cleaned/Stemless),-1.25,3,Stocktake Loss,2025/5/16 9:17
11701,Erjingtiao Chili (Cleaned/Stemless),3,6,Stock Receipt,2025/5/16 21:40
11701,Erjingtiao Chili (Cleaned/Stemless),-3,3,Consumption Log,2025/5/16 22:29
11701,Erjingtiao Chili (Cleaned/Stemless),1,4,Stocktake Gain,2025/5/17 21:04
11701,Erjingtiao Chili (Cleaned/Stemless),5,9,Stock Receipt,2025/5/17 21:15
11701,Erjingtiao Chili (Cleaned/Stemless),-5.41,3.59,Consumption Log,2025/5/17 22:25
11701,Erjingtiao Chili (Cleaned/Stemless),1.71,5.3,Stocktake Gain,2025/5/18 11:01
11701,Erjingtiao Chili (Cleaned/Stemless),4,9.3,Stock Receipt,2025/5/18 21:28
11701,Erjingtiao Chili (Cleaned/Stemless),-5.29,4.01,Consumption Log,2025/5/18 22:46
11701,Erjingtiao Chili (Cleaned/Stemless),-1,3.01,Stocktake Loss,2025/5/19 20:08
11701,Erjingtiao Chili (Cleaned/Stemless),3,6.01,Stock Receipt,2025/5/19 21:49
11701,Erjingtiao Chili (Cleaned/Stemless),-1.93,4.08,Consumption Log,2025/5/19 22:23
11701,Erjingtiao Chili (Cleaned/Stemless),0.93,5.01,Stocktake Gain,2025/5/20 13:51
11701,Erjingtiao Chili (Cleaned/Stemless),5,10.01,Stock Receipt,2025/5/20 21:41
11701,Erjingtiao Chili (Cleaned/Stemless),-5.3,4.71,Consumption Log,2025/5/20 22:46
11701,Erjingtiao Chili (Cleaned/Stemless),-0.3,4.41,Stocktake Loss,2025/5/21 20:46
11701,Erjingtiao Chili (Cleaned/Stemless),3,7.41,Stock Receipt,2025/5/21 21:25
11701,Erjingtiao Chili (Cleaned/Stemless),-3.09,4.32,Consumption Log,2025/5/21 22:19
11701,Erjingtiao Chili (Cleaned/Stemless),-0.01,4.31,Stocktake Loss,2025/5/22 9:36
11701,Erjingtiao Chili (Cleaned/Stemless),3,7.31,Stock Receipt,2025/5/22 14:05
11701,Erjingtiao Chili (Cleaned/Stemless),-3.13,4.18,Consumption Log,2025/5/22 22:47
11701,Erjingtiao Chili (Cleaned/Stemless),-0.67,3.51,Stocktake Loss,2025/5/23 10:39
11701,Erjingtiao Chili (Cleaned/Stemless),5,8.51,Stock Receipt,2025/5/23 13:07
11701,Erjingtiao Chili (Cleaned/Stemless),-3.19,5.32,Consumption Log,2025/5/23 23:26
11701,Erjingtiao Chili (Cleaned/Stemless),4,9.32,Stock Receipt,2025/5/24 14:12
11701,Erjingtiao Chili (Cleaned/Stemless),-5.59,3.73,Consumption Log,2025/5/24 22:39
11701,Erjingtiao Chili (Cleaned/Stemless),-2.12,1.61,Stocktake Loss,2025/5/25 11:42
11701,Erjingtiao Chili (Cleaned/Stemless),4,5.61,Stock Receipt,2025/5/25 21:09
11701,Erjingtiao Chili (Cleaned/Stemless),-2.15,3.46,Consumption Log,2025/5/25 22:26
11701,Erjingtiao Chili (Cleaned/Stemless),1.55,5.01,Stocktake Gain,2025/5/25 23:34
11701,Erjingtiao Chili (Cleaned/Stemless),3,8.01,Stock Receipt,2025/5/26 12:39
11701,Erjingtiao Chili (Cleaned/Stemless),-2.19,5.82,Consumption Log,2025/5/26 21:35
11701,Erjingtiao Chili (Cleaned/Stemless),-1.81,4.01,Stocktake Loss,2025/5/27 20:39
11701,Erjingtiao Chili (Cleaned/Stemless),4,8.01,Stock Receipt,2025/5/27 21:23
11701,Erjingtiao Chili (Cleaned/Stemless),-2.29,5.72,Consumption Log,2025/5/27 22:27
11701,Erjingtiao Chili (Cleaned/Stemless),-1.71,4.01,Stocktake Loss,2025/5/28 0:19
11701,Erjingtiao Chili (Cleaned/Stemless),2,6.01,Stock Receipt,2025/5/28 21:40
11701,Erjingtiao Chili (Cleaned/Stemless),-4.13,1.88,Consumption Log,2025/5/28 22:25
11701,Erjingtiao Chili (Cleaned/Stemless),2,3.88,Stock Receipt,2025/5/29 13:18
11701,Erjingtiao Chili (Cleaned/Stemless),-2.64,1.24,Consumption Log,2025/5/29 22:12
11701,Erjingtiao Chili (Cleaned/Stemless),2.77,4.01,Stocktake Gain,2025/5/30 13:38
11701,Erjingtiao Chili (Cleaned/Stemless),2,6.01,Stock Receipt,2025/5/30 14:22
11701,Erjingtiao Chili (Cleaned/Stemless),-4.64,1.37,Consumption Log,2025/5/30 22:55
11701,Erjingtiao Chili (Cleaned/Stemless),1.34,2.71,Stocktake Gain,2025/5/31 9:14
11701,Erjingtiao Chili (Cleaned/Stemless),5,7.71,Stock Receipt,2025/5/31 20:44
