Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
11739,Green Bird's Eye Chili (Stemless),1,1,,2025/4/30 23:48
11739,Green Bird's Eye Chili (Stemless),12,13,Stock Receipt,2025/5/1 21:48
11739,Green Bird's Eye Chili (Stemless),-1.89,11.11,Consumption Log,2025/5/1 23:03
11739,Green Bird's Eye Chili (Stemless),1.39,12.5,Stocktake Gain,2025/5/2 19:58
11739,Green Bird's Eye Chili (Stemless),12,24.5,Stock Receipt,2025/5/2 21:30
11739,Green Bird's Eye Chili (Stemless),-6.8,17.7,Consumption Log,2025/5/2 22:41
11739,Green Bird's Eye Chili (Stemless),-0.7,17,Stocktake Loss,2025/5/3 0:43
11739,Green Bird's Eye Chili (Stemless),2,19,Stock Receipt,2025/5/3 21:34
11739,Green Bird's Eye Chili (Stemless),-5.73,13.27,Consumption Log,2025/5/3 22:38
11739,Green Bird's Eye Chili (Stemless),-5.27,8,Stocktake Loss,2025/5/4 22:00
11739,Green Bird's Eye Chili (Stemless),8,16,Stock Receipt,2025/5/4 22:03
11739,Green Bird's Eye Chili (Stemless),-6.98,9.02,Consumption Log,2025/5/4 22:39
11739,Green Bird's Eye Chili (Stemless),8,17.02,Stock Receipt,2025/5/5 22:32
11739,Green Bird's Eye Chili (Stemless),-7.91,9.11,Consumption Log,2025/5/5 22:41
11739,Green Bird's Eye Chili (Stemless),2.89,12,Stocktake Gain,2025/5/6 21:11
11739,Green Bird's Eye Chili (Stemless),8,20,Stock Receipt,2025/5/6 22:05
11739,Green Bird's Eye Chili (Stemless),-3.11,16.89,Consumption Log,2025/5/6 22:23
11739,Green Bird's Eye Chili (Stemless),-1.89,15,Stocktake Loss,2025/5/6 23:58
11739,Green Bird's Eye Chili (Stemless),-3.24,11.76,Consumption Log,2025/5/7 22:25
11739,Green Bird's Eye Chili (Stemless),-0.76,11,Stocktake Loss,2025/5/8 11:15
11739,Green Bird's Eye Chili (Stemless),-3.31,7.69,Consumption Log,2025/5/8 22:30
11739,Green Bird's Eye Chili (Stemless),-3.76,3.93,Consumption Log,2025/5/9 22:36
11739,Green Bird's Eye Chili (Stemless),6,9.93,Stock Receipt,2025/5/9 23:01
11739,Green Bird's Eye Chili (Stemless),-3.93,6,Stocktake Loss,2025/5/10 22:39
11739,Green Bird's Eye Chili (Stemless),8,14,Stock Receipt,2025/5/10 22:42
11739,Green Bird's Eye Chili (Stemless),-3,11,Stocktake Loss,2025/5/11 11:45
11739,Green Bird's Eye Chili (Stemless),4,15,Stock Receipt,2025/5/11 21:07
11739,Green Bird's Eye Chili (Stemless),-6.36,8.64,Consumption Log,2025/5/11 22:22
11739,Green Bird's Eye Chili (Stemless),1.36,10,Stocktake Gain,2025/5/12 17:50
11739,Green Bird's Eye Chili (Stemless),5,15,Stock Receipt,2025/5/12 21:12
11739,Green Bird's Eye Chili (Stemless),-1.98,13.02,Consumption Log,2025/5/12 22:06
11739,Green Bird's Eye Chili (Stemless),-4.03,8.99,Stocktake Loss,2025/5/13 12:44
11739,Green Bird's Eye Chili (Stemless),5,13.99,Stock Receipt,2025/5/13 20:37
11739,Green Bird's Eye Chili (Stemless),-2.24,11.75,Consumption Log,2025/5/13 22:19
11739,Green Bird's Eye Chili (Stemless),1.74,13.49,Stocktake Gain,2025/5/14 22:15
11739,Green Bird's Eye Chili (Stemless),4,17.49,Stock Receipt,2025/5/14 22:17
11739,Green Bird's Eye Chili (Stemless),-2.4,15.09,Consumption Log,2025/5/14 22:24
11739,Green Bird's Eye Chili (Stemless),2,17.09,Stock Receipt,2025/5/15 20:56
11739,Green Bird's Eye Chili (Stemless),-5.36,11.73,Consumption Log,2025/5/15 22:10
11739,Green Bird's Eye Chili (Stemless),-0.74,10.99,Stocktake Loss,2025/5/16 9:17
11739,Green Bird's Eye Chili (Stemless),-4.27,6.72,Consumption Log,2025/5/16 22:29
11739,Green Bird's Eye Chili (Stemless),-4.73,1.99,Stocktake Loss,2025/5/17 21:04
11739,Green Bird's Eye Chili (Stemless),10,11.99,Stock Receipt,2025/5/17 21:15
11739,Green Bird's Eye Chili (Stemless),-6.62,5.37,Consumption Log,2025/5/17 22:25
11739,Green Bird's Eye Chili (Stemless),2.12,7.49,Stocktake Gain,2025/5/18 11:01
11739,Green Bird's Eye Chili (Stemless),9,16.49,Stock Receipt,2025/5/18 21:28
11739,Green Bird's Eye Chili (Stemless),-6.4,10.09,Consumption Log,2025/5/18 22:46
11739,Green Bird's Eye Chili (Stemless),-1.1,8.99,Stocktake Loss,2025/5/19 20:08
11739,Green Bird's Eye Chili (Stemless),-1.98,7.01,Consumption Log,2025/5/19 22:23
11739,Green Bird's Eye Chili (Stemless),-3.02,3.99,Stocktake Loss,2025/5/20 13:51
