Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14608,Channel Catfish,0,0,,2025/4/30 23:48
14608,Channel Catfish,45,45,Stocktake Gain,2025/9/29 9:18
14608,Channel Catfish,-45,0,Stocktake Loss,2025/9/30 1:01
14608,Channel Catfish,144,144,Stock Receipt,2025/9/30 20:38
14608,Channel Catfish,-31,113,Consumption Log,2025/9/30 22:57
14608,Channel Catfish,-113,0,Stocktake Loss,2025/10/1 0:56
14608,Channel Catfish,216,216,Stock Receipt,2025/10/1 15:27
14608,Channel Catfish,-146,70,Consumption Log,2025/10/1 23:54
14608,Channel Catfish,-2,68,Consumption Log,2025/10/2 0:13
14608,Channel Catfish,288,356,Stock Receipt,2025/10/2 14:19
14608,Channel Catfish,-177,179,Consumption Log,2025/10/2 23:46
14608,Channel Catfish,-64,115,Stocktake Loss,2025/10/3 1:09
14608,Channel Catfish,216,331,Stock Receipt,2025/10/3 21:40
14608,Channel Catfish,-134,197,Consumption Log,2025/10/3 23:57
14608,Channel Catfish,-70,127,Stocktake Loss,2025/10/4 22:08
14608,Channel Catfish,234,361,Stock Receipt,2025/10/4 22:14
14608,Channel Catfish,-9,352,Consumption Log,2025/10/4 23:53
14608,Channel Catfish,-60,292,Consumption Log,2025/10/5 0:18
14608,Channel Catfish,-118,174,Consumption Log,2025/10/5 0:18
14608,Channel Catfish,-7,167,Stocktake Loss,2025/10/5 22:16
14608,Channel Catfish,144,311,Stock Receipt,2025/10/5 22:17
14608,Channel Catfish,-7,304,Consumption Log,2025/10/5 23:59
14608,Channel Catfish,-182,122,Consumption Log,2025/10/6 0:16
14608,Channel Catfish,2,124,Stocktake Gain,2025/10/6 23:32
14608,Channel Catfish,270,394,Stock Receipt,2025/10/6 23:38
14608,Channel Catfish,-2,392,Consumption Log,2025/10/6 23:44
14608,Channel Catfish,-120,272,Consumption Log,2025/10/7 0:21
14608,Channel Catfish,-139,133,Consumption Log,2025/10/7 0:21
14608,Channel Catfish,-13,120,Stocktake Loss,2025/10/7 9:04
14608,Channel Catfish,144,264,Stock Receipt,2025/10/7 14:26
14608,Channel Catfish,-213,51,Consumption Log,2025/10/7 23:59
14608,Channel Catfish,-2,49,Stocktake Loss,2025/10/8 22:45
14608,Channel Catfish,-49,0,Stocktake Loss,2025/10/8 22:45
14608,Channel Catfish,180,180,Stock Receipt,2025/10/8 23:01
14608,Channel Catfish,-4,176,Consumption Log,2025/10/8 23:18
14608,Channel Catfish,-176,0,Consumption Log,2025/10/9 0:03
14608,Channel Catfish,27,27,Stocktake Gain,2025/10/9 22:11
14608,Channel Catfish,180,207,Stock Receipt,2025/10/9 22:12
14608,Channel Catfish,-7,200,Stock Requisition,2025/10/9 22:16
14608,Channel Catfish,-4,196,Consumption Log,2025/10/9 23:35
14608,Channel Catfish,-85,111,Consumption Log,2025/10/10 0:17
14608,Channel Catfish,2,113,Stocktake Gain,2025/10/10 14:43
14608,Channel Catfish,162,275,Stock Receipt,2025/10/10 22:08
14608,Channel Catfish,-68,207,Consumption Log,2025/10/10 23:56
14608,Channel Catfish,-23,184,Consumption Log,2025/10/11 0:41
14608,Channel Catfish,-1,183,Stocktake Loss,2025/10/11 9:47
14608,Channel Catfish,72,255,Stock Receipt,2025/10/11 15:35
14608,Channel Catfish,-124,131,Consumption Log,2025/10/11 23:55
14608,Channel Catfish,-1,130,Stocktake Loss,2025/10/12 12:10
14608,Channel Catfish,252,382,Stock Receipt,2025/10/12 16:07
14608,Channel Catfish,-157,225,Consumption Log,2025/10/12 23:32
14608,Channel Catfish,-6,219,Stock Requisition,2025/10/12 23:47
14608,Channel Catfish,-14,205,Consumption Log,2025/10/13 0:19
14608,Channel Catfish,-38,167,Stocktake Loss,2025/10/13 2:05
14608,Channel Catfish,-1,166,Stock Requisition,2025/10/13 22:25
14608,Channel Catfish,-73,93,Consumption Log,2025/10/13 23:51
14608,Channel Catfish,144,237,Stock Receipt,2025/10/14 0:28
14608,Channel Catfish,-2,235,Stocktake Loss,2025/10/14 0:35
14608,Channel Catfish,-27,208,Stocktake Loss,2025/10/14 0:35
14608,Channel Catfish,-208,0,Stocktake Loss,2025/10/14 0:35
14608,Channel Catfish,54,54,Stock Receipt,2025/10/15 21:20
14608,Channel Catfish,-11,43,Consumption Log,2025/10/15 23:27
14608,Channel Catfish,0,43,Stock Receipt,2025/10/16 21:19
14608,Channel Catfish,-43,0,Consumption Log,2025/10/16 23:40
14608,Channel Catfish,108,108,Stock Receipt,2025/10/17 21:48
14608,Channel Catfish,-18,90,Consumption Log,2025/10/17 23:46
14608,Channel Catfish,-2,88,Consumption Log,2025/10/18 0:10
14608,Channel Catfish,46,134,Stocktake Gain,2025/10/18 12:11
14608,Channel Catfish,180,314,Stock Receipt,2025/10/18 22:20
14608,Channel Catfish,-46,268,Consumption Log,2025/10/18 23:50
14608,Channel Catfish,-95,173,Consumption Log,2025/10/18 23:50
14608,Channel Catfish,-11,162,Consumption Log,2025/10/19 0:22
14608,Channel Catfish,-71,91,Stocktake Loss,2025/10/19 11:59
14608,Channel Catfish,-91,0,Consumption Log,2025/10/19 23:52
14608,Channel Catfish,180,180,Stock Receipt,2025/10/20 0:31
14608,Channel Catfish,-80,100,Stocktake Loss,2025/10/20 22:25
14608,Channel Catfish,180,280,Stock Receipt,2025/10/20 22:28
14608,Channel Catfish,-8,272,Stock Requisition,2025/10/20 22:30
14608,Channel Catfish,-5,267,Consumption Log,2025/10/20 23:30
14608,Channel Catfish,-120,147,Consumption Log,2025/10/21 8:18
14608,Channel Catfish,108,255,Stock Receipt,2025/10/21 22:31
14608,Channel Catfish,-83,172,Consumption Log,2025/10/21 23:43
14608,Channel Catfish,2,174,Stocktake Gain,2025/10/22 14:25
14608,Channel Catfish,90,264,Stock Receipt,2025/10/22 21:17
14608,Channel Catfish,-65,199,Consumption Log,2025/10/22 23:22
14608,Channel Catfish,-22,177,Consumption Log,2025/10/23 0:00
14608,Channel Catfish,-2,175,Spoilage Report,2025/10/23 0:57
14608,Channel Catfish,72,247,Stock Receipt,2025/10/23 21:01
14608,Channel Catfish,-111,136,Consumption Log,2025/10/23 23:55
14608,Channel Catfish,1,137,Stocktake Gain,2025/10/24 13:16
14608,Channel Catfish,144,281,Stock Receipt,2025/10/24 21:14
14608,Channel Catfish,-62,219,Consumption Log,2025/10/24 23:43
14608,Channel Catfish,-76,143,Consumption Log,2025/10/24 23:43
14608,Channel Catfish,-11,132,Consumption Log,2025/10/25 0:05
14608,Channel Catfish,-5,127,Stocktake Loss,2025/10/25 13:39
14608,Channel Catfish,-1,126,Consumption Log,2025/10/25 23:53
14608,Channel Catfish,-2,124,Consumption Log,2025/10/25 23:53
14608,Channel Catfish,-124,0,Consumption Log,2025/10/25 23:53
14608,Channel Catfish,216,216,Stock Receipt,2025/10/26 0:27
14608,Channel Catfish,-6,210,Consumption Log,2025/10/26 0:27
14608,Channel Catfish,-36,174,Stocktake Loss,2025/10/26 18:01
14608,Channel Catfish,180,354,Stock Receipt,2025/10/26 22:03
14608,Channel Catfish,-92,262,Consumption Log,2025/10/26 23:59
14608,Channel Catfish,-100,162,Consumption Log,2025/10/27 0:05
14608,Channel Catfish,54,216,Stock Receipt,2025/10/27 22:59
14608,Channel Catfish,-6,210,Stock Requisition,2025/10/27 23:00
14608,Channel Catfish,-80,130,Consumption Log,2025/10/27 23:03
14608,Channel Catfish,54,184,Stock Receipt,2025/10/28 22:34
14608,Channel Catfish,-1,183,Consumption Log,2025/10/28 23:33
14608,Channel Catfish,-96,87,Consumption Log,2025/10/29 0:26
14608,Channel Catfish,-6,81,Stocktake Loss,2025/10/29 1:10
14608,Channel Catfish,72,153,Stock Receipt,2025/10/29 20:41
14608,Channel Catfish,-91,62,Consumption Log,2025/10/29 23:38
14608,Channel Catfish,-8,54,Stocktake Loss,2025/10/30 9:40
14608,Channel Catfish,144,198,Stock Receipt,2025/10/30 22:59
14608,Channel Catfish,-54,144,Consumption Log,2025/10/30 23:46
14608,Channel Catfish,-23,121,Stocktake Loss,2025/10/31 12:50
14608,Channel Catfish,108,229,Stock Receipt,2025/10/31 17:51
14608,Channel Catfish,-20,209,Stock Requisition,2025/10/31 20:15
14608,Channel Catfish,-9,200,Consumption Log,2025/10/31 23:23
14608,Channel Catfish,-101,99,Consumption Log,2025/10/31 23:23
14608,Channel Catfish,-4,95,Stocktake Loss,2025/11/1 0:27
14608,Channel Catfish,180,275,Stock Receipt,2025/11/1 22:10
14608,Channel Catfish,36,311,Stock Receipt,2025/11/1 22:10
14608,Channel Catfish,-99,212,Consumption Log,2025/11/1 23:33
14608,Channel Catfish,-1,211,Consumption Log,2025/11/2 0:30
14608,Channel Catfish,180,391,Stock Receipt,2025/11/2 22:04
14608,Channel Catfish,-202,189,Consumption Log,2025/11/2 23:23
14608,Channel Catfish,108,297,Stock Receipt,2025/11/3 21:47
14608,Channel Catfish,-93,204,Consumption Log,2025/11/3 23:56
14608,Channel Catfish,36,240,Stock Receipt,2025/11/4 21:51
14608,Channel Catfish,108,348,Stock Receipt,2025/11/4 21:51
14608,Channel Catfish,-56,292,Consumption Log,2025/11/4 23:45
14608,Channel Catfish,-38,254,Consumption Log,2025/11/5 0:09
14608,Channel Catfish,144,398,Stock Receipt,2025/11/6 0:01
14608,Channel Catfish,-76,322,Consumption Log,2025/11/6 0:06
14608,Channel Catfish,-133,189,Stocktake Loss,2025/11/6 10:28
14608,Channel Catfish,72,261,Stock Receipt,2025/11/6 21:45
14608,Channel Catfish,-41,220,Consumption Log,2025/11/6 23:28
14608,Channel Catfish,-45,175,Consumption Log,2025/11/6 23:28
14608,Channel Catfish,18,193,Stocktake Gain,2025/11/7 8:46
14608,Channel Catfish,-5,188,Stock Requisition,2025/11/7 22:26
14608,Channel Catfish,-71,117,Consumption Log,2025/11/7 23:24
14608,Channel Catfish,-2,115,Stock Requisition,2025/11/8 0:03
14608,Channel Catfish,-39,76,Consumption Log,2025/11/8 0:51
14608,Channel Catfish,-18,58,Consumption Log,2025/11/8 23:52
14608,Channel Catfish,-58,0,Consumption Log,2025/11/8 23:52
14608,Channel Catfish,103,103,Stocktake Gain,2025/12/6 10:28
14608,Channel Catfish,54,157,Stock Receipt,2025/12/6 22:56
14608,Channel Catfish,-4,153,Consumption Log,2025/12/6 23:49
14608,Channel Catfish,-103,50,Consumption Log,2025/12/6 23:49
14608,Channel Catfish,22,72,Stocktake Gain,2025/12/7 9:56
14608,Channel Catfish,180,252,Stock Receipt,2025/12/7 14:07
14608,Channel Catfish,-5,247,Stock Requisition,2025/12/7 22:40
14608,Channel Catfish,-1,246,Stock Requisition,2025/12/7 22:49
14608,Channel Catfish,-2,244,Consumption Log,2025/12/7 23:01
14608,Channel Catfish,-50,194,Consumption Log,2025/12/7 23:01
14608,Channel Catfish,-125,69,Consumption Log,2025/12/7 23:01
14608,Channel Catfish,6,75,Stocktake Gain,2025/12/8 20:53
14608,Channel Catfish,144,219,Stock Receipt,2025/12/8 21:09
14608,Channel Catfish,-7,212,Stock Requisition,2025/12/8 21:12
14608,Channel Catfish,-71,141,Consumption Log,2025/12/8 22:33
14608,Channel Catfish,-11,130,Stocktake Loss,2025/12/9 14:18
14608,Channel Catfish,-84,46,Consumption Log,2025/12/9 22:33
14608,Channel Catfish,54,100,Stock Receipt,2025/12/10 20:22
14608,Channel Catfish,108,208,Stock Receipt,2025/12/10 20:22
14608,Channel Catfish,-6,202,Consumption Log,2025/12/10 22:31
14608,Channel Catfish,-20,182,Consumption Log,2025/12/10 22:31
14608,Channel Catfish,-20,162,Consumption Log,2025/12/10 22:31
14608,Channel Catfish,-22,140,Consumption Log,2025/12/10 22:31
14608,Channel Catfish,-25,115,Stocktake Loss,2025/12/11 21:59
14608,Channel Catfish,54,169,Stock Receipt,2025/12/11 22:14
14608,Channel Catfish,-7,162,Consumption Log,2025/12/11 22:31
14608,Channel Catfish,-88,74,Consumption Log,2025/12/11 22:31
14608,Channel Catfish,-4,70,Stocktake Loss,2025/12/11 23:58
14608,Channel Catfish,126,196,Stock Receipt,2025/12/12 15:43
14608,Channel Catfish,-16,180,Consumption Log,2025/12/12 23:29
14608,Channel Catfish,-96,84,Consumption Log,2025/12/12 23:29
14608,Channel Catfish,216,300,Stock Receipt,2025/12/13 22:26
14608,Channel Catfish,-88,212,Consumption Log,2025/12/13 23:34
14608,Channel Catfish,180,392,Stock Receipt,2025/12/14 22:08
14608,Channel Catfish,-191,201,Consumption Log,2025/12/14 23:38
14608,Channel Catfish,-89,112,Stocktake Loss,2025/12/15 13:18
14608,Channel Catfish,90,202,Stock Receipt,2025/12/15 22:14
14608,Channel Catfish,-65,137,Consumption Log,2025/12/15 22:40
14608,Channel Catfish,-74,63,Consumption Log,2025/12/16 22:38
14608,Channel Catfish,-63,0,Consumption Log,2025/12/17 23:04
13687,Channel Catfish,66,66,,2025/4/30 23:48
13687,Channel Catfish,75,141,Stock Receipt,2025/5/1 21:47
13687,Channel Catfish,-4,137,Consumption Log,2025/5/1 23:03
13687,Channel Catfish,-21,116,Consumption Log,2025/5/1 23:03
13687,Channel Catfish,-32,84,Consumption Log,2025/5/1 23:03
13687,Channel Catfish,-7,77,Stock Requisition,2025/5/1 23:05
13687,Channel Catfish,-22,55,Stocktake Loss,2025/5/2 19:58
13687,Channel Catfish,90,145,Stock Receipt,2025/5/2 21:27
13687,Channel Catfish,-42,103,Consumption Log,2025/5/2 22:41
13687,Channel Catfish,-4,99,Stocktake Loss,2025/5/3 0:43
13687,Channel Catfish,-18,81,Stocktake Loss,2025/5/3 0:43
13687,Channel Catfish,45,126,Stock Receipt,2025/5/3 13:42
13687,Channel Catfish,-63,63,Consumption Log,2025/5/3 22:38
13687,Channel Catfish,-9,54,Stocktake Loss,2025/5/4 22:00
13687,Channel Catfish,-9,45,Stocktake Loss,2025/5/4 22:00
13687,Channel Catfish,30,75,Stock Receipt,2025/5/4 22:00
13687,Channel Catfish,-8,67,Consumption Log,2025/5/4 22:39
13687,Channel Catfish,-30,37,Consumption Log,2025/5/4 22:39
13687,Channel Catfish,-36,1,Consumption Log,2025/5/4 22:39
13687,Channel Catfish,-1,0,Stock Requisition,2025/5/5 22:31
13687,Channel Catfish,60,60,Stock Receipt,2025/5/5 22:31
13687,Channel Catfish,15,75,Stock Receipt,2025/5/5 22:31
13687,Channel Catfish,-75,0,Consumption Log,2025/5/5 22:41
13687,Channel Catfish,4,4,Stocktake Gain,2025/5/6 21:11
13687,Channel Catfish,60,64,Stock Receipt,2025/5/6 22:04
13687,Channel Catfish,-1,63,Consumption Log,2025/5/6 22:23
13687,Channel Catfish,-19,44,Consumption Log,2025/5/6 22:23
13687,Channel Catfish,1,45,Stocktake Gain,2025/5/6 23:58
13687,Channel Catfish,45,90,Stock Receipt,2025/5/7 13:47
13687,Channel Catfish,-1,89,Stock Requisition,2025/5/7 21:59
13687,Channel Catfish,-13,76,Consumption Log,2025/5/7 22:25
13687,Channel Catfish,1,77,Stocktake Gain,2025/5/8 11:15
13687,Channel Catfish,30,107,Stock Receipt,2025/5/8 13:37
13687,Channel Catfish,-2,105,Consumption Log,2025/5/8 22:30
13687,Channel Catfish,-27,78,Consumption Log,2025/5/8 22:30
13687,Channel Catfish,-32,46,Consumption Log,2025/5/9 22:36
13687,Channel Catfish,30,76,Stock Receipt,2025/5/9 22:59
13687,Channel Catfish,-1,75,Stocktake Loss,2025/5/10 22:39
13687,Channel Catfish,-2,73,Stock Requisition,2025/5/10 22:41
13687,Channel Catfish,60,133,Stock Receipt,2025/5/10 22:41
13687,Channel Catfish,-8,125,Stocktake Loss,2025/5/11 11:45
13687,Channel Catfish,-55,70,Stocktake Loss,2025/5/11 11:45
13687,Channel Catfish,45,115,Stock Receipt,2025/5/11 21:06
13687,Channel Catfish,-5,110,Consumption Log,2025/5/11 22:22
13687,Channel Catfish,-75,35,Consumption Log,2025/5/11 22:22
13687,Channel Catfish,-1,34,Stock Requisition,2025/5/12 21:32
13687,Channel Catfish,-8,26,Consumption Log,2025/5/12 22:06
13687,Channel Catfish,-11,15,Stocktake Loss,2025/5/13 12:44
13687,Channel Catfish,-1,14,Stocktake Loss,2025/5/14 22:15
13687,Channel Catfish,-1,13,Stocktake Loss,2025/5/14 22:15
13687,Channel Catfish,-3,10,Stocktake Loss,2025/5/14 22:15
13687,Channel Catfish,-10,0,Stocktake Loss,2025/5/14 22:15
13687,Channel Catfish,75,75,Stocktake Gain,2025/5/17 21:04
13687,Channel Catfish,-75,0,Stocktake Loss,2025/5/18 11:01
13687,Channel Catfish,67,67,Stocktake Gain,2025/5/19 20:08
13687,Channel Catfish,-67,0,Stocktake Loss,2025/5/20 13:51
13687,Channel Catfish,58,58,Stocktake Gain,2025/5/21 20:46
13687,Channel Catfish,-2,56,Consumption Log,2025/5/21 22:19
13687,Channel Catfish,-56,0,Stocktake Loss,2025/5/22 9:36
14672,Channel Catfish,0,0,,2025/4/30 23:48
14672,Channel Catfish,18,18,Stock Receipt,2025/5/16 21:39
14672,Channel Catfish,54,72,Stock Receipt,2025/5/17 21:12
14672,Channel Catfish,3,75,Stocktake Gain,2025/5/18 11:01
14672,Channel Catfish,72,147,Stock Receipt,2025/5/18 21:25
14672,Channel Catfish,-18,129,Consumption Log,2025/5/18 22:46
14672,Channel Catfish,-50,79,Consumption Log,2025/5/18 22:46
14672,Channel Catfish,-12,67,Stocktake Loss,2025/5/19 20:08
14672,Channel Catfish,18,85,Stock Receipt,2025/5/19 21:45
14672,Channel Catfish,-1,84,Stock Requisition,2025/5/19 22:18
14672,Channel Catfish,-23,61,Consumption Log,2025/5/19 22:23
14672,Channel Catfish,17,78,Stocktake Gain,2025/5/20 13:51
14672,Channel Catfish,54,132,Stock Receipt,2025/5/20 21:40
14672,Channel Catfish,-59,73,Consumption Log,2025/5/20 22:46
14672,Channel Catfish,-3,70,Stocktake Loss,2025/5/21 20:46
14672,Channel Catfish,-17,53,Stocktake Loss,2025/5/21 20:46
14672,Channel Catfish,-53,0,Stocktake Loss,2025/5/21 20:46
14672,Channel Catfish,18,18,Stock Receipt,2025/5/21 21:24
14672,Channel Catfish,-18,0,Consumption Log,2025/5/21 22:19
14672,Channel Catfish,52,52,Stocktake Gain,2025/5/22 9:36
14672,Channel Catfish,18,70,Stock Receipt,2025/5/22 14:04
14672,Channel Catfish,-3,67,Consumption Log,2025/5/22 22:47
14672,Channel Catfish,-10,57,Consumption Log,2025/5/22 22:47
