Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
11781,Cumin Powder,3.51,3.51,,2025/4/30 23:48
11781,Cumin Powder,2,5.51,Stock Receipt,2025/5/1 21:47
11781,Cumin Powder,-1.94,3.57,Consumption Log,2025/5/1 23:03
11781,Cumin Powder,1.54,5.11,Stocktake Gain,2025/5/2 19:58
11781,Cumin Powder,1,6.11,Stock Receipt,2025/5/2 21:27
11781,Cumin Powder,-1.47,4.64,Consumption Log,2025/5/2 22:41
11781,Cumin Powder,0.38,5.02,Stocktake Gain,2025/5/3 0:43
11781,Cumin Powder,-1.9,3.12,Consumption Log,2025/5/3 22:38
11781,Cumin Powder,0.3,3.42,Stocktake Gain,2025/5/4 22:00
11781,Cumin Powder,2,5.42,Stock Receipt,2025/5/4 22:00
11781,Cumin Powder,-2.08,3.34,Consumption Log,2025/5/4 22:39
11781,Cumin Powder,-1.9,1.44,Consumption Log,2025/5/5 22:41
11781,Cumin Powder,1.07,2.51,Stocktake Gain,2025/5/6 21:11
11781,Cumin Powder,-0.63,1.88,Consumption Log,2025/5/6 22:23
11781,Cumin Powder,0.53,2.41,Stocktake Gain,2025/5/6 23:58
11781,Cumin Powder,1,3.41,Stock Receipt,2025/5/7 13:47
11781,Cumin Powder,-0.9,2.51,Consumption Log,2025/5/7 22:25
11781,Cumin Powder,0.31,2.82,Stocktake Gain,2025/5/8 11:15
11781,Cumin Powder,-0.97,1.85,Consumption Log,2025/5/8 22:30
11781,Cumin Powder,-1.23,0.62,Consumption Log,2025/5/9 22:36
11781,Cumin Powder,2,2.62,Stock Receipt,2025/5/9 22:59
11781,Cumin Powder,1.5,4.12,Stocktake Gain,2025/5/10 22:39
11781,Cumin Powder,1,5.12,Stock Receipt,2025/5/10 22:41
11781,Cumin Powder,-1.6,3.52,Stocktake Loss,2025/5/11 11:45
11781,Cumin Powder,-1.61,1.91,Consumption Log,2025/5/11 22:22
11781,Cumin Powder,1.11,3.02,Stocktake Gain,2025/5/12 17:50
11781,Cumin Powder,-0.6,2.42,Consumption Log,2025/5/12 22:06
