Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
12689,Longsnout Catfish (Dual UOM),16,16,,2025/4/30 23:48
12689,Longsnout Catfish (Dual UOM),20,36,Stock Receipt,2025/5/1 21:47
12689,Longsnout Catfish (Dual UOM),-1,35,Consumption Log,2025/5/1 23:03
12689,Longsnout Catfish (Dual UOM),-15,20,Consumption Log,2025/5/1 23:03
12689,Longsnout Catfish (Dual UOM),-20,0,Stocktake Loss,2025/5/2 19:58
12689,Longsnout Catfish (Dual UOM),44,44,Stock Receipt,2025/5/2 21:28
12689,Longsnout Catfish (Dual UOM),-19,25,Consumption Log,2025/5/2 22:41
12689,Longsnout Catfish (Dual UOM),-8,17,Stocktake Loss,2025/5/3 0:43
12689,Longsnout Catfish (Dual UOM),14,31,Stock Receipt,2025/5/3 21:33
12689,Longsnout Catfish (Dual UOM),-17,14,Consumption Log,2025/5/3 22:38
12689,Longsnout Catfish (Dual UOM),-14,0,Stocktake Loss,2025/5/4 22:00
12689,Longsnout Catfish (Dual UOM),40,40,Stock Receipt,2025/5/4 22:01
12689,Longsnout Catfish (Dual UOM),-26,14,Consumption Log,2025/5/4 22:39
12689,Longsnout Catfish (Dual UOM),30,44,Stock Receipt,2025/5/5 22:31
12689,Longsnout Catfish (Dual UOM),-14,30,Consumption Log,2025/5/5 22:41
12689,Longsnout Catfish (Dual UOM),-22,8,Consumption Log,2025/5/5 22:41
12689,Longsnout Catfish (Dual UOM),15,23,Stock Receipt,2025/5/6 22:04
12689,Longsnout Catfish (Dual UOM),-4,19,Consumption Log,2025/5/6 22:23
12689,Longsnout Catfish (Dual UOM),-8,11,Consumption Log,2025/5/6 22:23
12689,Longsnout Catfish (Dual UOM),1,12,Stocktake Gain,2025/5/6 23:58
12689,Longsnout Catfish (Dual UOM),4,16,Stock Receipt,2025/5/7 13:51
12689,Longsnout Catfish (Dual UOM),-1,15,Consumption Log,2025/5/7 22:25
12689,Longsnout Catfish (Dual UOM),-3,12,Consumption Log,2025/5/7 22:25
12689,Longsnout Catfish (Dual UOM),-11,1,Consumption Log,2025/5/7 22:25
12689,Longsnout Catfish (Dual UOM),-1,0,Stocktake Loss,2025/5/8 11:15
12689,Longsnout Catfish (Dual UOM),19,19,Stock Receipt,2025/5/8 21:30
12689,Longsnout Catfish (Dual UOM),-19,0,Consumption Log,2025/5/9 22:36
12689,Longsnout Catfish (Dual UOM),25,25,Stock Receipt,2025/5/9 23:00
12689,Longsnout Catfish (Dual UOM),-23,2,Stocktake Loss,2025/5/10 22:39
12689,Longsnout Catfish (Dual UOM),34,36,Stock Receipt,2025/5/10 22:41
12689,Longsnout Catfish (Dual UOM),-2,34,Stocktake Loss,2025/5/11 11:45
12689,Longsnout Catfish (Dual UOM),-27,7,Stocktake Loss,2025/5/11 11:45
12689,Longsnout Catfish (Dual UOM),22,29,Stock Receipt,2025/5/11 21:06
12689,Longsnout Catfish (Dual UOM),-1,28,Consumption Log,2025/5/11 22:22
12689,Longsnout Catfish (Dual UOM),-7,21,Consumption Log,2025/5/11 22:22
12689,Longsnout Catfish (Dual UOM),-15,6,Stocktake Loss,2025/5/12 17:50
12689,Longsnout Catfish (Dual UOM),15,21,Stock Receipt,2025/5/12 21:11
12689,Longsnout Catfish (Dual UOM),-6,15,Consumption Log,2025/5/12 22:06
12689,Longsnout Catfish (Dual UOM),-7,8,Consumption Log,2025/5/12 22:06
12689,Longsnout Catfish (Dual UOM),-2,6,Stocktake Loss,2025/5/13 12:44
12689,Longsnout Catfish (Dual UOM),18,24,Stock Receipt,2025/5/13 20:36
12689,Longsnout Catfish (Dual UOM),-3,21,Consumption Log,2025/5/13 22:19
12689,Longsnout Catfish (Dual UOM),-6,15,Consumption Log,2025/5/13 22:19
12689,Longsnout Catfish (Dual UOM),-1,14,Stocktake Loss,2025/5/14 22:15
12689,Longsnout Catfish (Dual UOM),-12,2,Consumption Log,2025/5/14 22:24
12689,Longsnout Catfish (Dual UOM),16,18,Stock Receipt,2025/5/15 20:55
12689,Longsnout Catfish (Dual UOM),-2,16,Consumption Log,2025/5/15 22:10
12689,Longsnout Catfish (Dual UOM),-13,3,Consumption Log,2025/5/15 22:10
12689,Longsnout Catfish (Dual UOM),-3,0,Stocktake Loss,2025/5/16 9:17
12689,Longsnout Catfish (Dual UOM),20,20,Stock Receipt,2025/5/16 21:39
12689,Longsnout Catfish (Dual UOM),-2,18,Consumption Log,2025/5/16 22:29
12689,Longsnout Catfish (Dual UOM),-18,0,Stocktake Loss,2025/5/17 21:04
12689,Longsnout Catfish (Dual UOM),33,33,Stock Receipt,2025/5/17 21:12
12689,Longsnout Catfish (Dual UOM),-29,4,Consumption Log,2025/5/17 22:25
12689,Longsnout Catfish (Dual UOM),-1,3,Stocktake Loss,2025/5/18 11:01
12689,Longsnout Catfish (Dual UOM),30,33,Stock Receipt,2025/5/18 21:27
12689,Longsnout Catfish (Dual UOM),-3,30,Consumption Log,2025/5/18 22:46
12689,Longsnout Catfish (Dual UOM),-4,26,Consumption Log,2025/5/18 22:46
12689,Longsnout Catfish (Dual UOM),-23,3,Stocktake Loss,2025/5/19 20:08
12689,Longsnout Catfish (Dual UOM),15,18,Stock Receipt,2025/5/19 21:48
12689,Longsnout Catfish (Dual UOM),-3,15,Consumption Log,2025/5/19 22:23
12689,Longsnout Catfish (Dual UOM),-6,9,Consumption Log,2025/5/19 22:23
12689,Longsnout Catfish (Dual UOM),-1,8,Stocktake Loss,2025/5/20 13:51
12689,Longsnout Catfish (Dual UOM),20,28,Stock Receipt,2025/5/20 21:41
12689,Longsnout Catfish (Dual UOM),-3,25,Consumption Log,2025/5/20 22:46
12689,Longsnout Catfish (Dual UOM),-8,17,Consumption Log,2025/5/20 22:46
12689,Longsnout Catfish (Dual UOM),-9,8,Stocktake Loss,2025/5/21 20:46
12689,Longsnout Catfish (Dual UOM),10,18,Stock Receipt,2025/5/21 21:25
12689,Longsnout Catfish (Dual UOM),-4,14,Consumption Log,2025/5/21 22:19
12689,Longsnout Catfish (Dual UOM),-8,6,Consumption Log,2025/5/21 22:19
12689,Longsnout Catfish (Dual UOM),1,7,Stocktake Gain,2025/5/22 9:36
12689,Longsnout Catfish (Dual UOM),10,17,Stock Receipt,2025/5/22 14:04
12689,Longsnout Catfish (Dual UOM),-1,16,Consumption Log,2025/5/22 22:47
12689,Longsnout Catfish (Dual UOM),-6,10,Consumption Log,2025/5/22 22:47
12689,Longsnout Catfish (Dual UOM),-6,4,Consumption Log,2025/5/22 22:47
12689,Longsnout Catfish (Dual UOM),20,24,Stock Receipt,2025/5/23 13:06
12689,Longsnout Catfish (Dual UOM),-4,20,Consumption Log,2025/5/23 23:26
12689,Longsnout Catfish (Dual UOM),-11,9,Consumption Log,2025/5/23 23:26
12689,Longsnout Catfish (Dual UOM),30,39,Stock Receipt,2025/5/24 14:11
12689,Longsnout Catfish (Dual UOM),-9,30,Consumption Log,2025/5/24 22:39
12689,Longsnout Catfish (Dual UOM),-15,15,Consumption Log,2025/5/24 22:39
12689,Longsnout Catfish (Dual UOM),20,35,Stock Receipt,2025/5/25 21:09
12689,Longsnout Catfish (Dual UOM),-1,34,Consumption Log,2025/5/25 22:26
12689,Longsnout Catfish (Dual UOM),-15,19,Consumption Log,2025/5/25 22:26
12689,Longsnout Catfish (Dual UOM),-11,8,Stocktake Loss,2025/5/25 23:34
12689,Longsnout Catfish (Dual UOM),15,23,Stock Receipt,2025/5/26 12:38
12689,Longsnout Catfish (Dual UOM),-3,20,Consumption Log,2025/5/26 21:35
12689,Longsnout Catfish (Dual UOM),-8,12,Consumption Log,2025/5/26 21:35
12689,Longsnout Catfish (Dual UOM),-2,10,Stocktake Loss,2025/5/27 20:39
12689,Longsnout Catfish (Dual UOM),5,15,Stock Receipt,2025/5/27 21:22
12689,Longsnout Catfish (Dual UOM),-9,6,Consumption Log,2025/5/27 22:27
12689,Longsnout Catfish (Dual UOM),-1,5,Consumption Log,2025/5/28 22:25
12689,Longsnout Catfish (Dual UOM),-5,0,Consumption Log,2025/5/28 22:25
12689,Longsnout Catfish (Dual UOM),6,6,Stock Receipt,2025/5/28 22:56
12689,Longsnout Catfish (Dual UOM),19,25,Stock Receipt,2025/5/29 13:17
12689,Longsnout Catfish (Dual UOM),-6,19,Consumption Log,2025/5/29 22:12
12689,Longsnout Catfish (Dual UOM),-10,9,Consumption Log,2025/5/29 22:12
12689,Longsnout Catfish (Dual UOM),-6,3,Stocktake Loss,2025/5/30 13:38
12689,Longsnout Catfish (Dual UOM),20,23,Stock Receipt,2025/5/30 14:22
12689,Longsnout Catfish (Dual UOM),-3,20,Consumption Log,2025/5/30 22:55
12689,Longsnout Catfish (Dual UOM),-16,4,Consumption Log,2025/5/30 22:55
12689,Longsnout Catfish (Dual UOM),25,29,Stock Receipt,2025/5/31 20:28
12689,Longsnout Catfish (Dual UOM),-4,25,Consumption Log,2025/5/31 22:55
12689,Longsnout Catfish (Dual UOM),-5,20,Consumption Log,2025/5/31 22:55
12689,Longsnout Catfish (Dual UOM),-20,0,Stocktake Loss,2025/6/1 0:11
12689,Longsnout Catfish (Dual UOM),40,40,Stock Receipt,2025/6/1 15:12
12689,Longsnout Catfish (Dual UOM),-22,18,Consumption Log,2025/6/1 22:47
12689,Longsnout Catfish (Dual UOM),-11,7,Stocktake Loss,2025/6/2 21:23
12689,Longsnout Catfish (Dual UOM),35,42,Stock Receipt,2025/6/2 22:01
12689,Longsnout Catfish (Dual UOM),-7,35,Consumption Log,2025/6/2 22:43
12689,Longsnout Catfish (Dual UOM),-14,21,Consumption Log,2025/6/2 22:43
12689,Longsnout Catfish (Dual UOM),-7,14,Consumption Log,2025/6/3 22:06
12689,Longsnout Catfish (Dual UOM),-13,1,Consumption Log,2025/6/4 22:22
12689,Longsnout Catfish (Dual UOM),10,11,Stock Receipt,2025/6/4 22:24
