Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14671,Sea Bass,0,0,,2025/4/30 23:48
14671,Sea Bass,45,45,Stocktake Gain,2025/11/18 10:12
14671,Sea Bass,36,81,Stock Receipt,2025/11/18 18:08
14671,Sea Bass,-8,73,Consumption Log,2025/11/18 23:49
14671,Sea Bass,-13,60,Consumption Log,2025/11/18 23:49
14671,Sea Bass,-23,37,Consumption Log,2025/11/19 23:50
14671,Sea Bass,54,91,Stock Receipt,2025/11/20 0:10
14671,Sea Bass,54,145,Stock Receipt,2025/11/20 21:50
14671,Sea Bass,-22,123,Consumption Log,2025/11/20 23:57
14671,Sea Bass,-9,114,Stocktake Loss,2025/11/21 12:03
14671,Sea Bass,-1,113,Stock Requisition,2025/11/21 22:47
14671,Sea Bass,-33,80,Consumption Log,2025/11/21 23:34
14671,Sea Bass,8,88,Stocktake Gain,2025/11/22 21:00
14671,Sea Bass,-6,82,Consumption Log,2025/11/22 23:32
14671,Sea Bass,-30,52,Consumption Log,2025/11/23 0:11
14671,Sea Bass,54,106,Stock Receipt,2025/11/23 0:17
14671,Sea Bass,18,124,Stock Receipt,2025/11/23 17:10
14671,Sea Bass,-40,84,Consumption Log,2025/11/23 23:59
14671,Sea Bass,-20,64,Consumption Log,2025/11/24 23:59
14671,Sea Bass,-1,63,Consumption Log,2025/11/25 22:45
14671,Sea Bass,-5,58,Consumption Log,2025/11/25 22:45
14671,Sea Bass,-18,40,Consumption Log,2025/11/25 22:45
14671,Sea Bass,2,42,Stocktake Gain,2025/11/26 11:48
14671,Sea Bass,36,78,Stock Receipt,2025/11/26 20:21
14671,Sea Bass,-9,69,Consumption Log,2025/11/26 23:35
14671,Sea Bass,-14,55,Consumption Log,2025/11/26 23:35
14671,Sea Bass,1,56,Stocktake Gain,2025/11/27 12:43
14671,Sea Bass,36,92,Stock Receipt,2025/11/27 22:03
14671,Sea Bass,-19,73,Consumption Log,2025/11/27 22:42
14671,Sea Bass,-3,70,Stocktake Loss,2025/11/28 9:22
14671,Sea Bass,36,106,Stock Receipt,2025/11/28 16:38
14671,Sea Bass,-28,78,Consumption Log,2025/11/28 23:57
14671,Sea Bass,-1,77,Stocktake Loss,2025/11/29 9:40
