Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14684,Grilled Fish Red Oil (Kaojiang),1,1,,2025/4/30 23:48
14684,Grilled Fish Red Oil (Kaojiang),12,13,Stock Receipt,2025/5/1 21:47
14684,Grilled Fish Red Oil (Kaojiang),-1.47,11.53,Consumption Log,2025/5/1 23:03
14684,Grilled Fish Red Oil (Kaojiang),-3.53,8,Stocktake Loss,2025/5/2 19:58
14684,Grilled Fish Red Oil (Kaojiang),4,12,Stock Receipt,2025/5/2 21:27
14684,Grilled Fish Red Oil (Kaojiang),-4.3,7.7,Consumption Log,2025/5/2 22:41
14684,Grilled Fish Red Oil (Kaojiang),-0.5,7.2,Stocktake Loss,2025/5/3 0:43
14684,Grilled Fish Red Oil (Kaojiang),4,11.2,Stock Receipt,2025/5/3 13:42
14684,Grilled Fish Red Oil (Kaojiang),-5.44,5.76,Consumption Log,2025/5/3 22:38
14684,Grilled Fish Red Oil (Kaojiang),1.24,7,Stocktake Gain,2025/5/4 22:00
14684,Grilled Fish Red Oil (Kaojiang),-6.18,0.82,Consumption Log,2025/5/4 22:39
14684,Grilled Fish Red Oil (Kaojiang),8,8.82,Stock Receipt,2025/5/5 22:31
14684,Grilled Fish Red Oil (Kaojiang),4,12.82,Stock Receipt,2025/5/5 22:31
14684,Grilled Fish Red Oil (Kaojiang),-5.84,6.98,Consumption Log,2025/5/5 22:41
14684,Grilled Fish Red Oil (Kaojiang),1.02,8,Stocktake Gain,2025/5/6 21:11
14684,Grilled Fish Red Oil (Kaojiang),4,12,Stock Receipt,2025/5/6 22:04
14684,Grilled Fish Red Oil (Kaojiang),-2.35,9.65,Consumption Log,2025/5/6 22:23
14684,Grilled Fish Red Oil (Kaojiang),0.35,10,Stocktake Gain,2025/5/6 23:58
14684,Grilled Fish Red Oil (Kaojiang),-2.7,7.3,Consumption Log,2025/5/7 22:25
14684,Grilled Fish Red Oil (Kaojiang),0.7,8,Stocktake Gain,2025/5/8 11:15
