Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13194,Pearl Garlic(Dia. 2.5cm),0,0,,2025/4/30 23:48
13194,Pearl Garlic(Dia. 2.5cm),10,10,Stock Receipt,2025/5/1 21:48
13194,Pearl Garlic(Dia. 2.5cm),-0.5,9.5,Consumption Log,2025/5/1 23:03
13194,Pearl Garlic(Dia. 2.5cm),-4,5.5,Stocktake Loss,2025/5/2 19:58
13194,Pearl Garlic(Dia. 2.5cm),8,13.5,Stock Receipt,2025/5/2 21:30
13194,Pearl Garlic(Dia. 2.5cm),-6.5,7,Consumption Log,2025/5/2 22:41
13194,Pearl Garlic(Dia. 2.5cm),-3,4,Stocktake Loss,2025/5/3 0:43
13194,Pearl Garlic(Dia. 2.5cm),4,8,Stock Receipt,2025/5/3 21:34
13194,Pearl Garlic(Dia. 2.5cm),-4.5,3.5,Consumption Log,2025/5/3 22:38
13194,Pearl Garlic(Dia. 2.5cm),-3.5,0,Stocktake Loss,2025/5/4 22:00
13194,Pearl Garlic(Dia. 2.5cm),10,10,Stock Receipt,2025/5/4 22:03
13194,Pearl Garlic(Dia. 2.5cm),-7.17,2.83,Consumption Log,2025/5/4 22:39
13194,Pearl Garlic(Dia. 2.5cm),8,10.83,Stock Receipt,2025/5/5 22:32
13194,Pearl Garlic(Dia. 2.5cm),-10.5,0.33,Consumption Log,2025/5/5 22:41
13194,Pearl Garlic(Dia. 2.5cm),6.67,7,Stocktake Gain,2025/5/6 21:11
13194,Pearl Garlic(Dia. 2.5cm),4,11,Stock Receipt,2025/5/6 22:05
13194,Pearl Garlic(Dia. 2.5cm),-1.16,9.84,Consumption Log,2025/5/6 22:23
13194,Pearl Garlic(Dia. 2.5cm),-2.83,7.01,Stocktake Loss,2025/5/6 23:58
13194,Pearl Garlic(Dia. 2.5cm),2,9.01,Stock Receipt,2025/5/7 13:51
13194,Pearl Garlic(Dia. 2.5cm),-3.28,5.73,Consumption Log,2025/5/7 22:25
13194,Pearl Garlic(Dia. 2.5cm),-1.72,4.01,Stocktake Loss,2025/5/8 11:15
13194,Pearl Garlic(Dia. 2.5cm),-2.44,1.57,Consumption Log,2025/5/8 22:30
13194,Pearl Garlic(Dia. 2.5cm),-1.56,0.01,Consumption Log,2025/5/9 22:36
13194,Pearl Garlic(Dia. 2.5cm),8,8.01,Stock Receipt,2025/5/9 23:01
13194,Pearl Garlic(Dia. 2.5cm),-2,6.01,Stocktake Loss,2025/5/10 22:39
13194,Pearl Garlic(Dia. 2.5cm),4,10.01,Stock Receipt,2025/5/10 22:42
13194,Pearl Garlic(Dia. 2.5cm),-1,9.01,Stocktake Loss,2025/5/11 11:45
13194,Pearl Garlic(Dia. 2.5cm),8,17.01,Stock Receipt,2025/5/11 21:07
13194,Pearl Garlic(Dia. 2.5cm),-9.5,7.51,Consumption Log,2025/5/11 22:22
13194,Pearl Garlic(Dia. 2.5cm),1.5,9.01,Stocktake Gain,2025/5/12 17:50
13194,Pearl Garlic(Dia. 2.5cm),-3.05,5.96,Consumption Log,2025/5/12 22:06
13194,Pearl Garlic(Dia. 2.5cm),0.05,6.01,Stocktake Gain,2025/5/13 12:44
13194,Pearl Garlic(Dia. 2.5cm),7,13.01,Stock Receipt,2025/5/13 20:37
13194,Pearl Garlic(Dia. 2.5cm),-2.72,10.29,Consumption Log,2025/5/13 22:19
13194,Pearl Garlic(Dia. 2.5cm),-3.28,7.01,Stocktake Loss,2025/5/14 22:15
13194,Pearl Garlic(Dia. 2.5cm),2,9.01,Stock Receipt,2025/5/14 22:17
13194,Pearl Garlic(Dia. 2.5cm),-2.39,6.62,Consumption Log,2025/5/14 22:24
13194,Pearl Garlic(Dia. 2.5cm),2,8.62,Stock Receipt,2025/5/15 20:56
13194,Pearl Garlic(Dia. 2.5cm),-2.89,5.73,Consumption Log,2025/5/15 22:10
13194,Pearl Garlic(Dia. 2.5cm),2.27,8,Stocktake Gain,2025/5/16 9:17
13194,Pearl Garlic(Dia. 2.5cm),3,11,Stock Receipt,2025/5/16 21:40
13194,Pearl Garlic(Dia. 2.5cm),-3.67,7.33,Consumption Log,2025/5/16 22:29
13194,Pearl Garlic(Dia. 2.5cm),-3.33,4,Stocktake Loss,2025/5/17 21:04
13194,Pearl Garlic(Dia. 2.5cm),4,8,Stock Receipt,2025/5/17 21:15
13194,Pearl Garlic(Dia. 2.5cm),-6.83,1.17,Consumption Log,2025/5/17 22:25
13194,Pearl Garlic(Dia. 2.5cm),2.33,3.5,Stocktake Gain,2025/5/18 11:01
13194,Pearl Garlic(Dia. 2.5cm),5,8.5,Stock Receipt,2025/5/18 21:28
13194,Pearl Garlic(Dia. 2.5cm),-3.67,4.83,Consumption Log,2025/5/18 22:46
13194,Pearl Garlic(Dia. 2.5cm),-4.83,0,Stocktake Loss,2025/5/19 20:08
13194,Pearl Garlic(Dia. 2.5cm),2,2,Stock Receipt,2025/5/19 21:49
13194,Pearl Garlic(Dia. 2.5cm),-2,0,Consumption Log,2025/5/19 22:23
13194,Pearl Garlic(Dia. 2.5cm),5,5,Stocktake Gain,2025/5/20 13:51
13194,Pearl Garlic(Dia. 2.5cm),6,11,Stock Receipt,2025/5/20 21:41
13194,Pearl Garlic(Dia. 2.5cm),-4.67,6.33,Consumption Log,2025/5/20 22:46
13194,Pearl Garlic(Dia. 2.5cm),-1.33,5,Stocktake Loss,2025/5/21 20:46
