Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14687,Grilled Fish Base - Sauerkraut (Kaojiang),0,0,,2025/4/30 23:48
14687,Grilled Fish Base - Sauerkraut (Kaojiang),108,108,Stocktake Gain,2025/7/11 0:54
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-17.18,90.82,Consumption Log,2025/7/11 22:20
14687,Grilled Fish Base - Sauerkraut (Kaojiang),0.18,91,Stocktake Gain,2025/7/12 22:26
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-20,71,Consumption Log,2025/7/12 23:02
14687,Grilled Fish Base - Sauerkraut (Kaojiang),40,111,Stock Receipt,2025/7/13 21:12
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-24,87,Consumption Log,2025/7/13 22:17
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-14,73,Consumption Log,2025/7/14 22:29
14687,Grilled Fish Base - Sauerkraut (Kaojiang),40,113,Stock Receipt,2025/7/15 14:12
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-14.51,98.49,Consumption Log,2025/7/15 22:46
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-2.49,96,Stocktake Loss,2025/7/16 14:17
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-14,82,Consumption Log,2025/7/16 22:14
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-15.68,66.32,Consumption Log,2025/7/17 22:21
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-1.32,65,Stocktake Loss,2025/7/18 9:40
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-19.67,45.33,Consumption Log,2025/7/18 22:29
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-0.33,45,Stocktake Loss,2025/7/19 21:47
14687,Grilled Fish Base - Sauerkraut (Kaojiang),40,85,Stock Receipt,2025/7/19 21:50
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-12,73,Consumption Log,2025/7/19 22:41
14687,Grilled Fish Base - Sauerkraut (Kaojiang),40,113,Stock Receipt,2025/7/20 21:44
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-1,112,Stock Requisition,2025/7/20 21:44
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-13,99,Consumption Log,2025/7/20 22:47
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-8.67,90.33,Consumption Log,2025/7/21 22:38
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-0.33,90,Stocktake Loss,2025/7/22 21:49
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-9.34,80.66,Consumption Log,2025/7/22 22:27
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-0.66,80,Stocktake Loss,2025/7/23 21:32
14687,Grilled Fish Base - Sauerkraut (Kaojiang),40,120,Stock Receipt,2025/7/23 21:37
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-6.67,113.33,Consumption Log,2025/7/23 22:15
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-0.33,113,Stocktake Loss,2025/7/24 9:29
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-6.34,106.66,Consumption Log,2025/7/24 22:28
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-0.66,106,Stocktake Loss,2025/7/25 9:30
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-16.34,89.66,Consumption Log,2025/7/25 22:43
14687,Grilled Fish Base - Sauerkraut (Kaojiang),-0.66,89,Stocktake Loss,2025/7/26 8:56
