Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
14179,"Pickled Mustard Stems (Diced, No Leaf)",15,15,,2025/4/30 23:48
14179,"Pickled Mustard Stems (Diced, No Leaf)",12,27,Stock Receipt,2025/5/1 21:47
14179,"Pickled Mustard Stems (Diced, No Leaf)",-3.46,23.54,Consumption Log,2025/5/1 23:03
14179,"Pickled Mustard Stems (Diced, No Leaf)",-0.5,23.04,Stock Requisition,2025/5/1 23:05
14179,"Pickled Mustard Stems (Diced, No Leaf)",-2.48,20.56,Consumption Log,2025/5/2 22:41
14179,"Pickled Mustard Stems (Diced, No Leaf)",-6.28,14.28,Consumption Log,2025/5/3 22:38
14179,"Pickled Mustard Stems (Diced, No Leaf)",-4.76,9.52,Consumption Log,2025/5/4 22:39
14179,"Pickled Mustard Stems (Diced, No Leaf)",-3.72,5.8,Consumption Log,2025/5/5 22:41
14179,"Pickled Mustard Stems (Diced, No Leaf)",-1.59,4.21,Consumption Log,2025/5/6 22:23
14179,"Pickled Mustard Stems (Diced, No Leaf)",12,16.21,Stock Receipt,2025/5/7 13:47
14179,"Pickled Mustard Stems (Diced, No Leaf)",-1.41,14.8,Consumption Log,2025/5/7 22:25
14179,"Pickled Mustard Stems (Diced, No Leaf)",-1.63,13.17,Consumption Log,2025/5/8 22:30
14179,"Pickled Mustard Stems (Diced, No Leaf)",-2.21,10.96,Consumption Log,2025/5/9 22:36
14179,"Pickled Mustard Stems (Diced, No Leaf)",12,22.96,Stock Receipt,2025/5/9 22:59
14179,"Pickled Mustard Stems (Diced, No Leaf)",-4.23,18.73,Consumption Log,2025/5/11 22:22
14179,"Pickled Mustard Stems (Diced, No Leaf)",-2.51,16.22,Consumption Log,2025/5/12 22:06
14179,"Pickled Mustard Stems (Diced, No Leaf)",-1.32,14.9,Consumption Log,2025/5/13 22:19
14179,"Pickled Mustard Stems (Diced, No Leaf)",12,26.9,Stock Receipt,2025/5/14 22:17
14179,"Pickled Mustard Stems (Diced, No Leaf)",-0.56,26.34,Consumption Log,2025/5/14 22:24
14179,"Pickled Mustard Stems (Diced, No Leaf)",-2.2,24.14,Consumption Log,2025/5/15 22:10
14179,"Pickled Mustard Stems (Diced, No Leaf)",-2.53,21.61,Consumption Log,2025/5/16 22:29
14179,"Pickled Mustard Stems (Diced, No Leaf)",-4.16,17.45,Consumption Log,2025/5/17 22:25
14179,"Pickled Mustard Stems (Diced, No Leaf)",12,29.45,Stock Receipt,2025/5/18 21:25
14179,"Pickled Mustard Stems (Diced, No Leaf)",-0.5,28.95,Stock Requisition,2025/5/18 22:05
14179,"Pickled Mustard Stems (Diced, No Leaf)",-4.24,24.71,Consumption Log,2025/5/18 22:46
14179,"Pickled Mustard Stems (Diced, No Leaf)",-1.68,23.03,Consumption Log,2025/5/19 22:23
