Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",10,10,,2025/4/30 23:48
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.9,5.1,Consumption Log,2025/5/1 23:03
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",30,35.1,Stock Receipt,2025/5/2 21:27
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-3.82,31.28,Consumption Log,2025/5/2 22:41
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.6,26.68,Consumption Log,2025/5/3 22:38
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.79,21.89,Consumption Log,2025/5/4 22:39
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.46,17.43,Consumption Log,2025/5/5 22:41
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-1.88,15.55,Consumption Log,2025/5/6 22:23
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",30,45.55,Stock Receipt,2025/5/7 13:47
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.29,43.26,Consumption Log,2025/5/7 22:25
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.26,41,Consumption Log,2025/5/8 22:30
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.86,38.14,Consumption Log,2025/5/9 22:36
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.24,33.9,Consumption Log,2025/5/11 22:22
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-1.8,32.1,Consumption Log,2025/5/12 22:06
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.15,29.95,Consumption Log,2025/5/13 22:19
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.13,27.82,Consumption Log,2025/5/14 22:24
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.88,24.94,Consumption Log,2025/5/15 22:10
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.55,22.39,Consumption Log,2025/5/16 22:29
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.35,18.04,Consumption Log,2025/5/17 22:25
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",30,48.04,Stock Receipt,2025/5/18 21:25
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.09,43.95,Consumption Log,2025/5/18 22:46
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-1.81,42.14,Consumption Log,2025/5/19 22:23
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-3.89,38.25,Consumption Log,2025/5/20 22:46
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.7,35.55,Consumption Log,2025/5/21 22:19
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-2.5,33.05,Consumption Log,2025/5/22 22:47
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-3.06,29.99,Consumption Log,2025/5/23 23:26
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.81,25.18,Consumption Log,2025/5/24 22:39
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",30,55.18,Stock Receipt,2025/5/25 21:07
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-4.51,50.67,Consumption Log,2025/5/25 22:26
13685,"Snowflake Salt (Chuanjing, Iodized) Spec: 500g x 50 Bags/Case",-1.91,48.76,Consumption Log,2025/5/26 21:35
