Item ID / SKU,Product Name,Qty Change,Stock On Hand,Transaction Type,Audit Time
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,13,13,,2025/4/30 23:48
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,10,23,Stock Receipt,2025/5/1 21:47
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-9.05,13.95,Consumption Log,2025/5/1 23:03
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,0.05,14,Stocktake Gain,2025/5/2 19:58
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,10,24,Stock Receipt,2025/5/2 21:27
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-6.45,17.55,Consumption Log,2025/5/2 22:41
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-7.55,10,Stocktake Loss,2025/5/3 0:43
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,10,20,Stock Receipt,2025/5/3 13:42
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-8.15,11.85,Consumption Log,2025/5/3 22:38
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,8.15,20,Stocktake Gain,2025/5/4 22:00
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-9.25,10.75,Consumption Log,2025/5/4 22:39
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,10,20.75,Stock Receipt,2025/5/5 22:31
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-8.75,12,Consumption Log,2025/5/5 22:41
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,10,22,Stock Receipt,2025/5/6 22:04
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-3.39,18.61,Consumption Log,2025/5/6 22:23
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-2.61,16,Stocktake Loss,2025/5/6 23:58
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-3.88,12.12,Consumption Log,2025/5/7 22:25
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,3.88,16,Stocktake Gain,2025/5/8 11:15
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-4.26,11.74,Consumption Log,2025/5/8 22:30
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-5.69,6.05,Consumption Log,2025/5/9 22:36
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,10,16.05,Stock Receipt,2025/5/9 22:59
12895,Fresh Sichuan Peppercorns (Green) Spec: 400g x 40 Bags/Case,-1.06,14.99,Stocktake Loss,2025/5/10 22:39
