iter	RMSE
0	3.62946509
1	3.609699951
2	3.588189184
3	3.571333319
4	3.552596867
5	3.537201398
6	3.522671029
7	3.511877967
8	3.498073279
9	3.482875138
10	3.470302611
11	3.45833748
12	3.446897471
13	3.433224985
14	3.42025138
15	3.383195002
16	3.372773881
17	3.363226537
18	3.348881073
19	3.307358426
20	3.296262997
21	3.288228404
22	3.279995986
23	3.271475669
24	3.262290461
25	3.253423901
26	3.24488338
27	3.23744094
28	3.229479088
29	3.197205551
30	3.187685842
31	3.179720797
32	3.171380521
33	3.163430108
34	3.15611551
35	3.149134656
36	3.142471873
37	3.136112255
38	3.130196776
39	3.123780457
40	3.117673925
41	3.112468147
42	3.099933384
43	3.093166076
44	3.087787795
45	3.082670745
46	3.078262683
47	3.07355412
48	3.039889285
49	3.034289979
50	3.009457651
51	3.004144846
52	2.999956424
53	2.978786625
54	2.974837388
55	2.970025922
56	2.954141408
57	2.940832907
58	2.914408242
59	2.90181752
60	2.898387024
61	2.865866033
62	2.862469346
63	2.849981969
64	2.841081987
65	2.838293675
66	2.834887592
67	2.831634944
68	2.829109922
69	2.810995215
70	2.801443597
71	2.772101713
72	2.76261538
73	2.759679386
74	2.724261638
75	2.715829503
76	2.700158334
77	2.668298659
78	2.658005767
79	2.651770445
80	2.643775498
81	2.636355719
82	2.62976202
83	2.603645861
84	2.59575494
85	2.589885371
86	2.560093142
87	2.557819235
88	2.538210164
89	2.536151847
90	2.531557989
91	2.505976519
92	2.497515403
93	2.48663626
94	2.482122313
95	2.476065343
96	2.471369919
97	2.45882139
98	2.456881364
99	2.442386516
