iter	Passed	Remaining
0	1	121
1	2	102
2	2	95
3	3	89
4	4	86
5	5	83
6	6	80
7	6	77
8	7	74
9	7	71
10	8	69
11	9	67
12	9	66
13	10	65
14	11	64
15	11	62
16	12	61
17	13	60
18	14	60
19	14	58
20	15	57
21	16	58
22	17	58
23	18	58
24	19	57
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	24	49
33	24	47
34	25	46
35	25	45
36	26	45
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	31	41
43	32	41
44	33	40
45	33	39
46	34	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	16
79	61	15
80	62	14
81	62	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
