Date,Dish_Name,Quantity_Sold
5/1/2025,Chicken knee cartilage,66
5/1/2025,Grilled lamb skewers,168
5/1/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/1/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/1/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/1/2025,Garlic flavor - Jiangtuan,11
5/1/2025,Garlic flavor - Sea bass,14
5/1/2025,Garlic flavor - Qian fish,31
5/1/2025,Pickled mustard greens flavor - Jiangtuan,1
5/1/2025,Pickled mustard greens flavor - Sea bass,4
5/1/2025,Pickled mustard greens flavor - Qian fish,14
5/1/2025,Green pepper flavor - Jiangtuan,12
5/1/2025,Green pepper flavor - Sea bass,15
5/1/2025,Green pepper flavor - Qian fish,25
5/1/2025,Mala flavor - Jiangtuan,28
5/1/2025,Mala flavor - Sea bass,31
5/1/2025,Mala flavor - Qian fish,41
5/2/2025,Chicken knee cartilage,87
5/2/2025,Grilled lamb skewers,164
5/2/2025,Old-jar pickled mustard greens flavor - Jiangtuan,3
5/2/2025,Old-jar pickled mustard greens flavor - Sea bass,3
5/2/2025,Old-jar pickled mustard greens flavor - Qian fish,3
5/2/2025,Garlic flavor - Jiangtuan,10
5/2/2025,Garlic flavor - Sea bass,14
5/2/2025,Garlic flavor - Qian fish,37
5/2/2025,Pickled mustard greens flavor - Jiangtuan,1
5/2/2025,Pickled mustard greens flavor - Sea bass,5
5/2/2025,Pickled mustard greens flavor - Qian fish,16
5/2/2025,Green pepper flavor - Jiangtuan,10
5/2/2025,Green pepper flavor - Sea bass,14
5/2/2025,Green pepper flavor - Qian fish,25
5/2/2025,Mala flavor - Jiangtuan,29
5/2/2025,Mala flavor - Sea bass,33
5/2/2025,Mala flavor - Qian fish,44
5/3/2025,Chicken knee cartilage,62
5/3/2025,Grilled lamb skewers,171
5/3/2025,Old-jar pickled mustard greens flavor - Jiangtuan,6
5/3/2025,Old-jar pickled mustard greens flavor - Sea bass,6
5/3/2025,Old-jar pickled mustard greens flavor - Qian fish,6
5/3/2025,Garlic flavor - Jiangtuan,12
5/3/2025,Garlic flavor - Sea bass,15
5/3/2025,Garlic flavor - Qian fish,38
5/3/2025,Pickled mustard greens flavor - Jiangtuan,3
5/3/2025,Pickled mustard greens flavor - Sea bass,6
5/3/2025,Pickled mustard greens flavor - Qian fish,14
5/3/2025,Green pepper flavor - Jiangtuan,9
5/3/2025,Green pepper flavor - Sea bass,12
5/3/2025,Green pepper flavor - Qian fish,20
5/3/2025,Mala flavor - Jiangtuan,25
5/3/2025,Mala flavor - Sea bass,28
5/3/2025,Mala flavor - Qian fish,37
5/4/2025,Chicken knee cartilage,124
5/4/2025,Grilled lamb skewers,187
