日期,菜品,销量
2024-01-01,Laksa,361
2024-01-01,Spaghetti Carbonara,105
2024-01-01,Beef Rendang,36
2024-01-01,Roti Canai,503
2024-01-01,Spaghetti Carbonara,262
2024-01-01,Cendol,409
2024-01-01,Spaghetti Carbonara,76
2024-01-01,Char Kway Teow,236
2024-01-01,Tandoori Chicken,176
2024-01-01,Spaghetti Carbonara,237
2024-01-01,Kaya Toast Set,347
2024-01-01,Chicken Chop,270
2024-01-01,Cendol,278
2024-01-01,Roti Canai,847
2024-01-01,Chicken Rice,344
2024-01-01,Teh Tarik,412
2024-01-01,Iced Lemon Tea,714
2024-01-01,Iced Lemon Tea,649
2024-01-01,Kaya Toast Set,625
2024-01-01,Nasi Lemak,315
2024-01-01,Kaya Toast Set,651
2024-01-01,Tandoori Chicken,410
2024-01-01,Mushroom Soup,73
2024-01-01,Spaghetti Carbonara,143
2024-01-02,Tandoori Chicken,0
2024-01-02,Chicken Chop,143
2024-01-02,Kaya Toast Set,294
2024-01-02,Kaya Toast Set,356
2024-01-02,Cendol,172
2024-01-02,Beef Rendang,1
2024-01-02,Chicken Chop,236
2024-01-02,Kaya Toast Set,389
2024-01-02,Cendol,190
2024-01-02,Cendol,186
2024-01-02,Mushroom Soup,30
2024-01-02,Roti Canai,711
2024-01-02,Nasi Lemak,238
2024-01-02,Mushroom Soup,20
2024-01-02,Nasi Lemak,350
2024-01-02,Roti Canai,301
2024-01-02,Beef Rendang,126
2024-01-02,Spaghetti Carbonara,12
2024-01-02,Teh Tarik,385
2024-01-02,Cendol,353
2024-01-02,Tandoori Chicken,318
2024-01-02,Mushroom Soup,88
2024-01-02,Mushroom Soup,59
2024-01-02,Iced Lemon Tea,357
2024-01-02,Kaya Toast Set,416
2024-01-02,Chicken Chop,94
2024-01-02,Beef Rendang,241
2024-01-02,Laksa,73
2024-01-02,Teh Tarik,385
2024-01-02,Cendol,220
2024-01-02,Nasi Lemak,259
2024-01-02,Tandoori Chicken,0
2024-01-02,Cendol,120
2024-01-02,Roti Canai,524
2024-01-03,Spaghetti Carbonara,92
2024-01-03,Beef Rendang,148
2024-01-03,Spaghetti Carbonara,148
2024-01-03,Roti Canai,239
2024-01-03,Cendol,64
2024-01-03,Laksa,263
2024-01-03,Roti Canai,673
2024-01-03,Nasi Lemak,503
2024-01-03,Tandoori Chicken,99
2024-01-03,Tandoori Chicken,181
2024-01-03,Cendol,119
2024-01-03,Mushroom Soup,210
2024-01-03,Teh Tarik,496
2024-01-03,Beef Rendang,23
2024-01-03,Beef Rendang,103
2024-01-03,Laksa,192
2024-01-03,Beef Rendang,113
2024-01-03,Cendol,274
2024-01-03,Kaya Toast Set,232
2024-01-04,Mushroom Soup,0
2024-01-04,Beef Rendang,194
2024-01-04,Iced Lemon Tea,226
2024-01-04,Roti Canai,435
2024-01-04,Tandoori Chicken,53
2024-01-04,Cendol,359
2024-01-04,Kaya Toast Set,619
2024-01-04,Cendol,218
2024-01-04,Cendol,425
2024-01-04,Nasi Lemak,346
2024-01-04,Beef Rendang,0
2024-01-04,Teh Tarik,577
2024-01-04,Nasi Lemak,259
2024-01-04,Mushroom Soup,73
2024-01-04,Cendol,231
2024-01-04,Tandoori Chicken,129
2024-01-04,Teh Tarik,506
2024-01-04,Tandoori Chicken,172
2024-01-04,Chicken Chop,191
2024-01-04,Laksa,178
2024-01-04,Laksa,270
2024-01-04,Char Kway Teow,207
2024-01-04,Iced Lemon Tea,141
2024-01-04,Nasi Lemak,477
2024-01-04,Teh Tarik,497
2024-01-04,Kaya Toast Set,338
2024-01-04,Cendol,279
2024-01-04,Cendol,192
2024-01-05,Spaghetti Carbonara,128
2024-01-05,Teh Tarik,316
2024-01-05,Chicken Chop,40
2024-01-05,Teh Tarik,439
2024-01-05,Tandoori Chicken,59
2024-01-05,Teh Tarik,226
2024-01-05,Roti Canai,373
2024-01-05,Iced Lemon Tea,340
2024-01-05,Teh Tarik,535
2024-01-05,Beef Rendang,153
2024-01-05,Mushroom Soup,86
2024-01-05,Kaya Toast Set,726
2024-01-05,Spaghetti Carbonara,290
2024-01-05,Cendol,288
2024-01-05,Tandoori Chicken,0
2024-01-05,Cendol,35
2024-01-05,Kaya Toast Set,229
2024-01-05,Char Kway Teow,42
2024-01-05,Laksa,53
2024-01-05,Kaya Toast Set,430
2024-01-05,Teh Tarik,309
2024-01-05,Teh Tarik,615
2024-01-05,Spaghetti Carbonara,98
2024-01-05,Kaya Toast Set,280
2024-01-05,Roti Canai,348
2024-01-05,Beef Rendang,0
2024-01-05,Mushroom Soup,6
2024-01-05,Kaya Toast Set,268
2024-01-06,Teh Tarik,896
2024-01-06,Spaghetti Carbonara,106
2024-01-06,Cendol,599
2024-01-06,Tandoori Chicken,357
2024-01-06,Cendol,144
2024-01-06,Roti Canai,407
2024-01-06,Beef Rendang,67
2024-01-06,Cendol,395
2024-01-06,Tandoori Chicken,133
2024-01-06,Nasi Lemak,407
2024-01-06,Teh Tarik,836
2024-01-06,Beef Rendang,176
2024-01-06,Chicken Rice,230
2024-01-06,Char Kway Teow,202
2024-01-06,Kaya Toast Set,531
2024-01-06,Char Kway Teow,199
2024-01-06,Chicken Chop,176
2024-01-06,Iced Lemon Tea,751
2024-01-06,Cendol,337
2024-01-06,Kaya Toast Set,799
2024-01-06,Teh Tarik,551
2024-01-06,Kaya Toast Set,526
2024-01-06,Roti Canai,610
2024-01-06,Laksa,68
2024-01-07,Tandoori Chicken,300
2024-01-07,Beef Rendang,0
2024-01-07,Nasi Lemak,421
2024-01-07,Char Kway Teow,100
2024-01-07,Nasi Lemak,444
2024-01-07,Kaya Toast Set,762
2024-01-07,Iced Lemon Tea,617
2024-01-07,Mushroom Soup,25
2024-01-07,Cendol,361
2024-01-07,Beef Rendang,241
2024-01-07,Char Kway Teow,252
2024-01-07,Char Kway Teow,165
2024-01-07,Chicken Chop,283
2024-01-07,Nasi Lemak,408
2024-01-07,Roti Canai,601
2024-01-07,Teh Tarik,743
2024-01-07,Teh Tarik,638
2024-01-07,Kaya Toast Set,418
2024-01-07,Kaya Toast Set,500
2024-01-07,Iced Lemon Tea,301
2024-01-07,Cendol,148
2024-01-07,Mushroom Soup,68
2024-01-07,Roti Canai,472
2024-01-07,Kaya Toast Set,431
2024-01-07,Mushroom Soup,106
2024-01-07,Beef Rendang,107
2024-01-07,Nasi Lemak,468
2024-01-07,Roti Canai,265
2024-01-07,Spaghetti Carbonara,39
2024-01-07,Spaghetti Carbonara,273
2024-01-07,Chicken Chop,498
2024-01-08,Teh Tarik,1545
2024-01-08,Spaghetti Carbonara,111
2024-01-08,Teh Tarik,376
2024-01-08,Laksa,142
2024-01-08,Roti Canai,85
2024-01-08,Spaghetti Carbonara,51
2024-01-08,Cendol,288
2024-01-08,Cendol,240
2024-01-08,Teh Tarik,321
2024-01-08,Kaya Toast Set,481
