order_id,store_id,transaction_datetime,business_day,daypart,service_mode,menu_item,modifier,quantity,unit_price,discount,tax,total_amount,payment_type
120000,102,2025-07-05 06:14:08,2025-07-05,Breakfast,Drive-Thru,Bottled Water,,1,1.48,0.15,0.1,1.43,Cash
120001,201,2025-07-05 11:48:51,2025-07-05,Lunch,Dine-In,Chicken Sandwich,,1,5.34,0.0,0.45,5.79,Card
120002,403,2025-04-13 08:05:35,2025-04-13,Breakfast,Takeout,Bottled Water,Light Ice,1,1.49,0.15,0.1,1.44,Cash
120003,301,2025-06-25 06:42:17,2025-06-25,Breakfast,Drive-Thru,Egg Muffin,No Cheese,1,3.62,0.0,0.34,3.96,Cash
120004,301,2025-08-01 12:58:36,2025-08-01,Lunch,Drive-Thru,Spicy Chicken Combo,,2,9.17,0.0,1.38,19.72,Card
120005,501,2025-07-12 12:32:31,2025-07-12,Lunch,Dine-In,Double Cheeseburger,,1,5.64,0.0,0.37,6.01,Card
120006,101,2025-07-26 17:56:34,2025-07-26,Afternoon,Delivery,Onion Rings,,1,3.59,0.54,0.29,3.34,MobilePay
120007,403,2025-07-21 16:48:10,2025-07-21,Afternoon,Takeout,Soft Drink (Medium),,1,1.8,0.27,0.11,1.64,Cash
120008,102,2025-06-02 23:08:42,2025-06-02,Late Night,Delivery,Chicken Sandwich,Extra Sauce,2,5.22,0.0,0.79,11.73,Card
120009,402,2025-07-12 05:21:01,2025-07-12,Breakfast,Drive-Thru,Hash Browns,,1,2.0,0.0,0.12,2.12,Card
120010,103,2025-04-19 21:15:50,2025-04-19,Dinner,Takeout,Double Cheeseburger,,1,5.55,0.0,0.33,5.88,Card
120011,102,2025-07-16 11:08:27,2025-07-16,Morning,Dine-In,Apple Pie,,1,1.53,0.0,0.1,1.63,Card
120012,201,2025-06-08 08:13:55,2025-06-08,Breakfast,Takeout,Sausage Biscuit,Sausage Patty,2,3.1,0.0,0.64,9.24,Card
120013,103,2025-07-13 10:37:47,2025-07-13,Morning,Takeout,Coffee,Oat Milk,2,1.51,0.0,0.27,4.69,Cash
120014,201,2025-04-11 12:37:38,2025-04-11,Lunch,Dine-In,Spicy Chicken Combo,,1,8.43,0.0,0.67,9.1,Card
120015,102,2025-05-22 09:06:04,2025-05-22,Breakfast,Delivery,Egg Muffin,,1,3.1,0.0,0.23,3.33,Card
120016,403,2025-04-27 09:19:59,2025-04-27,Breakfast,Drive-Thru,Egg Muffin,,1,2.99,0.0,0.22,3.21,MobilePay
120017,403,2025-04-16 11:05:40,2025-04-16,Lunch,Takeout,Cheeseburger,,1,4.59,0.0,,5.0,Card
120018,403,2025-06-23 09:35:09,2025-06-23,Breakfast,Takeout,Sausage Biscuit,Extra Egg,2,2.81,0.0,0.55,8.17,Card
120019,103,2025-07-10 19:51:51,2025-07-10,Dinner,Dine-In,Chicken Sandwich,Extra Sauce,1,4.87,0.0,0.37,5.49,Card
120020,201,2025-04-14 11:22:19,2025-04-14,Morning,Drive-Thru,Coffee,Sugar-Free Syrup,1,2.18,0.0,0.19,2.67,MobilePay
120021,101,2025-07-07 06:37:16,2025-07-07,Breakfast,Dine-In,Sausage Biscuit,Cinnamon,1,2.98,0.0,0.26,3.34,Cash
120022,403,2025-04-11 17:47:42,2025-04-11,Afternoon,Dine-In,Ice Cream Cone,Cinnamon,1,1.65,0.0,0.13,1.88,Card
120023,201,2025-04-11 14:43:47,2025-04-11,Lunch,Drive-Thru,Spicy Chicken Sandwich,No Pickles,1,5.09,0.0,0.41,5.5,Cash
120024,103,2025-07-04 17:42:40,2025-07-04,Afternoon,Takeout,Ice Cream Cone,,1,1.58,0.0,0.11,1.69,Card
120025,401,2025-05-28 19:45:44,2025-05-28,Dinner,Takeout,Chicken Sandwich,Extra Cheese,1,5.43,0.0,0.56,6.49,Card
120026,402,2025-05-30 17:20:48,2025-05-30,Afternoon,Drive-Thru,Milkshake,Cinnamon,1,3.61,0.0,0.33,4.04,Cash
120027,402,2025-07-05 16:04:45,2025-07-05,Afternoon,Dine-In,French Fries,Small Size,1,2.75,0.0,0.17,2.62,Card
120028,201,2025-06-21 18:54:56,2025-06-21,Dinner,Drive-Thru,Cheeseburger,,1,4.29,0.0,0.36,4.65,Card
120029,202,2025-08-06 14:21:42,2025-08-06,Lunch,Delivery,Chicken Sandwich,No Onions,3,5.28,0.0,1.35,17.19,Card
120030,103,2025-06-22 07:13:29,2025-06-22,Breakfast,Takeout,Sausage Biscuit,,1,2.89,0.15,0.27,3.11,Cash
120031,101,2025-07-09 19:53:01,2025-07-09,Dinner,Delivery,Cheeseburger Combo,,2,9.42,0.0,1.41,20.25,Card
120032,103,2025-07-27 22:59:19,2025-07-27,Late Night,Drive-Thru,Spicy Chicken Sandwich,,1,5.63,0.0,0.48,7.11,MobilePay
120033,501,2025-06-26 21:42:23,2025-06-26,Dinner,Dine-In,Cheeseburger,,1,4.14,0.0,0.33,4.47,Cash
120034,202,2025-04-14 17:49:30,2025-04-14,Afternoon,Takeout,Iced Tea,,1,2.0,0.0,0.15,2.15,MobilePay
120035,101,2025-06-29 12:31:13,2025-06-29,Lunch,Takeout,Chicken Sandwich,,1,4.94,0.0,0.43,6.37,Card
120036,402,2025-08-07 11:18:14,2025-08-07,Lunch,Takeout,Spicy Chicken Combo,,1,9.39,0.0,0.89,10.28,Card
120037,201,2025-05-06 12:12:13,2025-05-06,Lunch,Drive-Thru,Chicken Sandwich Combo,Spicy,1,8.01,0.0,0.58,8.59,Card
120038,101,2025-05-31 00:44:08,2025-05-31,Late Night,Drive-Thru,Cheeseburger,,1,4.05,0.0,0.32,4.37,Cash
120039,401,2025-05-28 11:09:09,2025-05-28,Lunch,Drive-Thru,Cheeseburger,,1,4.56,0.0,0.33,4.89,MobilePay
120040,401,2025-05-22 11:39:47,2025-05-22,Lunch,Dine-In,Chicken Sandwich Combo,,1,9.36,0.0,0.89,10.25,
120041,201,2025-07-04 14:04:43,2025-07-04,Lunch,Dine-In,Double Cheeseburger Combo,,1,10.08,0.0,0.66,10.74,Card
120042,103,2025-05-25 20:28:07,2025-05-25,Dinner,Takeout,Cheeseburger Combo,,1,8.43,0.0,0.51,8.94,Card
120043,501,2025-08-07 17:52:17,2025-08-07,Afternoon,Takeout,Chicken Nuggets (10pc),,1,4.89,0.0,0.42,5.31,Cash
120044,102,2025-06-28 21:44:31,2025-06-28,Dinner,,Double Cheeseburger Combo,,1,9.25,0.0,0.74,9.99,MobilePay
120045,403,2025-08-03 12:33:23,2025-08-03,Lunch,Delivery,Cheeseburger Combo,,1,8.13,0.0,0.61,8.74,Card
120046,201,2025-07-01 18:35:26,2025-07-01,Dinner,Dine-In,Onion Rings,Large Size,1,3.01,0.0,0.27,3.88,GiftCard
120047,403,2025-07-16 09:32:47,2025-07-16,Breakfast,Drive-Thru,Hash Browns,Cinnamon,1,2.1,0.0,0.16,2.36,MobilePay
120048,402,2025-06-13 21:22:21,2025-06-13,Dinner,Delivery,Cheeseburger Combo,,1,8.66,0.0,0.74,9.4,Card
120049,401,2025-05-17 12:31:02,2025-05-17,Lunch,Dine-In,Spicy Chicken Sandwich,,2,4.96,1.98,0.48,8.42,GiftCard
120050,202,2025-05-13 14:41:05,2025-05-13,Lunch,Drive-Thru,French Fries,No Sauce,1,2.73,0.0,0.25,2.98,MobilePay
120051,201,2025-06-15 18:48:40,2025-06-15,Dinner,Delivery,Chicken Sandwich,,1,5.25,0.0,0.32,5.57,Card
120052,103,2025-07-30 09:55:24,2025-07-30,Breakfast,Drive-Thru,Soft Drink (Small),,1,1.48,0.0,0.11,1.59,Card
120053,102,2025-06-26 13:40:27,2025-06-26,Lunch,Delivery,Spicy Chicken Sandwich,Extra Patty,1,5.87,0.0,0.63,8.5,Card
120054,202,2025-04-21 10:49:47,2025-04-21,Breakfast,Drive-Thru,Coffee,Extra Ice,1,2.1,0.0,0.17,2.27,MobilePay
120055,103,2025-04-16 17:41:02,2025-04-16,Afternoon,Takeout,Iced Tea,,2,2.01,0.0,0.34,4.36,Card
120056,202,2025-07-08 21:51:18,2025-07-08,Dinner,Drive-Thru,Double Cheeseburger,,1,5.39,0.0,0.46,5.85,Card
120057,403,2025-06-23 10:47:43,2025-06-23,Breakfast,Takeout,Pancake Platter,No Cheese,1,4.89,0.0,0.46,5.35,Card
120058,202,2025-07-26 15:02:02,2025-07-26,Afternoon,Takeout,Chicken Nuggets (6pc),,1,3.82,0.0,0.36,4.18,Card
120059,402,2025-04-11 16:02:44,2025-04-11,Afternoon,Takeout,Ice Cream Cone,,3,1.75,0.0,0.54,7.29,Card
120060,102,2025-05-19 17:38:01,2025-05-19,Afternoon,Dine-In,Ice Cream Cone,Caramel Topping,1,1.58,0.0,0.15,2.23,Card
120061,501,2025-04-22 06:08:34,2025-04-22,Breakfast,Takeout,Pancake Platter,,1,4.93,0.0,0.36,5.29,
120062,102,2025-06-10 21:49:23,2025-06-10,Dinner,Takeout,Cheeseburger Combo,,1,7.94,0.0,0.75,8.69,Card
120063,401,2025-06-08 17:58:28,2025-06-08,Afternoon,Dine-In,Iced Tea,,1,1.73,0.0,0.16,1.89,Card
120064,401,2025-05-12 05:54:41,2025-05-12,Breakfast,Drive-Thru,Coffee,,1,2.05,0.0,0.16,2.21,Cash
120065,202,2025-07-21 14:04:05,2025-07-21,Lunch,Drive-Thru,Cheeseburger,,1,4.94,0.0,0.47,5.41,Card
120066,401,2025-05-09 18:18:38,2025-05-09,Dinner,Dine-In,Cheeseburger Combo,,1,8.45,0.0,0.68,9.13,Card
120067,403,2025-04-27 22:38:59,2025-04-27,Late Night,Drive-Thru,Cheeseburger,,1,4.82,0.0,0.39,5.21,Cash
120068,101,2025-06-03 06:24:26,2025-06-03,Breakfast,Takeout,Sausage Biscuit,,2,3.13,0.0,0.38,6.64,Card
120069,401,2025-06-14 14:17:13,2025-06-14,Lunch,Drive-Thru,Cheeseburger Combo,,1,8.17,,0.61,8.78,Card
120070,201,2025-05-04 20:18:20,2025-05-04,Dinner,Dine-In,Cheeseburger Combo,,1,8.67,0.0,0.82,9.49,Card
120071,101,2025-07-31 13:36:27,2025-07-31,Lunch,Takeout,Cheeseburger Combo,,1,9.26,0.0,0.83,10.09,Cash
120072,501,2025-07-30 14:55:19,2025-07-30,Lunch,Drive-Thru,Double Cheeseburger Combo,,1,9.97,0.0,0.72,10.69,Card
120073,201,2025-07-08 06:11:38,2025-07-08,Breakfast,Dine-In,Egg Muffin,Cinnamon,1,3.63,0.0,0.34,4.07,MobilePay
120074,301,2025-08-01 08:28:40,2025-08-01,Breakfast,Takeout,Egg Muffin,,1,2.59,0.57,0.24,3.46,Card
120075,402,2025-04-30 17:57:02,2025-04-30,Afternoon,Takeout,Milkshake,,1,4.26,0.0,0.26,4.52,MobilePay
120076,103,2025-05-11 08:28:33,2025-05-11,Breakfast,Delivery,Sausage Biscuit,,1,3.06,0.0,0.18,3.24,Card
120077,202,2025-04-22 10:21:05,2025-04-22,Morning,Takeout,Latte,Almond Milk,1,3.17,0.0,0.25,4.12,Card
120078,403,2025-05-16 08:32:23,2025-05-16,Breakfast,Dine-In,Milkshake,,1,4.02,0.0,0.28,4.3,Card
120079,403,2025-06-27 09:08:38,2025-06-27,Breakfast,Takeout,Latte,Light Ice,1,2.74,0.41,0.17,2.5,Card
120080,201,2025-04-28 14:57:53,2025-04-28,Lunch,Dine-In,Chicken Sandwich Combo,Gluten-Free Bun,1,8.88,0.0,0.84,10.72,Cash
120081,402,2025-05-31 18:45:54,2025-05-31,Dinner,Takeout,Double Cheeseburger,,1,5.89,0.0,0.5,6.39,Card
120082,401,2025-06-06 07:15:24,2025-06-06,Breakfast,Drive-Thru,Egg Muffin,Sausage Patty,1,3.61,0.0,0.36,5.17,Card
120083,501,2025-07-30 05:16:13,2025-07-30,Breakfast,Drive-Thru,Coffee,,1,1.79,0.0,0.12,1.91,Card
120084,402,2025-08-07 17:32:36,2025-08-07,Afternoon,Dine-In,Onion Rings,Small Size,1,2.91,0.0,0.17,2.78,Card
120085,403,2025-06-21 14:02:40,2025-06-21,Lunch,Takeout,Double Cheeseburger Combo,,1,9.74,0.0,0.63,10.37,Card
120086,103,2025-05-14 21:44:30,2025-05-14,Dinner,Delivery,Cheeseburger,,1,4.8,0.0,0.29,5.09,MobilePay
120087,403,2025-08-05 12:18:22,2025-08-05,Lunch,Drive-Thru,Spicy Chicken Combo,,1,9.45,0.0,0.8,10.25,Card
120088,402,2025-04-29 13:51:05,2025-04-29,Lunch,Drive-Thru,Chicken Sandwich Combo,Add Jalapenos,1,8.73,0.0,0.73,9.86,Card
120089,301,2025-05-08 13:39:27,2025-05-08,Lunch,Dine-In,Chicken Nuggets (10pc),,1,5.16,0.0,0.36,5.52,GiftCard
