date,dish_name,quantity
2025-03-05,Bread,2779
2025-03-05,Marinara -  Metric,28355
2025-03-05,Green Peppers,1012
2025-03-05,"Steak, Diced - Metric",2246
2025-03-05,Beef Brisket - Metric,40
2025-03-05,Onions,1016
2025-03-05,Fountain Bev Syrup - Metric,53991
2025-03-05,Lettuce,2068
2025-03-05,Cold Cut Combo - Metric,924
2025-03-05,Tomatoes,2032
2025-03-05,Turkey - Metric,33652
2025-03-05,Pepperoni For Pizza - Metric,14
2025-03-05,Bottled Beverages,174
2025-03-05,Chips,603
2025-03-05,"Cheese, Shredded, Mozzarella - Metric",14
2025-03-05,"Carrots, Shredded - Metric",2240
2025-03-05,Mayonnaise,422
2025-03-05,Teriyaki Glaze - Metric,7164
2025-03-05,Sweet Onion Sauce - Metric,4618
2025-03-05,Ranch Dressing,43
2025-03-05,Buffalo Sauce - Metric,40
2025-03-05,Buffalo Sauce,3
2025-03-05,Ranch - Metric,845
2025-03-05,Chipotle Southwest Sauce,0
2025-03-05,Mayonnaise - Metric,13716
2025-03-05,Sweet Onion Sauce,93
2025-03-05,"Cheese, Shredded - Metric",364
2025-03-05,"Cheese, Shredded Monterey Cheddar",14
2025-03-05,Teriyaki Glaze,141
2025-03-05,Coffee - Metric,14
2025-03-05,Banana Peppers,368
2025-03-05,Cold Cut Combo,34
2025-03-05,Salami,183
2025-03-05,Ham,351
2025-03-05,Meatballs,360
2025-03-05,Pepperoni,165
2025-03-05,Roast Beef,140
2025-03-05,"Steak, Shaved",198
2025-03-05,Chicken Slice,705
2025-03-05,"Milk, bulk per Liter",0
2025-03-05,Tuna,378
2025-03-05,Coffee Packet in Metric,22
2025-03-05,House Sandwich Sauce,15
2025-03-05,Beef Strip,48
2025-03-05,Turkey,477
2025-03-05,"Cheese, Sliced cheese",844
2025-03-05,Bacon - Metric,34
2025-03-05,Cookies,414
2025-03-05,Crisps (Australia),67
2025-03-05,Flatbread,23
2025-03-05,Avocado - Metric,840
2025-03-05,Olives,0
2025-03-05,Smoked Turkey Thigh,1974
2025-03-05,Pickles,1016
2025-03-05,"Cup, Cold,  24 oz/700ml-710ml",153
2025-03-05,Jalapeno Peppers,838
2025-03-05,Cucumber - Metric,50624
2025-03-05,"Spinach,Baby Spinach - Metric",2240
2025-03-05,Chicken. oven roasted patty,240
2025-03-05,Tomatoes - Metric,124752
2025-03-05,Lettuce - Metric,78944
2025-03-05,Chicken Strips - Metric,33868
2025-03-05,"Cups, Hot Cup 12 oz.",7
2025-03-05,Sweetener packets,1
2025-03-05,Soup Bowl,7
2025-03-05,"Creamers, individual portions",1
2025-03-05,Cucumber2,1014
2025-03-05,"Lid, Hot Cup 12 & 16 oz",3
2025-03-05,Coffee,0
2025-03-05,"Olive Oil Blend, Sauce",2
2025-03-05,"Water, Bottle",72
2025-03-05,Mustards,0
2025-03-05,"Beverage, Juice Box",9
