dish,val_mae,forecast_sum,forecast_mean,forecast_start,forecast_end
烤羊肉串,23.359307631045482,1261.5324857609883,90.10946326864202,2026-01-01,2026-01-14
掌中宝,15.719728658589483,601.1244813719477,42.93746295513912,2026-01-01,2026-01-14
麻辣味黔鱼,4.403591618615461,332.4113291906585,23.74366637076132,2026-01-01,2026-01-14
麻辣味海鲈鱼,4.922658020035472,304.10619845782884,21.721871318416344,2026-01-01,2026-01-14
麻辣味江团,4.556140463220096,280.89581226304233,20.063986590217308,2026-01-01,2026-01-14
蒜香味黔鱼,3.4734673185034217,218.4388117567851,15.602772268341793,2026-01-01,2026-01-14
蒜香味海鲈鱼,1.7663799152472974,103.45017965752369,7.3892985469659775,2026-01-01,2026-01-14
蒜香味江团,1.2960710967839277,98.13074575368545,7.009338982406104,2026-01-01,2026-01-14
青椒味海鲈鱼,1.6601687024677492,96.3517740943793,6.882269578169949,2026-01-01,2026-01-14
青椒味江团,1.1317260989816142,82.63874978694989,5.902767841924992,2026-01-01,2026-01-14
青椒味黔鱼,1.1737076378907625,75.49248185826562,5.392320132733259,2026-01-01,2026-01-14
酸菜味黔鱼,0.8078281101450457,57.17116126325598,4.083654375946856,2026-01-01,2026-01-14
老坛酸菜味海鲈鱼,1.032357972082351,41.16999127755934,2.94071366268281,2026-01-01,2026-01-14
老坛酸菜味黔鱼,1.032357972082351,41.16999127755934,2.94071366268281,2026-01-01,2026-01-14
老坛酸菜味江团,1.032357972082351,41.16999127755934,2.94071366268281,2026-01-01,2026-01-14
酸菜味海鲈鱼,0.8313371881324808,25.248591401561555,1.803470814397254,2026-01-01,2026-01-14
酸菜味江团,0.7699620785608442,21.814064366136318,1.5581474547240226,2026-01-01,2026-01-14
