dish,val_mae,forecast_sum,forecast_mean,forecast_start,forecast_end
烤羊肉串,26.47618416857774,1320.2922167799802,94.30658691285574,2026-01-01,2026-01-14
掌中宝,14.770123668131086,642.1421156623072,45.867293975879086,2026-01-01,2026-01-14
麻辣味黔鱼,4.328970580772047,460.01936875584823,32.858526339703445,2026-01-01,2026-01-14
麻辣味海鲈鱼,4.611926911015545,309.0478213083002,22.074844379164297,2026-01-01,2026-01-14
麻辣味江团,4.517549208692943,274.2336707009044,19.588119335778885,2026-01-01,2026-01-14
蒜香味黔鱼,3.3503035253244033,213.25186638854709,15.232276170610506,2026-01-01,2026-01-14
酸菜味黔鱼,0.7701470911367625,147.07703742097064,10.505502672926474,2026-01-01,2026-01-14
青椒味黔鱼,0.9636518678193476,145.1033114309174,10.364522245065528,2026-01-01,2026-01-14
蒜香味海鲈鱼,1.663113778326027,97.35445013132396,6.9538892950945685,2026-01-01,2026-01-14
蒜香味江团,1.1366294342796088,91.8074759035064,6.557676850250457,2026-01-01,2026-01-14
青椒味海鲈鱼,1.6030582169152363,91.59120490259428,6.542228921613877,2026-01-01,2026-01-14
青椒味江团,1.0259937720692462,77.60764957308959,5.54340354093497,2026-01-01,2026-01-14
老坛酸菜味海鲈鱼,1.0753871862585493,36.29166103607846,2.5922615025770326,2026-01-01,2026-01-14
老坛酸菜味黔鱼,1.0753871862585493,36.29166103607846,2.5922615025770326,2026-01-01,2026-01-14
老坛酸菜味江团,1.0753871862585493,36.29166103607846,2.5922615025770326,2026-01-01,2026-01-14
酸菜味海鲈鱼,0.7296135595798944,25.166945697430005,1.7976389783878575,2026-01-01,2026-01-14
酸菜味江团,0.8502436811687124,22.01518006253067,1.5725128616093336,2026-01-01,2026-01-14
